,author,count
805,"Heine, Heinrich",2
806,"Footner, Hulbert",2
807,"Renan, Ernest",2
808,"Jewett, Sarah Orne",2
809,"Nason, Frank Lewis",2
810,Multatuli,2
811,"Crockett, W. S. (William Shillinglaw)",2
812,"Rice, Cale Young",2
813,"Robertson, J. M. (John Mackinnon)",2
814,"Pohl, Frederik",2
815,"Hamerton, Philip Gilbert",2
816,"Thiselton-Dyer, T. F. (Thomas Firminger)",2
817,"Brown, Abbie Farwell",2
818,"Smeaton, William Henry Oliphant",2
819,"Kummer, Frederic Arnold",2
820,"Mulford, Clarence Edward",2
821,"Zimmern, Helen",2
822,"Lefevre, Edwin",2
823,"Kennard, Nina H.",2
824,"Pocock, Roger",2
825,"Bramston, James",2
826,"Thanet, Octave",2
827,"Watkins, Shirley",2
828,"Jones, Raymond F.",2
829,"Goethe, Johann Wolfgang von",2
830,"Miller, Alice Duer",2
831,"Hoover, Thomas",2
832,"Salt, Henry S.",2
833,"Latham, R. G. (Robert Gordon)",2
834,"Kjelgaard, Jim",2
835,"Ober, Frederick A. (Frederick Albion)",2
836,"Neal, John",2
837,"Northend, Mary Harrod",2
838,"Delannoy, Burford",2
839,"Brainerd, Eleanor Hoyt",2
840,"Whitney, Helen Hay",2
841,"Sidney, Margaret",2
842,"Marshall, Edison",2
843,"Reynolds, Baillie, Mrs.",2
844,"Broun, Heywood",2
845,"Cervantes Saavedra, Miguel de",2
846,"Andrews, William",2
847,"Rankin, Carroll Watson",2
848,"Wilkinson, William Cleaver",2
849,"Hocking, Silas K. (Silas Kitto)",2
850,"Sienkiewicz, Henryk",2
851,"Willson, Beckles",2
852,"Halsey, Rena I.",2
853,"Williams, Ben Ames",2
854,"Cutting, Mary Stewart",2
855,"Stockley, Cynthia",2
856,"Harrison, Burton, Mrs.",2
857,"Gardener, Helen H. (Helen Hamilton)",2
858,"Dewey, John",2
859,"Gardner, Edmund G.",2
860,"Marsh, Richard",2
861,"Nicholson, Reynold Alleyne",2
862,"Oxenham, John",2
863,"Du Maurier, George",2
864,"Young, F. E. Mills (Florence Ethel Mills)",2
865,"Edwards, Albert",2
866,"Bardsley, Charles Wareing Endell",2
867,"Gallizier, Nathan",2
868,"Sue, Eugène",2
869,"Sharber, Kate Trimble",2
870,"Dane, Clemence",2
871,"Franck, Harry Alverson",2
872,"Fern, Fanny",2
873,"Brandeis, Madeline",2
874,"Church, Alfred John",2
875,"Anderson, Isabel",2
876,"Steiner, Edward Alfred",2
877,"Carling, John R.",2
878,"Scott, Leroy",2
879,"Saunders, Marshall",2
880,"Trowbridge, W. R. H. (William Rutherford Hayes)",2
881,"Sharp, Evelyn",2
882,"Thurston, E. Temple (Ernest Temple)",2
883,"Brereton, F. S. (Frederick Sadleir)",2
884,"Frost, Thomas",2
885,"Mills, Enos A.",2
886,"Brooks, Van Wyck",2
887,"Elliott, Maud Howe",2
888,"Bercovici, Konrad",2
889,"Spurgeon, C. H. (Charles Haddon)",2
890,"Wentworth, Patricia",2
891,"Rath, E. J.",2
892,"Pemberton, Max",2
893,"North, Grace May",2
894,"Allen, Willis Boyd",2
895,"Walker, Rowland",2
896,"Mendel, Florence Emma Voigt",2
897,"Pryor, Sara Agnes Rice",2
898,"Kuprin, A. I. (Aleksandr Ivanovich)",2
899,"Wharton, Anne Hollingsworth",2
900,"Spence, Lewis",2
901,"Broster, D. K. (Dorothy Kathleen) ; Taylor, G. Winifred (Gertrude Winifred)",2
902,"Feuillet, Octave",2
903,"Stern, G. B. (Gladys Bronwyn)",2
904,"Ruxton, George Frederick Augustus",2
905,"Singmaster, Elsie",2
906,"Anderson, William",2
907,"Brandes, Georg",2
908,"Hayden, Arthur",2
909,"Cunninghame Graham, R. B. (Robert Bontine)",2
910,"Morton, Martha",2
911,"Lanman, Charles",2
912,"Oldmeadow, Ernest",2
913,"Raabe, Wilhelm",2
914,"Ashton, John",2
915,"Grimshaw, Beatrice",2
916,"Eggleston, George Cary",2
917,"Merwin, Samuel",2
918,"Bell, Aubrey F. G. (Aubrey Fitz Gerald)",2
919,"Sturgeon, Mary",2
920,"Guiney, Louise Imogen",2
921,"Fitzmaurice-Kelly, James",2
922,"Gaunt, Mary",2
923,"Dawson, Coningsby",2
924,"Miln, Louise Jordan",2
925,"Williams, William Carlos",2
926,"Key, Ellen",2
927,"Smith, Southwood",2
928,LM (Leslie Moore),2
929,"Washburn, Claude C. (Claude Carlos)",2
930,"Bond, Nelson S.",2
931,"Mirrlees, Hope",2
932,"Bridges, Victor",2
933,"Stirling, Yates",2
934,"Holding, Elisabeth Sanxay",2
935,"Porter, Anna Maria",2
936,"Hilton, James",2
937,"Broughton, Rhoda",2
938,"Mearns, Hughes",2
939,"West, Wallace",2
940,"Bradford, Gamaliel",2
941,"Giberne, Agnes",2
942,"Cooley, Charles Horton",2
943,"Rathborne, St. George",2
944,"Bromfield, Louis",2
945,"Rowson, Mrs.",1
946,"Robinson, Edwin Arlington",1
947,"Gregory, Eliot",1
948,"Jordan, Elizabeth Garver ; Shaw, Anna Howard",1
949,"Tasso, Torquato",1
950,"Le Bon, Gustave",1
951,"Booth, William",1
952,"Coke, Henry J. (Henry John)",1
953,"White, Andrew Dickson",1
954,"Headland, Isaac Taylor",1
955,"Buchan, John",1
956,"Browne, Thomas, Sir",1
957,"Ariosto, Lodovico",1
958,"Seeger, Alan",1
959,"Aldrich, Thomas Bailey",1
960,"Stevenson, Robert Louis ; Stevenson, Fanny Van de Grift",1
961,"Browning, Robert ; Orr, Sutherland, Mrs.",1
962,"Quintus, Smyrnaeus, active 4th century",1
963,Project Gutenberg,1
964,"Naidu, Sarojini",1
965,"Lovelace, Richard",1
966,"Brisbane, Arthur",1
967,"Gould, George M. (George Milbrey) ; Pyle, Walter L. (Walter Lytle)",1
968,"Badger, Jos. E. (Joseph Edward)",1
969,"Lucretius Carus, Titus",1
970,"Veblen, Thorstein",1
971,"Weems, M. L. (Mason Locke)",1
972,"Marlowe, Christopher",1
973,"Hazeltine, Alice Isabel",1
974,"Haldeman-Julius, Marcet ; Haldeman-Julius, E. (Emanuel)",1
975,"Brontë, Anne",1
976,"Livingstone, David",1
977,"Bramah, Ernest",1
978,Xenophon,1
979,"Rougemont, Louis de",1
980,"Rabelais, François",1
981,"Prescott, William Hickling",1
982,"Mims, Edwin",1
983,"Thomson, James",1
984,"Rostand, Edmond",1
985,"Burns, Robert",1
986,"Congreve, William",1
987,"Blades, William",1
988,"Lawson, Henry",1
989,"Ransome, Arthur",1
990,"Wallace, Donald Mackenzie",1
991,"White, Gilbert",1
992,"Schreiner, Olive",1
993,"Nation, Carry Amelia",1
994,"Fiske, John",1
995,"Steele, Chester K.",1
996,"Rojas, Fernando de",1
997,"Farrar, John Chipman",1
998,"Mason, Mary Murdoch",1
999,"Lytton, Edward Robert Bulwer Lytton, Earl of",1
1000,"Roosevelt, Theodore ; Lodge, Henry Cabot",1
1001,"Seward, A. C. (Albert Charles)",1
1002,"Kountz, William J.",1
1003,"Perdue, Mitzi",1
1004,"Benét, Stephen Vincent ; Hopwood, Avery ; Rinehart, Mary Roberts",1
1005,"Niemann, August",1
1006,"Farjeon, Eleanor",1
1007,"Depew, Chauncey M. (Chauncey Mitchell)",1
1008,"Smith, George",1
1009,"Ossendowski, Ferdynand Antoni",1
1010,"Brown, William Wells",1
1011,"More, Thomas, Saint",1
1012,Herodotus,1
1013,"Goldman, Emma",1
1014,"Cooper, Susan Fenimore",1
1015,"Wieland, Christoph Martin",1
1016,"Whyte, Alexander",1
1017,"Bates, Henry Walter",1
1018,"Sangster, Margaret E. (Margaret Elizabeth)",1
1019,"Mason, Amelia Gere",1
1020,Aristophanes,1
1021,"Taine, Hippolyte",1
1022,"Wood, Eugene",1
1023,"Arbuthnot, John",1
1024,"Lang, Andrew ; Haggard, H. Rider (Henry Rider)",1
1025,"McElroy, John",1
1026,"Ford, Ford Madox",1
1027,"Addison, Joseph",1
1028,"Cahan, Abraham",1
1029,"Pliny, the Younger",1
1030,"Campanella, Tommaso",1
1031,"Josephus, Flavius",1
1032,"Jones, Henry Festing",1
1033,"Morris, William",1
1034,"Reed, John",1
1035,"Moorman, F. W. (Frederic William)",1
1036,"Connor, Ralph",1
1037,"Radcliffe, Ann Ward",1
1038,"Smith, Adam",1
1039,"Gillmore, Inez Haynes",1
1040,"Clarke, Marcus Andrew Hislop",1
1041,"Voynich, E. L. (Ethel Lillian)",1
1042,Francis H. Leggett & Co.,1
1043,"Furphy, Joseph",1
1044,"Gatlin, Dana",1
1045,"Hiestand, Orville O. ; Herr, Charles J.",1
1046,"Cowley, Abraham",1
1047,"Stevens, Doris",1
1048,"Manners, J. Hartley",1
1049,"Lumet, Louis ; Keim, Albert",1
1050,"Angellotti, Marion Polk",1
1051,"Stone, Louis",1
1052,"Rossetti, Dante Gabriel",1
1053,"Boucicault, Dion ; Reade, Charles",1
1054,"Wason, Robert Alexander",1
1055,"Marshall, Logan",1
1056,"Lawton, Frederick",1
1057,"Wyss, Johann David",1
1058,"O'Neill, Eugene",1
1059,"Cellini, Benvenuto",1
1060,"Montgolfier, Adélaïde de",1
1061,"Clacy, Charles, Mrs.",1
1062,"Weston, Jessie L. (Jessie Laidlay)",1
1063,"Scott, Ernest, Sir",1
1064,"McClung, Nellie L.",1
1065,"Sheldon, Charles M.",1
1066,"St. John de Crèvecoeur, J. Hector",1
1067,"Calverley, Charles Stuart",1
1068,"Jordan, David Starr",1
1069,"Irwin, Wallace",1
1070,"Wright, J. W. (Jacob William)",1
1071,"Conn, H. W. (Herbert William)",1
1072,"Arthur, Chester Alan",1
1073,"Cleveland, Grover",1
1074,"Taft, William H. (William Howard)",1
1075,"Coolidge, Calvin",1
1076,"Hoover, Herbert",1
1077,"Roosevelt, Franklin D. (Franklin Delano)",1
1078,"Eisenhower, Dwight D. (Dwight David)",1
1079,"Kennedy, John F. (John Fitzgerald)",1
1080,"Johnson, Lyndon B. (Lyndon Baines)",1
1081,"Nixon, Richard M. (Richard Milhous)",1
1082,"Ford, Gerald R.",1
1083,"Carter, Jimmy",1
1084,"Reagan, Ronald",1
1085,"Bush, George",1
1086,"Gatty, Alfred, Mrs.",1
1087,"Hazlitt, William",1
1088,"O'Grady, Standish",1
1089,"Trollope, Thomas Adolphus",1
1090,"Moritz, Karl Philipp",1
1091,"Grahame, Kenneth",1
1092,"Boyd, Andrew Kennedy Hutchison",1
1093,"Rousseau, Jean-Jacques",1
1094,"Kingsford, Anna Bonus",1
1095,"Wynne, Ellis",1
1096,"Flint, Homer Eon",1
1097,"Inman, Henry ; Buffalo Bill",1
1098,"Buckley, Arabella B. (Arabella Burton)",1
1099,"Andrews, Jane",1
1100,"Barker, Lady (Mary Anne)",1
1101,"Clarke, Michael",1
1102,"Marsh, George P. (George Perkins)",1
1103,"Goddard, Charles",1
1104,"White, Edward Lucas",1
1105,"Bosher, Kate Langley",1
1106,"Crewdson, Charles N. (Charles Newman)",1
1107,"Haliburton, Thomas Chandler",1
1108,"Adams, Franklin P. (Franklin Pierce)",1
1109,"Cornwall, Barry",1
1110,"Lowell, Edward J. (Edward Jackson)",1
1111,"Vaughan, Charles Edwyn",1
1112,"Hoffmann, E. T. A. (Ernst Theodor Amadeus)",1
1113,"Hamilton, Frederic, Lord",1
1114,"Halleck, Reuben Post",1
1115,"Lippmann, Walter",1
1116,"Roosevelt, Theodore",1
1117,Colette,1
1118,"Porter, Jane",1
1119,"Ellwood, Charles A. (Charles Abram)",1
1120,"Chavasse, Pye Henry",1
1121,"Parker, Edward Harper",1
1122,"White, William Hale",1
1123,"Rossetti, Lucy Madox Brown",1
1124,"Boulger, Demetrius Charles",1
1125,"Andreyev, Leonid",1
1126,"Innes, Arthur D. (Arthur Donald)",1
1127,"Paston, George",1
1128,"Hutchinson, J. R. (John Robert)",1
1129,Vera,1
1130,"Willson, Marcius ; Wilson, Robert Pierpont",1
1131,"Watkin, E. W. (Edward William), Sir",1
1132,"Lathrop, Rose Hawthorne",1
1133,"Webb, Mary Gladys Meredith",1
1134,"Bernhardt, Sarah",1
1135,"Schlegel, August Wilhelm von",1
1136,"Fletcher, Robert Huntington",1
1137,"Vries, Hugo de",1
1138,"Stearns, Frank Preston",1
1139,"Scott, Michael",1
1140,"Day, Horace B.",1
1141,"Banfield, E. J. (Edmund James)",1
1142,"Macomber, Ben",1
1143,"Dryden, John ; Chaucer, Geoffrey",1
1144,"Hamsun, Knut",1
1145,"Bandini, Helen Elliott",1
1146,"Booth, Evangeline ; Hill, Grace Livingston",1
1147,"Staël, Madame de (Anne-Louise-Germaine)",1
1148,"Lubbock, John, Sir",1
1149,"Dunne, Finley Peter",1
1150,"Ostrovsky, Aleksandr Nikolaevich",1
1151,"Cheyne, T. K. (Thomas Kelly)",1
1152,"Rabb, Kate Milner",1
1153,"Russell, George William",1
1154,"Lumb, T. W. (Thomas Wallace)",1
1155,"Waterton, Charles",1
1156,"Macpherson, James",1
1157,"Dunsany, Lord",1
1158,"Perry, Bliss",1
1159,Aristotle,1
1160,"Ware, Mary G. (Mary Greene)",1
1161,"Fogazzaro, Antonio",1
1162,"Lathrop, George Parsons",1
1163,"Tileston, Mary Wilder",1
1164,"Walton, George Lincoln",1
1165,"Faguet, Émile",1
1166,"Dake, Charles Romyn",1
1167,"Haeckel, Ernst",1
1168,Aesop,1
1169,"Donnell, Annie Hamilton",1
1170,"Christie, William Harvey",1
1171,"Burckhardt, John Lewis",1
1172,"Mackail, J. W. (John William)",1
1173,"Foster, John",1
1174,"Miller, Marion Mills",1
1175,"Artsybashev, M. (Mikhail)",1
1176,"Alcott, William A. (William Andrus)",1
1177,"Bertrand, Louis",1
1178,"Dent, Edward J. (Edward Joseph)",1
1179,"Camus, Jean-Pierre",1
1180,"Towle, George M. (George Makepeace)",1
1181,"Calderón de la Barca, Madame (Frances Erskine Inglis)",1
1182,"Erasmus, Desiderius",1
1183,"Seton-Thompson, Grace Gallatin",1
1184,"Youatt, William",1
1185,"McConnell, Francis John",1
1186,Horace,1
1187,"Leslie, Lawrence J.",1
1188,"Moore, T. Sturge (Thomas Sturge)",1
1189,"Stanton, Elizabeth Cady",1
1190,"Williams, Valentine",1
1191,"Maniates, Belle Kanaris",1
1192,"Bradford, Sarah H. (Sarah Hopkins)",1
1193,"Lindsay, Anna Robertson Brown",1
1194,"Boccaccio, Giovanni",1
1195,"Cross, F. J. (Frederick J.)",1
1196,"Watson, John R. (John Reay) ; Rees, Arthur J. (Arthur John)",1
1197,"Nichol, John",1
1198,"Rideout, Henry Milner",1
1199,"Carr, John, Sir",1
1200,"McCracken, Elizabeth",1
1201,"Galt, John",1
1202,"Lucian, of Samosata",1
1203,"Cotter, Frank J.",1
1204,"Zimmern, Alfred ; Seton-Watson, R. W. (Robert William) ; Greenwood, Arthur ; Wilson, John Dover",1
1205,"Litchfield, Grace Denio",1
1206,"Burton, Robert",1
1207,"Boyd, Mary Stuart",1
1208,"Webster, Angus D.",1
1209,Teachers of the School Street Universalist Sunday School. Boston,1
1210,"Dwyer, James Francis",1
1211,"Archer, William",1
1212,"Cabell, James Branch",1
1213,"Young, Egerton Ryerson",1
1214,"Green, Horace",1
1215,"Johnson, James Weldon",1
1216,"Middleton, Richard",1
1217,"Stoddard, John L. (John Lawson)",1
1218,"Lauder, Harry, Sir",1
1219,"Webb, Frank J.",1
1220,"Gent, Thomas",1
1221,"Mair, G. H. (George Herbert)",1
1222,"Eberhard, Wolfram",1
1223,"Oppenheim, James",1
1224,"Besant, Annie",1
1225,"Powell, E. Alexander (Edward Alexander)",1
1226,"Sturge, Joseph",1
1227,"Brown, Goold",1
1228,"Lillibridge, Will",1
1229,"Goodloe, Abbe Carter",1
1230,"Church, Ella Rodman",1
1231,"Zùccoli, Luciano",1
1232,"Lawless, Emily",1
1233,"Spurgeon, Caroline F. E. (Caroline Frances Eleanor)",1
1234,"Furman, Lucy S.",1
1235,"Swisshelm, Jane Grey Cannon",1
1236,"Brooks, Stratton D. (Stratton Duluth) ; Hubbard, Marietta",1
1237,"Traill, H. D. (Henry Duff)",1
1238,"Royová, Kristína",1
1239,"Benson, B. K. (Blackwood Ketcham)",1
1240,"Henderson, G. F. R. (George Francis Robert)",1
1241,"Wade, J. H. (Joseph Henry) ; Wade, G. W. (George Woosung)",1
1242,"Cook, Herbert Frederick",1
1243,"Beston, Henry",1
1244,"Bredon, Juliet",1
1245,"Buehler, Huber Gray",1
1246,"Chaytor, H. J. (Henry John)",1
1247,"Mackay, Isabel Ecclestone",1
1248,"Harraden, Beatrice",1
1249,"Paris, John",1
1250,"Thayer, William Roscoe",1
1251,"Barry, J. G. H. (Joseph Gayle Hurd)",1
1252,"Bragdon, Claude Fayette",1
1253,"Phillips, Claude, Sir",1
1254,"Fields, James Thomas",1
1255,"Kenyon, Camilla",1
1256,"Hurst, Fannie",1
1257,"Ferrier, Susan",1
1258,"Norsworthy, Naomi ; Strayer, George D. (George Drayton)",1
1259,"Gurdon, P. R. T. (Philip Richard Thornhagh)",1
1260,"Gordon, S. D. (Samuel Dickey)",1
1261,"Cameron, Agnes Deans",1
1262,"Tucker, T. G. (Thomas George)",1
1263,"Fairbanks, Douglas",1
1264,"Barbusse, Henri",1
1265,"Arner, George B. Louis (George Byron Louis)",1
1266,"Redesdale, Algernon Bertram Freeman-Mitford, Baron",1
1267,"Shaw, Stanley",1
1268,"Collingwood, W. G. (William Gershom)",1
1269,"Oliver, Stephen",1
1270,"Kolb, E. L. (Ellsworth Leonardson)",1
1271,"Phillips, Mary Elizabeth",1
1272,"Watson, William",1
1273,"Shedd, William G. T. (William Greenough Thayer)",1
1274,"Wishart, Alfred Wesley",1
1275,"Tennent, James Emerson, Sir",1
1276,"Benson, Luther",1
1277,"Payn, James",1
1278,"Dingle, Edwin John",1
1279,"Armstrong, John ; Cooper, John Gilbert",1
1280,"Blackmore, Richard, Sir",1
1281,"Franklin, John",1
1282,"Kyne, Peter B. (Peter Bernard)",1
1283,"Jones, Henry, Sir",1
1284,"Conscience, Hendrik",1
1285,"Rogers, Samuel",1
1286,"Kready, Laura Fry",1
1287,"Patmore, Coventry",1
1288,"Holliday, Robert Cortes",1
1289,"Pease, Edward R. (Edward Reynolds)",1
1290,"Heiberg, Hermann",1
1291,"Cobban, J. Maclaren (James Maclaren)",1
1292,"Sewell, James Witt ; Baskervill, William Malone",1
1293,"Thurston, Katherine Cecil",1
1294,"Casserly, Gordon",1
1295,"Walpole, Horace",1
1296,"Latimer, Elizabeth Wormeley",1
1297,"Muir, M. M. Pattison (Matthew Moncrieff Pattison)",1
1298,"Potter, Beatrix",1
1299,"Gardner, E. C. (Eugene Clarence)",1
1300,"Haultain, Arnold",1
1301,"Brooke, Stopford A. (Stopford Augustus)",1
1302,"Lemaître, Jules",1
1303,"Smiles, Samuel",1
1304,"Runciman, John F.",1
1305,"Faraday, Michael",1
1306,Sophocles,1
1307,"Pryde, Anthony",1
1308,"Keable, Robert",1
1309,"Herford, C. H. (Charles Harold)",1
1310,"Murry, John Middleton",1
1311,"MacCulloch, J. A. (John Arnott)",1
1312,"Farrar, J. Maurice",1
1313,"Paley, William",1
1314,"Wilson, Woodrow",1
1315,"Sherley, Douglass",1
1316,"Ford, Ford Madox ; Conrad, Joseph",1
1317,"Minto, William",1
1318,"Edmundson, George",1
1319,"Paul, Herbert W. (Herbert Woodfield)",1
1320,"Mitchell, S. Weir (Silas Weir)",1
1321,"Schleich, Carl Ludwig",1
1322,"Johnson, Samuel",1
1323,"Hammond, Natalie Harris",1
1324,"Martin, W. A. P. (William Alexander Parsons)",1
1325,"Bibesco, Elizabeth",1
1326,"Falconer, Lanoe",1
1327,"Councilman, W. T. (William Thomas)",1
1328,"Beresford, J. D. (John Davys)",1
1329,"Pinero, Arthur Wing",1
1330,"Sleeman, W. H. (William Henry), Sir",1
1331,"Eyles, Leonora",1
1332,"Stein, Gertrude",1
1333,"Thackeray, William Makepeace ; Dickens, Charles",1
1334,"Abbot, Willis J. (Willis John)",1
1335,"Hood, Thomas",1
1336,"Barnes, Earl",1
1337,"Runciman, James",1
1338,"French, Sarah",1
1339,"Barnes, Charles J. (Charles Joseph) ; Hawkes, J. Marshall",1
1340,"Beers, Fannie A.",1
1341,"Lindsay, Maud",1
1342,"Claretie, Jules",1
1343,"Whistler, Charles W. (Charles Watts)",1
1344,Hildebrand,1
1345,"Fitch, Albert Parker",1
1346,"Clutton-Brock, A. (Arthur)",1
1347,"Fitch, Clyde",1
1348,"Esenwein, J. Berg (Joseph Berg) ; Carnegie, Dale",1
1349,"Bryant, William Cullen",1
1350,"Addison, Alvin",1
1351,"Miller, John",1
1352,"Pérez Escrich, Enrique",1
1353,"Chirol, Valentine, Sir",1
1354,"Watson, Virginia",1
1355,"Saint-Saëns, Camille",1
1356,"Knibbs, Henry Herbert",1
1357,"Clark, Bertha May",1
1358,"Stewart, Elinore Pruitt",1
1359,"Maurice, Arthur Bartlett",1
1360,"Baker, Karle Wilson",1
1361,"Smith, Alice Prescott",1
1362,"Mabie, Hamilton Wright",1
1363,"Dekker, Thomas",1
1364,"Marzials, Frank T. (Frank Thomas), Sir",1
1365,"Poynter, E. Frances (Eleanor Frances)",1
1366,"Overton, John Henry ; Abbey, Charles J. (Charles John)",1
1367,"Luckhoff, A. D. (August D.)",1
1368,"Willson, Arabella M.",1
1369,"Dorsey, Anna Hanson",1
1370,"Chapin, Anna Alice",1
1371,"Von Hutten, Bettina",1
1372,"Gower, Ronald Sutherland, Lord",1
1373,"Surtees, Robert Smith",1
1374,"Beard, Charles A. (Charles Austin) ; Beard, Mary Ritter",1
1375,Lydia E. Pinkham Medicine Company,1
1376,"Lautréamont, comte de",1
1377,"Clarke, Michael ; Homer",1
1378,"Hastings, Milo ; Lashin, Orrie",1
1379,"Harrison, Jane Ellen",1
1380,"Leavitt, Lydia",1
1381,"Hauptmann, Gerhart",1
1382,"Barrows, E. P. (Elijah Porter)",1
1383,"Jessup, Henry Harris",1
1384,"Bennion, Adam S. (Adam Samuel)",1
1385,"Stratton, Clarence",1
1386,"Hilbert, David",1
1387,"Montgomery, D. H. (David Henry)",1
1388,"Franklin, Fabian",1
1389,"Wilson, Anna May",1
1390,"Yates, Dornford",1
1391,"Bain, Alexander",1
1392,"Fiske, Bradley A. (Bradley Allen)",1
1393,"Patrick, Mary Mills",1
1394,"Tupper, Martin Farquhar",1
1395,"Cope, Henry Frederick",1
1396,"Pearson, Francis B. (Francis Bail)",1
1397,"Montagu, Mrs. (Elizabeth) ; Lyttelton, George Lyttelton, Baron",1
1398,"Dubut de Laforest, Jean-Louis",1
1399,"Seignobos, Charles",1
1400,"Austen-Leigh, James Edward",1
1401,"Warner, Susan ; Warner, Anna Bartlett",1
1402,"Mignet, M. (François-Auguste-Marie-Alexis)",1
1403,"Duff Gordon, Lucie, Lady",1
1404,"Godley, A. D. (Alfred Denis)",1
1405,"Esenwein, J. Berg (Joseph Berg) ; Leeds, Arthur",1
1406,"Babcock, Retta B.",1
1407,"Hensley, Sophia Margaretta",1
1408,"Ward, Wilfrid, Mrs.",1
1409,"Silberrad, Una L.",1
1410,"Apperson, George Latimer",1
1411,"Kelman, John",1
1412,"Hutton, Richard Holt",1
1413,"Barron, Clarence W. (Clarence Walker)",1
1414,"Hapgood, Isabel Florence",1
1415,"Marks, Jeannette Augustus",1
1416,"Hovey, Richard ; Carman, Bliss",1
1417,"Bandelier, Adolph Francis Alphonse",1
1418,"Harrison, Frederic",1
1419,"Bean, C. E. W. (Charles Edwin Woodrow)",1
1420,"Baldwin, James",1
1421,"Murger, Henri",1
1422,"Mercer, John Edward",1
1423,"Birdsall, Ralph",1
1424,"Gunnison, Charles A.",1
1425,"Jacobs, W. W. (William Wymark) ; Rock, Charles",1
1426,"Ward, Maisie",1
1427,"Dunbar-Nelson, Alice Moore",1
1428,"Raine, Allen",1
1429,"Walters, Francis M. (Francis Marion)",1
1430,"De Wet, Christiaan Rudolf",1
1431,"Morison, James Cotter",1
1432,"Waugh, Alec",1
1433,"Smith, Preserved",1
1434,"O'Brien, Jack",1
1435,"Gilbert, Rosa M. (Rosa Mulholland)",1
1436,"Romanes, George John",1
1437,"Brady, Jasper Ewing ; Hill, John A. (John Alexander)",1
1438,"Mitchell, Edmund",1
1439,"Robertson, W. G. Aitchison (William George Aitchison )",1
1440,"Weygandt, Cornelius",1
1441,"Collier, Price",1
1442,"Grenfell, Wilfred Thomason, Sir",1
1443,"Raphael, Rick",1
1444,"Gleason, Helen Hayes ; Gleason, Arthur",1
1445,"Walsh, J. M. (James Morgan)",1
1446,"Morrison, George Ernest",1
1447,"Rossetti, Christina Georgina",1
1448,"Alger, William Rounseville",1
1449,"McIlwraith, Jean N. (Jean Newton)",1
1450,"Crosby, Ernest",1
1451,"Sanborn, Kate",1
1452,Jarro,1
1453,"Kirby, W. F. (William Forsell)",1
1454,"West, Jane",1
1455,"Popenoe, Paul ; Johnson, Roswell H. (Roswell Hill)",1
1456,"Quayle, William A. (William Alfred)",1
1457,"Cooper, Elizabeth",1
1458,"Lawrence, George A. (George Alfred)",1
1459,"Greene, Sarah Pratt McLean",1
1460,"MacGill, Patrick",1
1461,"Willoughby, Barrett",1
1462,"Brown, P. Hume (Peter Hume)",1
1463,"Harben, Will N. (Will Nathaniel)",1
1464,"Kellogg, John Harvey",1
1465,"Hayward, Rachel",1
1466,"Stephens, C. A. (Charles Asbury)",1
1467,"Duncan, Norman",1
1468,"Trowbridge, J. T. (John Townsend)",1
1469,"Stimson, Frederic Jesup",1
1470,"Grimm, Jacob ; Grimm, Wilhelm",1
1471,"Tytler, Sarah",1
1472,"Cooper, Courtney Ryley",1
1473,"Blore, George Henry",1
1474,"Tynan, Katharine",1
1475,"Osborne, Duffield",1
1476,"Betts, George Herbert",1
1477,"Brooks, David Marshall",1
1478,"Korinek, Charles James",1
1479,"Sheehan, Patrick Augustine",1
1480,"Wright, Willard Huntington ; Nathan, George Jean ; Mencken, H. L. (Henry Louis)",1
1481,"Paine, Harriet E. (Harriet Eliza)",1
1482,"Coppée, François",1
1483,"James, M. R. (Montague Rhodes)",1
1484,"Lecky, William Edward Hartpole",1
1485,"James, Lionel",1
1486,Cheiro,1
1487,"Baldwin, James Mark",1
1488,"Barrett, Charles Raymond",1
1489,"Smart, Hawley",1
1490,"Orzeszkowa, Eliza",1
1491,"Robinson, Forbes",1
1492,"Elson, Arthur",1
1493,"Audoux, Marguerite",1
1494,"MacGregor, Morris J.",1
1495,"Sell, Edward",1
1496,"Seely, Herman Gastrell",1
1497,"Arana Xajilá, Francisco Hernández",1
1498,"Mivart, St. George Jackson",1
1499,"Noyes, William",1
1500,"Barnett, Evelyn Snead",1
1501,"Antin, Mary",1
1502,"Fergusson, Harvey",1
1503,"Trench, Richard Chenevix",1
1504,"Dillon, Mary (Mary C. Johnson)",1
1505,"Guthrie, Thomas",1
1506,"Machado de Assis ; Albuquerque, Medeiros e ; Coelho Netto, Henrique ; Dolores, Carmen",1
1507,"Bates, E. Katherine (Emily Katherine)",1
1508,"Walter, Eugene ; Hornblow, Arthur",1
1509,"Wilson, Theodore P.",1
1510,"Hough, Lewis",1
1511,"Michelson, Miriam",1
1512,"Mayne, Ethel Colburn",1
1513,"Elliott, James, Sir",1
1514,"Arnot, William",1
1515,"Shairp, John Campbell",1
1516,"Morier, James Justinian",1
1517,"Kent, Charles",1
1518,"Morse, John T., Jr. (John Torrey)",1
1519,"Allen, William H. (WIlliam Harvey)",1
1520,"Daniel, Mooshie G.",1
1521,"Shaw, Wilfred Byron",1
1522,"Bent, J. Theodore (James Theodore) ; Bent, Theodore, Mrs.",1
1523,"Howard, Edward",1
1524,"Eliot, T. S. (Thomas Stearns)",1
1525,"Hall, Charles Winslow",1
1526,"Cummings, Ray",1
