Book_ID,Keyword,Etext Number,Authors,LoCC,Published Year,Author Gender,Assigned_Gender,Character_Name,Verb,Role,Agency,Power,Sentiment
145,opium,145,"Eliot, George",PR,1871,female,Male,Anonymous,take,theme,,0.0,0.5
145,opium,145,"Eliot, George",PR,1871,female,Male,Anonymous,let,theme,,-1.0,-0.1
145,opium,145,"Eliot, George",PR,1871,female,Male,Ware,convince,theme,,-1.0,0.4
145,opium,145,"Eliot, George",PR,1871,female,Male,Ware,act,agent,1.0,,-0.1
145,opium,145,"Eliot, George",PR,1871,female,Male,Ware,think,agent,1.0,0.0,0.2
145,opium,145,"Eliot, George",PR,1871,female,Male,Ware,take,agent,1.0,0.0,0.6
145,opium,145,"Eliot, George",PR,1871,female,Male,Ware,have,agent,,,0.333333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Ware,find,agent,0.0,0.0,0.3
145,opium,145,"Eliot, George",PR,1871,female,Male,Lydgate,take,agent,1.0,0.0,0.6
145,opium,145,"Eliot, George",PR,1871,female,Male,Lydgate,give,agent,1.0,1.0,0.4
145,opium,145,"Eliot, George",PR,1871,female,Male,Lydgate,insist,agent,1.0,1.0,
145,opium,145,"Eliot, George",PR,1871,female,Male,Lydgate,end,agent,1.0,1.0,0.266666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Lydgate,wear,agent,1.0,1.0,0.433333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,fain,agent,,,
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,say,agent,1.0,0.0,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,get,agent,1.0,1.0,0.333333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,sit,agent,-1.0,,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,leave,theme,,-1.0,0.1
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,call,theme,,1.0,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,wake,agent,1.0,1.0,0.133333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,sink,agent,1.0,1.0,
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,call,agent,1.0,-1.0,0.2
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,find,agent,0.0,0.0,0.3
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,consign,agent,,,
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,proceed,agent,1.0,,0.1
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,point,agent,,,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,call,agent,1.0,-1.0,0.2
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,find,agent,0.0,0.0,0.3
