,Etext Number,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
12744,60393,Game preserve,"Phillips, Rog",PS,Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Short stories ; Boys -- Fiction ; Science fiction ; PS ; Hunting -- Fiction,Public domain in the USA.,1835,Rog Phillips,male,American,1909.0,1965.0,"Wikipedia, OpenLibrary",True,1
12745,60395,Going West,"King, Basil",PS,Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction,"PS ; World War, 1914-1918 -- Fiction",Public domain in the USA.,1919,Basil King,male,Canadian,1859.0,1928.0,Wikipedia,True,7
12746,60396,Spring Morning,"Cornford, Frances Darwin",PR,Browsing: Literature; Browsing: Poetry,PR ; English poetry -- 20th century,Public domain in the USA.,1915,Frances Darwin Cornford,,English,1886.0,1960.0,Wikipedia,True,1
12747,60398,Westover of Wanalah: A story of love and life in Old Virginia,"Eggleston, George Cary",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,PS ; Virginia -- Fiction,Public domain in the USA.,1910,George Cary Eggleston,male,American,1837.0,1902.0,Wikipedia,True,5
12748,60405,The Story of the Grail and the Passing of Arthur,"Pyle, Howard",PZ,Browsing: Culture/Civilization/Society; Browsing: History - Medieval/The Middle Ages; Browsing: Literature,"Grail -- Legends ; Folklore -- England ; Arthur, King -- Legends ; Knights and knighthood -- Folklore ; PZ ; Arthurian romances -- Adaptations",Public domain in the USA.,1910,Howard Pyle,male,American,1853.0,1911.0,Wikipedia,True,4
12749,60413,The Stars Incline,"Judson, Jeanne",PS,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,Art students -- Fiction ; Love stories ; New York (N.Y.) -- Juvenile fiction ; Aunts -- Fiction ; Young women -- Fiction ; Orphans -- Fiction ; PS,Public domain in the USA.,1920,Jeanne Judson,female,American,1890.0,1981.0,"Wikipedia, OpenLibrary, Wikidata",True,1
12750,60415,When William IV. Was King,"Ashton, John",DA,Browsing: Culture/Civilization/Society; Browsing: History - British,"Great Britain -- History -- William IV, 1830-1837 ; England -- Social life and customs -- 19th century ; DA",Public domain in the USA.,1896,John Ashton,male,United States,1948.0,1691.0,"OpenLibrary, Wikidata",True,1
12751,60427,Introducing Irony: A Book of Poetic Short Stories and Poems,"Bodenheim, Maxwell",PS,Browsing: Literature; Browsing: Poetry; Browsing: Fiction,"Short stories, American ; American fiction -- 20th century ; American poetry -- 20th century ; PS",Public domain in the USA.,1922,Maxwell Bodenheim,male,American,1891.0,1954.0,Wikipedia,True,1
12752,60433,"Letters of John Keats to Fanny Brawne
Written in the years MDCCCXIX and MDCCCXX and now given from the original manuscripts","Keats, John",PR,Browsing: Biographies; Browsing: Literature; Browsing: Poetry,"Brawne, Fanny, 1800-1865 -- Correspondence ; Keats, John, 1795-1821 -- Correspondence ; Poets, English -- 19th century -- Correspondence ; PR",Public domain in the USA.,1789,John Keats,male,English,1795.0,1821.0,Wikipedia,True,1
12753,60448,William Blake,"Symons, Arthur",PR,Browsing: Biographies; Browsing: Literature,"Artists -- Great Britain -- Biography ; Poets, English -- 18th century -- Biography ; Poets, English -- 19th century -- Biography ; PR ; Blake, William, 1757-1827",Public domain in the USA.,1907,Arthur Symons,male,British,1865.0,1945.0,"Wikipedia, OpenLibrary, Wikidata",True,3
12754,60452,"Off Sandy Hook, and other stories","Dehan, Richard",PR,Browsing: Literature; Browsing: Fiction,Fiction ; Short stories ; PR,Public domain in the USA.,1915,Richard Dehan,female,Irish,1863.0,1932.0,"Wikipedia, OpenLibrary, Wikidata",True,5
12755,60457,When I Was a Little Girl,"Gale, Zona",PZ; PS,Browsing: Children & Young Adult Reading; Browsing: Fiction,Fairy tales ; Children -- Fiction ; Girls -- Fiction ; Play -- Fiction ; PZ ; PS,Public domain in the USA.,1913,Zona Gale,female,American,1874.0,1938.0,Wikipedia,True,11
12756,60465,Lady Patricia: A comedy in three acts,"Besier, Rudolf",PR,Browsing: Literature; Browsing: Performing Arts/Film,English drama (Comedy) ; PR,Public domain in the USA.,1911,Rudolf Besier,male,United Kingdom,1878.0,1942.0,"OpenLibrary, Wikidata",True,1
12757,60466,Victor Hugo,"Swinburne, Algernon Charles",PQ,Browsing: Literature,"PQ ; Hugo, Victor, 1802-1885 -- Criticism and interpretation",Public domain in the USA.,1882,Algernon Charles Swinburne,male,English,1837.0,1909.0,Wikipedia,True,11
12758,60469,"The Hundred, and Other Stories","Brownell, Gertrude Hall",PS,Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Short stories, American ; PS ; American fiction -- 19th century",Public domain in the USA.,1898,Gertrude Hall Brownell,female,"American, French",1863.0,1961.0,Wikipedia,True,2
12759,60470,"Harper's Round Table, January 19, 1897",Various,AP,Browsing: Children & Young Adult Reading; Browsing: Encyclopedias/Dictionaries/Reference,Children's periodicals ; AP,Public domain in the USA.,1917,Various,male,Kingdom of the Netherlands,1929.0,2022.0,Wikidata,True,3
12760,60479,"1900; or, The last President","Lockwood, Ingersoll",PS,Browsing: Literature; Browsing: Politics; Browsing: Fiction,PS ; United States -- Politics and government -- Fiction,Public domain in the USA.,1896,Ingersoll Lockwood,male,American,1841.0,1918.0,Wikipedia,True,1
12761,60481,In this our world,"Gilman, Charlotte Perkins",PS,Browsing: Literature; Browsing: Poetry,American poetry -- 19th century ; PS,Public domain in the USA.,1923,Charlotte Perkins Gilman,female,American,1860.0,1935.0,Wikipedia,True,4
