,Etext Number,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
0,11,Alice's Adventures in Wonderland,"Carroll, Lewis",PR; PZ,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Fiction,Imaginary places -- Juvenile fiction ; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR,Public domain in the USA.,1865,Lewis Carroll,male,"British, English",1832.0,1898.0,Wikipedia,True,3
1,12,Through the Looking-Glass,"Carroll, Lewis",PR; PZ,Children's Literature; Best Books Ever Listings; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,Imaginary places -- Juvenile fiction ; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR,Public domain in the USA.,1871,Lewis Carroll,male,"British, English",1832.0,1898.0,Wikipedia,True,3
2,13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis",PR,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature,"PR ; Nonsense verses, English",Public domain in the USA.,1876,Lewis Carroll,male,"British, English",1832.0,1898.0,Wikipedia,True,3
3,15,"Moby-Dick; or, The Whale","Melville, Herman",PS,Adventure; Best Books Ever Listings; Browsing: Literature; Browsing: Fiction,"Whales -- Fiction ; Ahab, Captain (Fictitious character) -- Fiction ; Psychological fiction ; Adventure stories ; Sea stories ; Whaling ships -- Fiction ; Whaling -- Fiction ; PS ; Ship captains -- Fiction ; Mentally ill -- Fiction",Public domain in the USA.,1851,Herman Melville,male,American,1819.0,1891.0,Wikipedia,True,1
4,16,Peter Pan,"Barrie, J. M. (James Matthew)",PR; PZ,Children's Literature; Movie Books; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Peter Pan (Fictitious character) -- Fiction ; Fairies -- Fiction ; Fantasy literature ; PZ ; Never-Never Land (Imaginary place) -- Fiction ; Pirates -- Fiction ; PR,Public domain in the USA.,1906,James Matthew Barrie,male,Scottish,1860.0,1937.0,Wikipedia,True,19
5,19,The Song of Hiawatha,"Longfellow, Henry Wadsworth",PS,Children's Literature; Poetry; Native America; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry,"Iroquois Indians -- Kings and rulers -- Poetry ; Hiawatha, active 15th century -- Poetry ; Indians of North America -- Poetry ; PS",Public domain in the USA.,1855,Henry Wadsworth Longfellow,male,American,1807.0,1882.0,Wikipedia,True,8
6,24,O Pioneers!,"Cather, Willa",PS,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,Swedish Americans -- Fiction ; Frontier and pioneer life -- Nebraska -- Fiction ; Women immigrants -- Fiction ; Nebraska -- Fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; PS ; Historical fiction ; Siblings -- Fiction ; Women pioneers -- Fiction ; Domestic fiction,Public domain in the USA.,1913,Willa Cather,female,American,1873.0,1947.0,Wikipedia,True,7
7,27,Far from the Madding Crowd,"Hardy, Thomas",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Triangles (Interpersonal relations) -- Fiction ; Love stories ; Pastoral fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; Wessex (England) -- Fiction ; Didactic fiction ; PR,Public domain in the USA.,1874,Thomas Hardy,male,English,1840.0,1928.0,Wikipedia,True,19
8,32,Herland,"Gilman, Charlotte Perkins",PS,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Fiction,Women -- Fiction ; Utopias -- Fiction ; Black humor ; PS ; Utopian fiction,Public domain in the USA.,1915,Charlotte Perkins Gilman,female,American,1860.0,1935.0,Wikipedia,True,4
9,33,The Scarlet Letter,"Hawthorne, Nathaniel",PS,Harvard Classics; Movie Books; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Revenge -- Fiction ; Women immigrants -- Fiction ; Illegitimate children -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Adultery -- Fiction ; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction ; Married women -- Fiction ; Psychological fiction ; Clergy -- Fiction ; PS ; Puritans -- Fiction ; Historical fiction",Public domain in the USA.,1850,Nathaniel Hawthorne,male,American,1804.0,1864.0,Wikipedia,True,4
10,35,The Time Machine,"Wells, H. G. (Herbert George)",PR,Science Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Science fiction ; Time travel -- Fiction ; PR ; Dystopias -- Fiction,Public domain in the USA.,1895,Herbert George Wells,male,English,1866.0,1946.0,OpenLibrary,True,41
11,36,The War of the Worlds,"Wells, H. G. (Herbert George)",PR,Science Fiction; Movie Books; Browsing: History - Warfare; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Imaginary wars and battles -- Fiction ; Mars (Planet) -- Fiction ; Space warfare -- Fiction ; Science fiction ; Martians -- Fiction ; Life on other planets -- Fiction ; War stories ; PR,Public domain in the USA.,1897,Herbert George Wells,male,English,1866.0,1946.0,OpenLibrary,True,41
12,41,The Legend of Sleepy Hollow,"Irving, Washington",PS,Children's Literature; Harvard Classics; Browsing: Children & Young Adult Reading; Browsing: History - American; Browsing: Literature; Browsing: Fiction,New York (State) -- History -- 1775-1865 -- Fiction ; PS ; Ghosts -- Fiction,Public domain in the USA.,1906,Washington Irving,male,American,1783.0,1859.0,Wikipedia,True,1
13,42,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",PR,Precursors of Science Fiction; Horror; Gothic Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Horror tales ; London (England) -- Fiction ; Physicians -- Fiction ; Self-experimentation in medicine -- Fiction ; Science fiction ; Psychological fiction ; Multiple personality -- Fiction ; PR,Public domain in the USA.,1875,Robert Louis Stevenson,male,Scottish,1850.0,1894.0,Wikipedia,True,31
14,43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",PR,Precursors of Science Fiction; Horror; Movie Books; Browsing: Psychiatry/Psychology; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Horror tales ; London (England) -- Fiction ; Physicians -- Fiction ; Self-experimentation in medicine -- Fiction ; Science fiction ; Psychological fiction ; Multiple personality -- Fiction ; PR,Public domain in the USA.,1875,Robert Louis Stevenson,male,Scottish,1850.0,1894.0,Wikipedia,True,31
15,44,The Song of the Lark,"Cather, Willa",PS,Opera; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Opera -- Fiction ; Chicago (Ill.) -- Fiction ; Colorado -- Fiction ; Swedish Americans -- Fiction ; Young women -- Fiction ; Women singers -- Fiction ; PS ; Bildungsromans ; Children of clergy -- Fiction ; Musical fiction,Public domain in the USA.,1915,Willa Cather,female,American,1873.0,1947.0,Wikipedia,True,7
16,45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)",PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Fiction,"Canada -- History -- 1867-1914 -- Fiction ; Country life -- Prince Edward Island -- Fiction ; Girls -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; PZ ; Orphans -- Fiction ; Islands -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Bildungsromans ; Friendship -- Fiction",Public domain in the USA.,1908,Lucy Maud Montgomery,female,Canadian,1874.0,1942.0,"Wikipedia, OpenLibrary",True,3
17,46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",PR,Children's Literature; Christmas; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Fiction,"Ghost stories ; London (England) -- Fiction ; Sick children -- Fiction ; PR ; Christmas stories ; Misers -- Fiction ; Scrooge, Ebenezer (Fictitious character) -- Fiction ; Poor families -- Fiction",Public domain in the USA.,1843,Charles Dickens,male,English,1812.0,1870.0,Wikipedia,True,11
18,47,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud)",PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,"Teachers -- Fiction ; PZ ; Orphans -- Fiction ; Islands -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; Canada -- History -- 1914-1945 -- Fiction",Public domain in the USA.,1909,Lucy Maud Montgomery,female,Canadian,1874.0,1942.0,"Wikipedia, OpenLibrary",True,3
19,51,Anne of the Island,"Montgomery, L. M. (Lucy Maud)",PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,"Nova Scotia -- History -- 20th century -- Fiction ; PZ ; Orphans -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Self-perception -- Fiction ; Universities and colleges -- Fiction ; Interpersonal relations -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; Canada -- History -- 1914-1945 -- Fiction",Public domain in the USA.,1920,Lucy Maud Montgomery,female,Canadian,1874.0,1942.0,"Wikipedia, OpenLibrary",True,3
20,54,The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank)",PZ,Children's Literature; Fantasy; Browsing: Children & Young Adult Reading; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Queens -- Juvenile fiction ; Voyages and travels -- Juvenile fiction ; Women soldiers -- Juvenile fiction ; Kings and rulers -- Juvenile fiction ; Oz (Imaginary place) -- Juvenile fiction ; PZ ; Youth -- Conduct of life -- Juvenile fiction ; Practical jokes -- Juvenile fiction ; Magic -- Juvenile fiction ; Witches -- Juvenile fiction ; Friendship -- Juvenile fiction ; Fantasy literature ; Conduct of life -- Juvenile fiction,Public domain in the USA.,1900,Lyman Frank Baum,male,American,1856.0,1919.0,Wikipedia,True,2
21,55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",PZ,Children's Literature; Fantasy; Browsing: Children & Young Adult Reading; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Scarecrow (Fictitious character from Baum) -- Juvenile fiction ; Tin Woodman (Fictitious character) -- Juvenile fiction ; Gale, Dorothy (Fictitious character) -- Juvenile fiction ; Wizard of Oz (Fictitious character) -- Juvenile fiction ; Cowardly Lion (Fictitious character) -- Juvenile fiction ; Courage -- Juvenile fiction ; Oz (Imaginary place) -- Juvenile fiction ; PZ ; Cyclones -- Juvenile fiction ; Dreams -- Juvenile fiction ; Toto (Fictitious character) -- Juvenile fiction ; Home -- Juvenile fiction ; Witches -- Juvenile fiction ; Good and evil -- Juvenile fiction ; Fantasy literature",Public domain in the USA.,1900,Lyman Frank Baum,male,American,1856.0,1919.0,Wikipedia,True,2
22,60,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness",PR,Adventure; Best Books Ever Listings; Movie Books; Browsing: History - General; Browsing: Literature; Browsing: Fiction,"Blakeney, Percy, Sir (Fictitious character) -- Fiction ; Nobility -- Fiction ; British -- France -- Fiction ; Adventure stories ; France -- History -- Revolution, 1789-1799 -- Fiction ; Historical fiction ; PR",Public domain in the USA.,1900,"Emmuska Orczy, Orczy",female,"British, English, French",1865.0,1947.0,Wikipedia,True,21
23,62,A Princess of Mars,"Burroughs, Edgar Rice",PS,Science Fiction; Best Books Ever Listings; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Mars (Planet) -- Fiction ; Dejah Thoris (Fictitious character) -- Fiction ; Carter, John (Fictitious character) -- Fiction ; Science fiction ; Princesses -- Fiction ; PS",Public domain in the USA.,1912,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
24,64,The Gods of Mars,"Burroughs, Edgar Rice",PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Mars (Planet) -- Fiction ; Dejah Thoris (Fictitious character) -- Fiction ; Carter, John (Fictitious character) -- Fiction ; Science fiction ; Life on other planets -- Fiction ; PS",Public domain in the USA.,1913,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
25,68,The warlord of Mars,"Burroughs, Edgar Rice",PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Mars (Planet) -- Fiction ; Dejah Thoris (Fictitious character) -- Fiction ; Carter, John (Fictitious character) -- Fiction ; Science fiction ; PS",Public domain in the USA.,1917,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
26,72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice",PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Science fiction ; Martians -- Fiction ; Mars (Planet) -- Fiction ; PS,Public domain in the USA.,1916,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
27,73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",PS,"US Civil War; Historical Fiction; Best Books Ever Listings; Bestsellers, American, 1895-1923; Browsing: History - American; Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction","Virginia -- History -- Civil War, 1861-1865 -- Fiction ; United States -- History -- Civil War, 1861-1865 -- Fiction ; PS ; Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction ; Historical fiction ; War stories",Public domain in the USA.,1896,Stephen Crane,male,American,1871.0,1900.0,"Wikipedia, OpenLibrary",True,11
28,74,"The Adventures of Tom Sawyer, Complete","Twain, Mark",PS,Banned Books from Anne Haight's list; Banned Books List from the American Library Association; Browsing: Children & Young Adult Reading; Browsing: Humour; Browsing: Literature; Browsing: Fiction,"Male friendship -- Fiction ; Runaway children -- Fiction ; Missouri -- Fiction ; Child witnesses -- Fiction ; Humorous stories ; Boys -- Fiction ; Adventure stories ; Sawyer, Tom (Fictitious character) -- Fiction ; PS ; Bildungsromans ; Mississippi River Valley -- Fiction",Public domain in the USA.,1876,Mark Twain,male,American,1835.0,1910.0,Wikipedia,True,100
29,77,The House of the Seven Gables,"Hawthorne, Nathaniel",PS,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,Paranormal fiction ; Haunted houses -- Fiction ; Salem (Mass.) -- Fiction ; PS ; Historical fiction ; Domestic fiction,Public domain in the USA.,1850,Nathaniel Hawthorne,male,American,1804.0,1864.0,Wikipedia,True,4
30,78,Tarzan of the Apes,"Burroughs, Edgar Rice",PS,Adventure; Movie Books; Browsing: Culture/Civilization/Society; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,British -- Africa -- Fiction ; Africa -- Fiction ; Wild men -- Fiction ; Adventure stories ; Fantasy fiction ; PS ; Tarzan (Fictitious character) -- Fiction,Public domain in the USA.,1912,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
31,81,The Return of Tarzan,"Burroughs, Edgar Rice",PZ; PS,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,PZ ; Adventure stories ; Fantasy fiction ; PS ; Tarzan (Fictitious character) -- Fiction,Public domain in the USA.,1913,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
32,82,Ivanhoe: A Romance,"Scott, Walter",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction,"Great Britain -- History -- Richard I, 1189-1199 -- Fiction ; Knights and knighthood -- Fiction ; Normans -- Great Britain -- Fiction ; Love stories ; Anglo-Saxons -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction ; Historical fiction ; Jews -- England -- Fiction ; PR",Public domain in the USA.,1800,Walter Scott,male,"Scottish, American",1771.0,1832.0,Wikipedia,True,1
33,85,The Beasts of Tarzan,"Burroughs, Edgar Rice",PZ; PS,Adventure; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Jungle animals -- Fiction ; PZ ; Adventure stories ; Fantasy fiction ; PS ; Tarzan (Fictitious character) -- Fiction,Public domain in the USA.,1914,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
34,86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",PS,Precursors of Science Fiction; Arthurian Legends; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Satire ; Kings and rulers -- Fiction ; Arthurian romances -- Adaptations ; Time travel -- Fiction ; Fantasy fiction ; PS ; Britons -- Fiction ; Knights and knighthood -- Fiction ; Americans -- Great Britain -- Fiction,Public domain in the USA.,1889,Mark Twain,male,American,1835.0,1910.0,Wikipedia,True,100
35,90,The Son of Tarzan,"Burroughs, Edgar Rice",PZ; PS,Adventure; Movie Books; Contemporary Reviews; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,PZ ; Adventure stories ; Fantasy fiction ; PS ; Tarzan (Fictitious character) -- Fiction,Public domain in the USA.,1915,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
36,91,Tom Sawyer Abroad,"Twain, Mark",PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,"Adventure stories ; Sawyer, Tom (Fictitious character) -- Fiction ; Balloon ascensions -- Fiction ; PS ; Americans -- Foreign countries -- Fiction",Public domain in the USA.,1894,Mark Twain,male,American,1835.0,1910.0,Wikipedia,True,100
37,92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice",PS,Adventure; Movie Books; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Adventure stories ; PS ; Fantasy fiction ; Tarzan (Fictitious character) -- Fiction,Public domain in the USA.,1916,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
38,93,"Tom Sawyer, Detective","Twain, Mark",PS,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Sawyer, Tom (Fictitious character) -- Fiction ; Mystery fiction ; PS",Public domain in the USA.,1896,Mark Twain,male,American,1835.0,1910.0,Wikipedia,True,100
39,94,Alexander's Bridge,"Cather, Willa",PS,Browsing: Architecture; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Psychiatry/Psychology; Browsing: Fiction,Mistresses -- Fiction ; Bridges -- Design and construction -- Fiction ; London (England) -- Fiction ; Civil engineers -- Fiction ; Psychological fiction ; Married people -- Fiction ; PS ; Boston (Mass.) -- Fiction,Public domain in the USA.,1912,Willa Cather,female,American,1873.0,1947.0,Wikipedia,True,7
40,95,The prisoner of Zenda,"Hope, Anthony",PR,"Adventure; Best Books Ever Listings; Movie Books; Bestsellers, American, 1895-1923; Browsing: History - British; Browsing: Literature; Browsing: Fiction",Kings and rulers -- Fiction ; Love stories ; Impostors and imposture -- Fiction ; Adventure stories ; British -- Foreign countries -- Fiction ; Political kidnapping -- Fiction ; PR,Public domain in the USA.,1894,Anthony Hope,male,"English, British",1863.0,1933.0,Wikipedia,True,31
41,96,The Monster Men,"Burroughs, Edgar Rice",PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Science fiction ; PS ; Fantasy fiction,Public domain in the USA.,1913,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
42,97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",QA,Mathematics; Science Fiction; Browsing: Mathematics; Browsing: Science - General; Browsing: Science-Fiction & Fantasy,Fourth dimension ; QA,Public domain in the USA.,1884,Edwin Abbott Abbott,male,"British, English",1838.0,1926.0,"Wikipedia, Wikidata",True,1
43,98,A Tale of Two Cities,"Dickens, Charles",PR,Historical Fiction; Browsing: History - British; Browsing: History - European; Browsing: History - General; Browsing: Literature; Browsing: Fiction,"London (England) -- History -- 18th century -- Fiction ; War stories ; Executions and executioners -- Fiction ; Lookalikes -- Fiction ; British -- France -- Paris -- Fiction ; Paris (France) -- History -- 1789-1799 -- Fiction ; French -- England -- London -- Fiction ; France -- History -- Revolution, 1789-1799 -- Fiction ; Historical fiction ; PR",Public domain in the USA.,1859,Charles Dickens,male,English,1812.0,1870.0,Wikipedia,True,11
44,102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Legal stories ; Trials (Murder) -- Fiction ; Missouri -- Fiction ; Infants switched at birth -- Fiction ; Impostors and imposture -- Fiction ; Race relations -- Fiction ; PS ; Passing (Identity) -- Fiction,Public domain in the USA.,1882,Mark Twain,male,American,1835.0,1910.0,Wikipedia,True,100
45,105,Persuasion,"Austen, Jane",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Regency fiction ; Love stories ; First loves -- Fiction ; Motherless families -- Fiction ; Young women -- Fiction ; Psychological fiction ; Rejection (Psychology) -- Fiction ; England -- Social life and customs -- 19th century -- Fiction ; Ship captains -- Fiction ; Dysfunctional families -- Fiction ; PR,Public domain in the USA.,1789,Jane Austen,female,English,1775.0,1817.0,Wikipedia,True,1
46,106,Jungle Tales of Tarzan,"Burroughs, Edgar Rice",PZ; PS,Adventure; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Africa -- Fiction ; PZ ; Adventure stories ; Apes -- Fiction ; Jungles -- Fiction ; PS ; Fantasy fiction ; Tarzan (Fictitious character) -- Fiction,Public domain in the USA.,1916,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
47,107,Far from the Madding Crowd,"Hardy, Thomas",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Triangles (Interpersonal relations) -- Fiction ; Pastoral fiction ; Love stories ; Women farmers -- Fiction ; Farm life -- Fiction ; Wessex (England) -- Fiction ; Didactic fiction ; PR,Public domain in the USA.,1874,Thomas Hardy,male,English,1840.0,1928.0,Wikipedia,True,19
48,108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",PR,Detective Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Detective and mystery stories, English ; Holmes, Sherlock (Fictitious character) -- Fiction ; PR",Public domain in the USA.,1903,Arthur Conan Doyle,male,British,1859.0,1930.0,Wikipedia,True,55
49,109,"Renascence, and Other Poems","Millay, Edna St. Vincent",PS,Browsing: Literature; Browsing: Poetry,PS ; American poetry,Public domain in the USA.,1923,Edna St. Vincent Millay,female,American,1892.0,1950.0,Wikipedia,True,1
50,110,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",PR,Banned Books from Anne Haight's list; Browsing: Literature; Browsing: Fiction,Women murderers -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Pastoral fiction ; Rape victims -- Fiction ; Wessex (England) -- Fiction ; Children of the rich -- Fiction ; Didactic fiction ; Poor families -- Fiction ; Women household employees -- Fiction ; Man-woman relationships -- Fiction ; Children of clergy -- Fiction ; PR,Public domain in the USA.,1919,Thomas Hardy,male,English,1840.0,1928.0,Wikipedia,True,19
51,111,Freckles,"Stratton-Porter, Gene",PZ; PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Indiana -- Fiction ; PZ ; Orphans -- Fiction ; PS ; Swamps -- Fiction ; People with disabilities -- Fiction,Public domain in the USA.,1904,Gene Stratton-Porter,female,American,1863.0,1924.0,Wikipedia,True,3
52,113,The Secret Garden,"Burnett, Frances Hodgson",PZ,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Fiction,Orphans -- Juvenile fiction ; Gardens -- Juvenile fiction ; PZ ; People with disabilities -- Juvenile fiction ; Yorkshire (England) -- Juvenile fiction,Public domain in the USA.,1911,Frances Hodgson Burnett,female,British-American,1849.0,1924.0,"Wikipedia, OpenLibrary",True,16
53,119,A Tramp Abroad,"Twain, Mark",PS,Browsing: Culture/Civilization/Society; Browsing: Humour; Browsing: Travel & Geography; Browsing: Fiction,Europe -- Fiction ; Americans -- Europe -- Fiction ; Humorous stories ; Walking -- Fiction ; PS,Public domain in the USA.,1880,Mark Twain,male,American,1835.0,1910.0,Wikipedia,True,100
54,120,Treasure Island,"Stevenson, Robert Louis",PR; PZ,"Children's Literature; Historical Fiction; Best Books Ever Listings; Pirates, Buccaneers, Corsairs, etc.; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction",Treasure troves -- Fiction ; Treasure Island (Imaginary place) -- Fiction ; PZ ; Sea stories ; Pirates -- Fiction ; PR,Public domain in the USA.,1881,Robert Louis Stevenson,male,Scottish,1850.0,1894.0,Wikipedia,True,31
55,121,Northanger Abbey,"Austen, Jane",PR,Gothic Fiction; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Satire ; Gothic fiction ; Marriage -- Economic aspects -- Fiction ; Love stories ; Young women -- Fiction ; Books and reading -- Fiction ; England -- Fiction ; England -- Social life and customs -- 19th century -- Fiction ; Horror tales -- Appreciation -- Fiction ; Gentry -- England -- Fiction ; PR,Public domain in the USA.,1880,Jane Austen,female,English,1775.0,1817.0,Wikipedia,True,1
56,122,The Return of the Native,"Hardy, Thomas",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Love stories ; Adultery -- Fiction ; Wessex (England) -- Fiction ; People with visual disabilities -- Fiction ; Didactic fiction ; PR ; Mate selection -- Fiction ; Mothers and sons -- Fiction ; Heathlands -- Fiction,Public domain in the USA.,1878,Thomas Hardy,male,English,1840.0,1928.0,Wikipedia,True,19
57,123,At the Earth's Core,"Burroughs, Edgar Rice",PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Earth (Planet) -- Core -- Fiction ; Science fiction ; Adventure stories ; PS ; Fantasy fiction,Public domain in the USA.,1914,Edgar Rice Burroughs,male,American,1875.0,1950.0,Wikipedia,True,20
58,125,A Girl of the Limberlost,"Stratton-Porter, Gene",PZ; PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Conflict of generations -- Fiction ; Girls -- Fiction ; Indiana -- Fiction ; Swamps -- Fiction ; PZ ; PS ; Moths -- Fiction ; Mothers and daughters -- Fiction ; Didactic fiction ; Bildungsromans ; Domestic fiction,Public domain in the USA.,1909,Gene Stratton-Porter,female,American,1863.0,1924.0,Wikipedia,True,3
59,126,The Poison Belt,"Doyle, Arthur Conan",PR,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Science fiction ; PR ; Challenger, Professor (Fictitious character) -- Fiction",Public domain in the USA.,1913,Arthur Conan Doyle,male,British,1859.0,1930.0,Wikipedia,True,55
60,128,The Arabian Nights Entertainments,"Lang, Andrew",PJ; PZ,Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature,Fairy tales ; Arabs -- Folklore ; PJ ; Tales -- Arab countries ; Children's stories ; Fairy tales -- Arab countries ; PZ ; Folklore -- Arab countries,Public domain in the USA.,1898,Andrew Lang,male,Scottish,1844.0,1912.0,Wikipedia,True,15
61,130,Orthodoxy,"Chesterton, G. K. (Gilbert Keith)",BR,Christianity; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,"Apologetics ; Christianity -- Essence, genius, nature ; Chesterton, G. K. (Gilbert Keith), 1874-1936 ; BR",Public domain in the USA.,1918,Gilbert Keith Chesterton,male,English,1874.0,1936.0,Wikipedia,True,28
