,Published Year,Etext Number
348,1979,67816
349,1979,17347
350,1979,66958
351,1979,55876
352,1979,32227
353,1979,73657
354,1979,36504
355,1979,75230
356,1979,59907
357,1979,39904
358,1979,26277
359,1979,32312
360,1979,57725
361,1979,71736
362,1979,75350
363,1979,57288
364,1979,52838
365,1979,44924
366,1979,44873
367,1979,40666
368,1979,55062
369,1979,20408
370,1979,20248
371,1979,58146
372,1979,50822
373,1979,66919
374,1979,64226
375,1979,50468
376,1979,75524
377,1979,59484
378,1979,59192
379,1979,46678
380,1979,27431
381,1979,29701
382,1979,29092
383,1979,55143
384,1979,55612
385,1979,27567
386,1979,37893
387,1979,24522
388,1979,63208
389,1979,65189
390,1979,54253
391,1979,46917
392,1979,19160
393,1979,33887
394,1979,41617
395,1979,64134
396,1979,71432
397,1979,59457
398,1979,44353
399,1979,19139
400,1979,74725
401,1979,51209
402,1979,45634
403,1979,36674
404,1979,52786
405,1979,39940
406,1979,63299
407,1979,73411
408,1979,36924
409,1979,20055
410,1979,41732
411,1979,68150
412,1979,30081
413,1979,61788
414,1979,61764
415,1979,38782
416,1979,49073
417,1979,55993
418,1979,10292
419,1979,41541
420,1979,36150
421,1979,26311
422,1979,59050
423,1979,65606
424,1979,74834
425,1979,35082
426,1979,17204
427,1979,73133
428,1979,20456
429,1979,36043
430,1979,20311
431,1979,24161
432,1979,66688
433,1979,43300
434,1979,39754
435,1979,36503
436,1979,48342
437,1979,63057
438,1979,30708
439,1979,45489
440,1979,22472
441,1979,57602
442,1979,46199
443,1979,67436
444,1979,50700
445,1979,57400
446,1979,41869
447,1979,20377
448,1979,1645
449,1979,39909
450,1979,54080
451,1979,26310
452,1979,58609
453,1979,53099
454,1979,58406
455,1979,57200
456,1979,49078
457,1979,63219
458,1979,71549
459,1979,28856
460,1979,35586
461,1979,58073
462,1979,45778
463,1979,60590
464,1979,44976
465,1979,24493
466,1979,52977
467,1979,27372
468,1979,37453
469,1979,49009
470,1979,67059
471,1979,51605
472,1979,46432
473,1979,50289
474,1979,62815
475,1979,54969
476,1979,33656
477,1979,35055
478,1979,67685
479,1979,29752
480,1979,58005
481,1979,65918
482,1979,53136
483,1979,67085
484,1979,60260
485,1979,54915
486,1979,25976
487,1979,30672
488,1979,22324
489,1979,43160
490,1979,26128
491,1979,62176
492,1979,53235
493,1979,10035
494,1979,62414
495,1979,32581
496,1979,18503
497,1979,18674
498,1979,19443
499,1979,69026
500,1979,36744
501,1979,25632
502,1979,26857
503,1979,54610
504,1979,44406
505,1979,28725
506,1979,42452
507,1979,66036
508,1979,60940
509,1979,46543
510,1979,16500
511,1979,70629
512,1979,74498
513,1979,31823
514,1979,64260
515,1979,16126
516,1979,50621
517,1979,55132
518,1979,14052
519,1979,46618
520,1979,20068
521,1979,55061
522,1979,57434
523,1979,19723
524,1979,28295
525,1979,32491
526,1979,41229
527,1979,22088
528,1979,70420
529,1979,43588
530,1979,25638
531,1979,67866
532,1979,60326
533,1979,62102
534,1979,46577
535,1979,36773
536,1979,72708
537,1979,58109
538,1979,32677
539,1979,14716
540,1979,19475
541,1979,31646
542,1979,51848
543,1979,53518
544,1979,60770
545,1979,72689
546,1979,38837
547,1979,64683
548,1979,17203
549,1979,32368
550,1979,56689
551,1979,57810
552,1979,35212
553,1979,27797
554,1979,40355
555,1979,48152
556,1979,53245
557,1979,20814
558,1979,28308
559,1979,62742
560,1979,59264
561,1979,70943
562,1979,57595
563,1979,52026
564,1979,65247
565,1979,42884
566,1979,30598
567,1979,25017
568,1979,42795
569,1979,48978
570,1979,51489
571,1979,44643
572,1979,70323
573,1979,29178
574,1979,44004
575,1979,67012
576,1979,56693
577,1979,60143
578,1979,46648
579,1979,69270
580,1979,44912
581,1979,56746
582,1979,40005
583,1979,59307
584,1979,66640
585,1979,66000
586,1979,34853
587,1979,70614
588,1979,32767
589,1979,38308
590,1979,59398
591,1979,39860
592,1979,63882
593,1979,18275
594,1979,50424
595,1979,64459
596,1979,34180
597,1979,74978
598,1979,73020
599,1979,71385
600,1979,30198
601,1979,52300
602,1979,36508
603,1979,75114
604,1979,51393
605,1979,56079
606,1979,60043
607,1979,59815
608,1979,773
609,1979,56302
610,1979,39528
611,1979,60807
612,1979,38959
613,1979,67346
614,1979,3189
615,1979,72461
616,1979,68097
617,1979,70595
618,1979,18252
619,1979,18563
620,1979,35920
621,1979,32135
622,1979,56308
623,1979,46125
624,1979,47304
625,1979,73475
626,1979,56658
627,1979,21284
628,1979,37342
629,1979,48551
630,1979,48123
631,1979,49343
632,1979,70090
633,1979,16139
634,1979,30090
635,1979,28468
636,1979,57912
637,1979,60858
638,1979,60294
639,1979,36374
640,1979,26660
641,1979,53627
642,1979,67692
643,1979,57231
644,1979,38120
645,1979,47793
646,1979,9898
647,1979,62560
648,1979,60285
649,1979,24811
650,1979,33978
651,1979,58407
652,1979,26382
653,1979,35029
654,1979,55032
655,1979,58716
656,1979,45821
657,1979,40559
658,1979,73787
659,1979,70204
660,1979,18931
661,1979,51897
662,1979,66070
663,1979,69858
664,1979,18835
665,1979,32153
666,1979,70434
667,1979,58752
668,1979,35023
669,1979,14829
670,1979,66304
671,1979,40812
672,1979,40077
673,1979,40362
674,1979,17300
675,1979,52148
676,1979,72846
677,1979,22267
678,1979,55212
679,1979,17128
680,1979,9481
681,1979,66813
682,1979,44056
683,1979,17721
684,1979,26367
685,1979,40214
686,1979,27437
687,1979,31078
688,1979,74076
689,1979,34592
690,1979,65978
691,1979,20191
692,1979,55011
693,1979,22609
694,1979,53610
695,1979,48389
696,1979,45788
697,1979,40167
698,1979,58314
699,1979,65563
700,1979,27085
701,1979,70441
702,1979,49491
703,1979,72651
704,1979,55743
705,1979,68367
706,1979,40896
707,1979,64189
708,1979,28043
709,1979,58169
710,1979,42281
711,1979,65153
712,1979,66190
713,1979,40948
