,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
1546,"Calhoun, Howell",Howell Calhoun,,,,,,False,1
1557,"Wallis, Arthur Frederick",Arthur Frederick Wallis,,,1874.0,,OpenLibrary,True,1
1569,"White, William Patterson",William Patterson White,male,,1884.0,1954.0,"OpenLibrary, Wikidata",True,1
1583,"Bayly, A. Eric",A. Eric Bayly,male,,1994.0,,Wikipedia,True,1
1588,"Price-Brown, John",John Price-Brown,,,1844.0,1938.0,OpenLibrary,True,1
1592,"Cruickshank, Alfred Hamilton",Alfred Hamilton Cruickshank,male,,1862.0,1927.0,"OpenLibrary, Wikidata",True,1
1594,"Allen, Frank Waller",Frank Waller Allen,,,1878.0,,OpenLibrary,True,1
1604,"Bewsher, Paul",Paul Bewsher,male,,1894.0,1966.0,Wikidata,True,1
1616,"Whitehead, Harold",Harold Whitehead,male,,1880.0,,"OpenLibrary, Wikidata",True,1
1623,"Gatty, Alfred",Alfred Gatty,male,,1813.0,1903.0,"OpenLibrary, Wikidata",True,1
1628,"Gould, George M. (George Milbrey)",George Milbrey Gould,,,1848.0,1922.0,OpenLibrary,True,1
1629,"Barrett, Robert Emmett",Robert Emmett Barrett,,,,,,False,1
1633,"Eade, Peter, Sir","Peter, Eade",male,,1825.0,,OpenLibrary,True,1
1636,"Hill, John A. (John Alexander)",John Alexander Hill,male,,1858.0,1916.0,"OpenLibrary, Wikidata",True,1
1651," Flint, F. S. (Frank Stewart)",Frank Stewart Flint,,French,,,OpenLibrary,True,1
1657,"Marsland, Cora",Cora Marsland,female,,1859.0,1944.0,"OpenLibrary, Wikidata",True,1
1665,"Williams, Wayland Wells",Wayland Wells Williams,,,1888.0,1945.0,OpenLibrary,True,1
1671,"Danziger, Adolphe ",Adolphe Danziger,,,1859.0,1959.0,OpenLibrary,True,1
1679,"Sheets, Emily Churchill Thompson",Emily Churchill Thompson Sheets,,,1875.0,,OpenLibrary,True,1
1680,"Wolfe, Theodore F. (Theodore Frelinghuysen)",Theodore Frelinghuysen Wolfe,male,,1847.0,1915.0,"OpenLibrary, Wikidata",True,1
1694,"Sauzade, John S.",John S. Sauzade,,,1828.0,,OpenLibrary,True,1
1706,"Bennett, Rolf",Rolf Bennett,,,,,,False,1
1707,"Ludlow, James M. (James Meeker)",James Meeker Ludlow,male,,1841.0,1932.0,"OpenLibrary, Wikidata",True,1
1708,"Cox, Florence Tinsley",Florence Tinsley Cox,,,1877.0,1940.0,OpenLibrary,True,1
1712,"Tombo, Rudolf",Rudolf Tombo,,"American, German",1846.0,1923.0,"Wikipedia, OpenLibrary",True,1
1723,"Marie, Queen, consort of Ferdinand I, King of Romania","Queen, consort of Ferdinand I, King of Romania Marie",,,1875.0,1938.0,OpenLibrary,True,1
1736,"Baskerville, Beatrice C.",Beatrice C. Baskerville,,Polish,,,OpenLibrary,True,1
1740,"Sayre, Theodore Burt",Theodore Burt Sayre,male,,1874.0,1954.0,"OpenLibrary, Wikidata",True,1
1741,"Richard, Margaret A. (Margaret Alice)",Margaret Alice Richard,,,1870.0,,OpenLibrary,True,1
1745,"Jackson, Charles Ross",Charles Ross Jackson,,,1867.0,1915.0,OpenLibrary,True,1
1747,"Edgcumbe, Richard",Richard Edgcumbe,male,,1843.0,1937.0,"OpenLibrary, Wikidata",True,1
