,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found
417,"Kester, Vaughan",Vaughan Kester,male,American,1869.0,1911.0,"Wikipedia, OpenLibrary, Wikidata",True
418,"Thurston, Katherine Cecil",Katherine Cecil Thurston,female,Irish,1875.0,1911.0,"Wikipedia, OpenLibrary, Wikidata",True
419,"Harland, Marion",Marion Harland,female,American,1853.0,1922.0,Wikipedia,True
420,"Bosher, Kate Langley",Kate Langley Bosher,female,American,1865.0,1932.0,Wikipedia,True
421,"Mabie, Hamilton Wright",Hamilton Wright Mabie,male,American,1846.0,1916.0,"Wikipedia, OpenLibrary, Wikidata",True
422,"Brebner, Percy James",Percy James Brebner,male,English,1864.0,1922.0,"Wikipedia, Wikidata",True
423,"Carryl, Guy Wetmore",Guy Wetmore Carryl,male,American,1873.0,1904.0,"Wikipedia, OpenLibrary, Wikidata",True
424,"Shiel, M. P. (Matthew Phipps)",Matthew Phipps Shiel,male,British,1865.0,1947.0,Wikipedia,True
425,"Lathrop, George Parsons",George Parsons Lathrop,male,American,1851.0,1898.0,"Wikipedia, OpenLibrary, Wikidata",True
426,"Stretton, Hesba",Hesba Stretton,female,English,1832.0,1911.0,Wikipedia,True
427,"Glaspell, Susan",Susan Glaspell,female,American,1876.0,1948.0,"Wikipedia, OpenLibrary",True
428,"Hawthorne, Nathaniel",Nathaniel Hawthorne,male,American,1804.0,1864.0,Wikipedia,True
429,"Russell, George William",George William Russell,male,Irish,1867.0,1935.0,Wikipedia,True
430,"Foote, Mary Hallock",Mary Hallock Foote,female,American,1847.0,1938.0,"Wikipedia, OpenLibrary",True
431,"Waterloo, Stanley",Stanley Waterloo,male,American,1846.0,1913.0,"Wikipedia, OpenLibrary",True
432,"Moffett, Cleveland",Cleveland Moffett,male,American,1863.0,1926.0,"Wikipedia, OpenLibrary, Wikidata",True
433,"Sassoon, Siegfried",Siegfried Sassoon,male,English,1886.0,1967.0,Wikipedia,True
434,"Fraser, William Alexander",William Alexander Fraser,male,United Kingdom,1859.0,1933.0,"OpenLibrary, Wikidata",True
435,"Stephens, Robert Neilson",Robert Neilson Stephens,male,American,1867.0,1906.0,"Wikipedia, OpenLibrary",True
436,"Jepson, Edgar",Edgar Jepson,male,English,1863.0,1938.0,"Wikipedia, OpenLibrary",True
437,"Austin, Mary",Mary Austin,female,United States,1868.0,1934.0,"OpenLibrary, Wikidata",True
438,"Harrison, Henry Sydnor",Henry Sydnor Harrison,male,American,1880.0,1930.0,Wikipedia,True
439,"Hodgson, William Hope",William Hope Hodgson,male,English,1877.0,1918.0,"Wikipedia, OpenLibrary",True
440,"Pyle, Howard",Howard Pyle,male,American,1853.0,1911.0,Wikipedia,True
441,"Grayson, David",David Grayson,male,United States,1870.0,1946.0,"OpenLibrary, Wikidata",True
442,"Futrelle, Jacques",Jacques Futrelle,male,American,1875.0,1912.0,Wikipedia,True
443,"Cooke, Marjorie Benton",Marjorie Benton Cooke,female,American,1876.0,1920.0,"Wikipedia, OpenLibrary",True
444,"Gregory, Lady",Gregory,female,,1954.0,,OpenLibrary,True
445,"Benson, Stella",Stella Benson,female,"British, English",1892.0,1933.0,Wikipedia,True
446,"Miller, Alice Duer",Alice Duer Miller,female,American,1874.0,1942.0,Wikipedia,True
447,"Gosse, Edmund",Edmund Gosse,male,English,1849.0,1928.0,Wikipedia,True
448,"Major, Charles",Charles Major,male,United States,1856.0,1913.0,"OpenLibrary, Wikidata",True
449,"Bell, Lilian",Lilian Bell,female,American,1867.0,1929.0,"Wikipedia, OpenLibrary",True
450,"Birrell, Augustine",Augustine Birrell,male,"British, Irish",1850.0,1933.0,Wikipedia,True
451,"Harraden, Beatrice",Beatrice Harraden,female,British,1864.0,1936.0,Wikipedia,True
452,"Hyne, Charles John Cutcliffe Wright",Charles John Cutcliffe Wright Hyne,male,English,1866.0,1944.0,"Wikipedia, OpenLibrary",True
453,"Barbour, Ralph Henry",Ralph Henry Barbour,male,American,1870.0,1944.0,"Wikipedia, OpenLibrary",True
454,"Runciman, James",James Runciman,male,English,1852.0,1891.0,"Wikipedia, OpenLibrary, Wikidata",True
455,"Beresford, J. D. (John Davys)",John Davys Beresford,male,United Kingdom,1873.0,1947.0,"OpenLibrary, Wikidata",True
456,"Dunbar, Paul Laurence",Paul Laurence Dunbar,male,American,1872.0,1906.0,Wikipedia,True
457,"Morrow, Honoré",Honoré Morrow,female,American,1880.0,1940.0,Wikipedia,True
458,"Hubbard, Elbert",Elbert Hubbard,male,American,1856.0,1915.0,Wikipedia,True
459,"Tynan, Katharine",Katharine Tynan,female,Irish,1859.0,1931.0,Wikipedia,True
460,"White, Grace Miller",Grace Miller White,female,American,1868.0,1957.0,Wikipedia,True
461,"Kelly, Florence Finch",Florence Finch Kelly,female,American,1858.0,1939.0,"Wikipedia, OpenLibrary, Wikidata",True
462,"Hueston, Ethel",Ethel Hueston,,,1887.0,,OpenLibrary,True
