,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found
582,"Riis, Jacob A. (Jacob August)",Jacob August Riis,male,American,1849.0,1914.0,Wikipedia,True
583,"Morrow, W. C.",W. C. Morrow,male,American,1853.0,1923.0,"Wikipedia, OpenLibrary",True
584,"Fitzgerald, Percy",Percy Fitzgerald,,,1834.0,1925.0,OpenLibrary,True
585,"Potter, Margaret Horton",Margaret Horton Potter,female,American,1881.0,1911.0,"Wikipedia, OpenLibrary",True
586,"Knowles, Robert E. (Robert Edward)",Robert Edward Knowles,male,,1868.0,1946.0,"OpenLibrary, Wikidata",True
587,"Mason, Walt",Walt Mason,male,"Canadian-American, Canadian, American",1862.0,1939.0,"Wikipedia, OpenLibrary, Wikidata",True
588,"Chaplin, Heman White",Heman White Chaplin,male,American,1946.0,1924.0,"Wikipedia, OpenLibrary",True
589,"Pound, Ezra",Ezra Pound,male,American,1885.0,1972.0,Wikipedia,True
590,"Clay, John Cecil ",John Cecil Clay,male,United States,1875.0,1930.0,"OpenLibrary, Wikidata",True
591,"Ostrander, Isabel",Isabel Ostrander,female,American,1883.0,1924.0,Wikipedia,True
592,"Griggs, Sutton E. (Sutton Elbert)",Sutton Elbert Griggs,male,American,1872.0,1933.0,Wikipedia,True
593,"Montgomery, L. M. (Lucy Maud)",Lucy Maud Montgomery,female,Canadian,1874.0,1942.0,"Wikipedia, OpenLibrary",True
594,"Robertson, Morgan",Morgan Robertson,male,American,1861.0,1915.0,"Wikipedia, OpenLibrary",True
595,"Marshall, Emma",Emma Marshall,female,English,1830.0,1899.0,"Wikipedia, OpenLibrary",True
596,"Mackay, Eric",Eric Mackay,male,English,1851.0,1898.0,"Wikipedia, OpenLibrary, Wikidata",True
597,Bartimeus,Bartimeus,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1886.0,1967.0,"OpenLibrary, Wikidata",True
598,"Bottome, Phyllis",Phyllis Bottome,female,British,1884.0,1963.0,"Wikipedia, OpenLibrary",True
599," Dickens, Charles",Charles Dickens,male,English,1812.0,1870.0,Wikipedia,True
600,"Ridge, W. Pett (William Pett)",William Pett Ridge,male,English,1859.0,1930.0,Wikipedia,True
601,"Rives, Amélie",Amélie Rives,female,American,1863.0,1945.0,Wikipedia,True
602,"Hall, Eliza Calvert",Eliza Calvert Hall,female,American,1856.0,1935.0,"Wikipedia, Wikidata",True
603,"Litsey, Edwin Carlile",Edwin Carlile Litsey,,,1874.0,1970.0,OpenLibrary,True
604,"Munn, Charles Clark",Charles Clark Munn,male,,1848.0,1917.0,"OpenLibrary, Wikidata",True
605,"McFee, William",William McFee,male,"English, Canadian",1881.0,1966.0,Wikipedia,True
606,"Van Vorst, Marie",Marie Van Vorst,female,American,1867.0,1936.0,"Wikipedia, Wikidata",True
607,"Thanet, Octave",Octave Thanet,female,"American, French",1850.0,1934.0,"Wikipedia, OpenLibrary, Wikidata",True
608,"Edwards, Harry Stillwell",Harry Stillwell Edwards,male,American,1855.0,1938.0,Wikipedia,True
609,"Ruck, Berta",Berta Ruck,female,"Welsh, English",1878.0,1978.0,Wikipedia,True
610,"Ingersoll, Robert Green",Robert Green Ingersoll,male,American,1833.0,1899.0,"Wikipedia, Wikidata",True
611,"Titus, Harold",Harold Titus,male,United States,1888.0,1967.0,"OpenLibrary, Wikidata",True
612,"Whitaker, Herman",Herman Whitaker,male,English,1867.0,1919.0,"Wikipedia, OpenLibrary",True
613,"Byron, May",May Byron,female,British,1861.0,1936.0,Wikipedia,True
614,"Scully, W. C. (William Charles)",William Charles Scully,male,South Africa,1855.0,1943.0,"Wikipedia, Wikidata",True
615,"Cahan, Abraham",Abraham Cahan,male,American,1860.0,1951.0,"Wikipedia, OpenLibrary",True
616,"Alcott, Amos Bronson",Amos Bronson Alcott,male,American,1799.0,1888.0,Wikipedia,True
617,"Hopkins, William John",William John Hopkins,male,United States,1863.0,1926.0,"OpenLibrary, Wikidata",True
618,"Micheaux, Oscar",Oscar Micheaux,male,American,1884.0,1951.0,Wikipedia,True
619,"Gallizier, Nathan",Nathan Gallizier,male,,1866.0,1927.0,"OpenLibrary, Wikidata",True
620,"Sharber, Kate Trimble",Kate Trimble Sharber,,,1883.0,,OpenLibrary,True
621,"Frankau, Gilbert",Gilbert Frankau,male,British,1884.0,1904.0,"Wikipedia, OpenLibrary",True
622,"Holme, Constance",Constance Holme,female,English,1880.0,1955.0,"Wikipedia, OpenLibrary, Wikidata",True
623,"Gallon, Tom",Tom Gallon,male,British,1866.0,1914.0,"Wikipedia, OpenLibrary",True
624,"Pocock, Roger",Roger Pocock,male,,1865.0,1941.0,"OpenLibrary, Wikidata",True
625,"Gibson, Wilfrid Wilson",Wilfrid Wilson Gibson,male,British,1878.0,1962.0,"Wikipedia, Wikidata",True
626,"Baring, Maurice",Maurice Baring,male,"British, English",1874.0,1945.0,Wikipedia,True
627,"Allen, Willis Boyd",Willis Boyd Allen,male,"United States, Kingdom of England",1855.0,1938.0,"OpenLibrary, Wikidata",True
628,"MacLane, Mary",Mary MacLane,female,"American, Canadian",1881.0,1929.0,"Wikipedia, OpenLibrary",True
629,"Ainsworth, William Harrison",William Harrison Ainsworth,male,English,1805.0,1882.0,Wikipedia,True
630,"Ross, Ronald, Sir","Ronald, Ross",male,,,,OpenLibrary,True
631,"Gibbs, Philip",Philip Gibbs,male,"English, British",1877.0,1962.0,Wikipedia,True
632,"Stacpoole, H. De Vere (Henry De Vere)",Henry De Vere Stacpoole,male,"British, Irish",1863.0,1951.0,Wikipedia,True
633,"Buchanan, Robert Williams",Robert Williams Buchanan,male,Scottish,1841.0,1901.0,"Wikipedia, OpenLibrary",True
634,"Kaye-Smith, Sheila",Sheila Kaye-Smith,female,English,1887.0,1956.0,Wikipedia,True
635,"Lynch, Hannah",Hannah Lynch,female,Irish,1859.0,1904.0,Wikipedia,True
636,"Magnay, William, Sir","William, Magnay",male,,1855.0,1917.0,OpenLibrary,True
637,"Sackville-West, V. (Victoria)",Victoria Sackville-West,female,British,1892.0,1962.0,"Wikipedia, OpenLibrary",True
638,"Knapp, Adeline",Adeline Knapp,female,American,1860.0,1909.0,"Wikipedia, OpenLibrary",True
639,"Syrett, Netta",Netta Syrett,female,English,1865.0,1943.0,Wikipedia,True
640,"Clay, Bertha M.",Bertha M. Clay,,,1836.0,1884.0,OpenLibrary,True
641,"Woolf, Virginia",Virginia Woolf,female,English,1882.0,1941.0,Wikipedia,True
642,"Coleridge, Samuel Taylor",Samuel Taylor Coleridge,male,English,1773.0,1834.0,Wikipedia,True
643,"Brooke, Rupert",Rupert Brooke,male,"English, Irish, French",1887.0,1915.0,Wikipedia,True
644,"Benét, Stephen Vincent",Stephen Vincent Benét,male,American,1898.0,1943.0,Wikipedia,True
645,"Gregory, Eliot",Eliot Gregory,female,English,1819.0,1880.0,Wikipedia,True
646,"Michelson, Miriam",Miriam Michelson,female,American,1870.0,1942.0,"Wikipedia, Wikidata",True
647,"Sousa, John Philip",John Philip Sousa,male,United States,1854.0,1932.0,"OpenLibrary, Wikidata",True
648,"Arnold, Edwin Lester",Edwin Lester Arnold,male,"British, English",1857.0,1935.0,"Wikipedia, OpenLibrary",True
649,"Johnson, Samuel",Samuel Johnson,male,English,1709.0,1784.0,Wikipedia,True
650,"Merritt, Abraham",Abraham Merritt,male,American,1888.0,1943.0,"Wikipedia, OpenLibrary",True
651,"Mayo, Margaret",Margaret Mayo,female,"American, English",1936.0,1951.0,"OpenLibrary, Wikidata",True
652,"Christie, Agatha",Agatha Christie,female,English,1890.0,1976.0,Wikipedia,True
653,"Seton, Ernest Thompson",Ernest Thompson Seton,male,"Canadian, American",1860.0,1946.0,"Wikipedia, Wikidata",True
654,"Eliot, T. S. (Thomas Stearns)",Thomas Stearns Eliot,male,English,1888.0,1965.0,Wikipedia,True
655,"Mansfield, Katherine",Katherine Mansfield,female,New Zealand,1888.0,1923.0,Wikipedia,True
656,"Whyte, Alexander",Alexander Whyte,male,United Kingdom of Great Britain and Ireland,1836.0,1921.0,"OpenLibrary, Wikidata",True
657,"Ellis, J. Breckenridge (John Breckenridge)",John Breckenridge Ellis,male,American,1870.0,1956.0,"Wikipedia, Wikidata",True
658,"Burke, Thomas",Thomas Burke,male,United States,1887.0,1945.0,"OpenLibrary, Wikidata",True
659,"Bentley, E. C. (Edmund Clerihew)",Edmund Clerihew Bentley,male,English,1875.0,1956.0,"Wikipedia, OpenLibrary, Wikidata",True
660,"Frost, Robert",Robert Frost,male,American,1874.0,1963.0,Wikipedia,True
661,"Lazarus, Emma",Emma Lazarus,female,American,1849.0,1887.0,Wikipedia,True
662,"Wason, Robert Alexander",Robert Alexander Wason,male,American,1874.0,1955.0,"Wikipedia, OpenLibrary",True
663,"Sutphen, Van Tassel",Van Tassel Sutphen,male,American,1861.0,1945.0,"Wikipedia, Wikidata",True
664,"Ridge, Lola",Lola Ridge,female,"Irish-American, Irish, New Zealand, American",1873.0,1941.0,Wikipedia,True
665,"Coolidge, Susan",Susan Coolidge,female,American,1961.0,2012.0,Wikipedia,True
666,"Martin, Helen Reimensnyder",Helen Reimensnyder Martin,female,American,1868.0,1939.0,"Wikipedia, OpenLibrary, Wikidata",True
667,"Trollope, Thomas Adolphus",Thomas Adolphus Trollope,male,"English, British",1810.0,1892.0,Wikipedia,True
668,"Gibran, Kahlil",Kahlil Gibran,male,"American, English",1883.0,1931.0,"Wikipedia, OpenLibrary",True
669,"Ball, Eustace Hale",Eustace Hale Ball,male,American,1881.0,1931.0,"Wikipedia, OpenLibrary",True
670,"Wemyss, Mary C. E.",Mary C. E. Wemyss,female,English,1868.0,1951.0,"Wikipedia, Wikidata",True
671,"Jordan, Elizabeth Garver",Elizabeth Garver Jordan,female,American,1865.0,1947.0,Wikipedia,True
672,"Savage, Richard",Richard Savage,male,English,1697.0,1743.0,OpenLibrary,True
673,"Burney, Fanny",Fanny Burney,female,"English, French",1752.0,1840.0,Wikipedia,True
674,"Hay, John",John Hay,male,American,1838.0,1905.0,Wikipedia,True
675,"Hutchinson, A. S. M. (Arthur Stuart-Menteth)",Arthur Stuart-Menteth Hutchinson,male,,1880.0,1971.0,"OpenLibrary, Wikidata",True
676,"Halleck, Reuben Post",Reuben Post Halleck,male,American,1859.0,1936.0,"OpenLibrary, Wikidata",True
677,"Kelly, Myra",Myra Kelly,female,"American, Irish",1875.0,1910.0,"Wikipedia, Wikidata",True
678,"Collins, J. E. (Joseph Edmund)",Joseph Edmund Collins,male,Canada,1855.0,1892.0,"OpenLibrary, Wikidata",True
679,"Cooper, Elizabeth",Elizabeth Cooper,female,Philippines,1877.0,1945.0,"OpenLibrary, Wikidata",True
680,Vera,Vera,female,Russian,1890.0,1972.0,"OpenLibrary, Wikidata",True
681,"Baldwin, James",James Baldwin,male,"American, English",1924.0,1987.0,Wikipedia,True
682,"Day, Clarence",Clarence Day,male,American,1874.0,1935.0,Wikipedia,True
683,"Lathrop, Rose Hawthorne",Rose Hawthorne Lathrop,female,American,1851.0,1926.0,"Wikipedia, Wikidata",True
684,"De Vere, Aubrey",Aubrey De Vere,male,,1814.0,1902.0,"OpenLibrary, Wikidata",True
685,"Woodberry, George Edward",George Edward Woodberry,male,American,1855.0,1930.0,"Wikipedia, OpenLibrary, Wikidata",True
686,"Scollard, Clinton",Clinton Scollard,male,"American, English",1860.0,1932.0,Wikipedia,True
687,"Walcott, Earle Ashley",Earle Ashley Walcott,male,United States,1859.0,1931.0,"OpenLibrary, Wikidata",True
688,"Ellis, Havelock",Havelock Ellis,male,"British, English",1859.0,1939.0,Wikipedia,True
689,"Franklin, Edgar",Edgar Franklin,male,United States,1879.0,1985.0,"OpenLibrary, Wikidata",True
690,"Whitman, Walt",Walt Whitman,male,American,1819.0,1892.0,Wikipedia,True
691,"Ollivant, Alfred",Alfred Ollivant,male,,1874.0,1927.0,"OpenLibrary, Wikidata",True
692,"Lowell, James Russell",James Russell Lowell,male,"American, British",1819.0,1891.0,Wikipedia,True
693,"Smith, Logan Pearsall",Logan Pearsall Smith,male,"American, British, English",1865.0,1946.0,Wikipedia,True
694,"Grand, Sarah",Sarah Grand,female,"English, Irish",1854.0,1943.0,Wikipedia,True
695,"Lever, Charles James",Charles James Lever,male,Irish,1806.0,1872.0,Wikipedia,True
696,"Kirk, William Frederick",William Frederick Kirk,male,American,1877.0,1927.0,"Wikipedia, OpenLibrary, Wikidata",True
697,"Phelps, William Lyon",William Lyon Phelps,male,American,1865.0,1943.0,Wikipedia,True
698,"Peple, Edward",Edward Peple,male,American,1869.0,1924.0,Wikipedia,True
699,"Davies, W. H. (William Henry)",William Henry Davies,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1871.0,1940.0,"OpenLibrary, Wikidata",True
700,"Carleton, Will",Will Carleton,male,American,1845.0,1912.0,Wikipedia,True
701,"Nichol, John",John Nichol,male,United Kingdom of Great Britain and Ireland,1833.0,1894.0,"OpenLibrary, Wikidata",True
702,"Durning-Lawrence, Edwin, Sir","Edwin, Durning-Lawrence",male,,,,OpenLibrary,True
703,"Watson, John R. (John Reay) ",John Reay Watson,male,Australian,1872.0,1944.0,"Wikipedia, OpenLibrary",True
704," Rees, Arthur J. (Arthur John)",Arthur John Rees,male,Australian,1872.0,1942.0,"Wikipedia, OpenLibrary, Wikidata",True
705,"Garnett, Richard",Richard Garnett,male,English,1835.0,1906.0,"OpenLibrary, Wikidata",True
706,"Bryant, William Cullen",William Cullen Bryant,male,American,1794.0,1878.0,Wikipedia,True
707,"Copplestone, Bennet",Bennet Copplestone,male,,1867.0,1932.0,"OpenLibrary, Wikidata",True
708,"Bridges, Victor",Victor Bridges,male,English,1878.0,1972.0,"Wikipedia, OpenLibrary",True
709,"Barrett, Frank",Frank Barrett,male,United States,1848.0,1926.0,"OpenLibrary, Wikidata",True
710,"Burt, Katharine Newlin",Katharine Newlin Burt,female,American,1882.0,1977.0,"Wikipedia, OpenLibrary",True
711,"Moore, Frederick Ferdinand",Frederick Ferdinand Moore,male,American,1881.0,1947.0,Wikipedia,True
712,"Webster, Henry Kitchell",Henry Kitchell Webster,male,American,1875.0,1932.0,"Wikipedia, OpenLibrary",True
713,"Drinkwater, John",John Drinkwater,male,"British, English",1882.0,1937.0,Wikipedia,True
714,"Fisher, Dorothy Canfield",Dorothy Canfield Fisher,female,American,1879.0,1958.0,Wikipedia,True
715,"Banks, Nancy Huston",Nancy Huston Banks,female,American,1849.0,1934.0,"Wikipedia, Wikidata",True
716,"Franklin, Miles",Miles Franklin,female,Australian,1879.0,1954.0,Wikipedia,True
717,"Lillibridge, Will",Will Lillibridge,male,American,1983.0,1909.0,"Wikipedia, OpenLibrary",True
718,"Rhodes, Eugene Manlove",Eugene Manlove Rhodes,male,American,1869.0,1934.0,Wikipedia,True
719,"O'Brien, Seumas",Seumas O'Brien,,Irish,1880.0,,OpenLibrary,True
720,"Brame, Charlotte M.",Charlotte M. Brame,female,"British, English",1836.0,1884.0,"Wikipedia, OpenLibrary",True
721,"Train, Arthur Cheney",Arthur Cheney Train,male,American,1875.0,1945.0,Wikipedia,True
722,"Furman, Lucy S.",Lucy S. Furman,female,American,1870.0,1958.0,Wikipedia,True
723,"Sanborn, Kate",Kate Sanborn,female,American,1839.0,1917.0,"Wikipedia, OpenLibrary",True
724,"Payn, James",James Payn,male,English,1830.0,1898.0,Wikipedia,True
725,"Lorimer, George Horace",George Horace Lorimer,male,American,1867.0,1937.0,Wikipedia,True
726,"Harris, Miriam Coles",Miriam Coles Harris,female,American,1834.0,1925.0,"Wikipedia, OpenLibrary",True
727,"Harper, Frances Ellen Watkins",Frances Ellen Watkins Harper,female,American,1825.0,1911.0,Wikipedia,True
728,"Oemler, Marie Conway",Marie Conway Oemler,female,American,1879.0,1932.0,Wikipedia,True
729,"Arnold, Matthew",Matthew Arnold,male,English,1822.0,1888.0,Wikipedia,True
730,"Collingwood, W. G. (William Gershom)",William Gershom Collingwood,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1854.0,1932.0,"OpenLibrary, Wikidata",True
731,"Gale, Norman",Norman Gale,male,English,1862.0,1942.0,"Wikipedia, Wikidata",True
732,"Anderson, Ada Woodruff",Ada Woodruff Anderson,female,United States,1860.0,1956.0,"OpenLibrary, Wikidata",True
733,"Bradley, Mary Hastings",Mary Hastings Bradley,female,American,1896.0,1951.0,"Wikipedia, OpenLibrary",True
734,"Holliday, Robert Cortes",Robert Cortes Holliday,male,American,1880.0,1947.0,"Wikipedia, Wikidata",True
735,"Church, R. W. (Richard William)",Richard William Church,male,English,1815.0,1890.0,Wikipedia,True
736,"Dazey, Charles Turner ",Charles Turner Dazey,male,American,1855.0,1938.0,"Wikipedia, OpenLibrary, Wikidata",True
737," Marshall, Edward",Edward Marshall,male,United States,1942.0,1992.0,"OpenLibrary, Wikidata",True
738,"Falkner, John Meade",John Meade Falkner,male,English,1858.0,1932.0,"Wikipedia, OpenLibrary",True
739,"Leighton, Robert",Robert Leighton,male,United States,1611.0,1684.0,"OpenLibrary, Wikidata",True
740,"Saintsbury, George",George Saintsbury,male,English,1845.0,1933.0,"OpenLibrary, Wikidata",True
741,"Sutro, Alfred",Alfred Sutro,male,"British, English",1863.0,1933.0,Wikipedia,True
742,"Maxwell, W. B. (William Babington)",William Babington Maxwell,male,British,1866.0,1938.0,"OpenLibrary, Wikidata",True
743,"Sherley, Douglass",Douglass Sherley,male,American,1857.0,1917.0,"Wikipedia, OpenLibrary, Wikidata",True
744,"Williams, Valentine",Valentine Williams,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1883.0,1946.0,"OpenLibrary, Wikidata",True
745,"Stein, Gertrude",Gertrude Stein,female,American,1903.0,1946.0,Wikipedia,True
746,"Leonard, Mary Finley",Mary Finley Leonard,male,"American, Irish",1867.0,1936.0,Wikipedia,True
747,"Kelley, Francis Clement",Francis Clement Kelley,male,Canadian,1870.0,1948.0,Wikipedia,True
748,"Sawyer, Ruth",Ruth Sawyer,female,American,1880.0,1970.0,Wikipedia,True
749,"Davis, William Stearns",William Stearns Davis,male,American,1877.0,1930.0,Wikipedia,True
750,"Granville-Barker, Harley",Harley Granville-Barker,male,"British, English",1877.0,1946.0,Wikipedia,True
751,"Kendall, Ralph S. (Ralph Selwood)",Ralph Selwood Kendall,,,1878.0,,OpenLibrary,True
752,"Perry, Bliss",Bliss Perry,male,American,1860.0,1954.0,"Wikipedia, OpenLibrary",True
753,"Dougall, L. (Lily)",Lily Dougall,female,Canadian,1858.0,1923.0,"Wikipedia, Wikidata",True
754,"Carruth, Hayden",Hayden Carruth,male,American,1921.0,2008.0,"Wikipedia, OpenLibrary",True
755,"Jesse, F. Tennyson (Fryniwyd Tennyson)",Fryniwyd Tennyson Jesse,female,"British, English",1888.0,1958.0,"Wikipedia, OpenLibrary",True
756,"Perry, Lawrence",Lawrence Perry,male,American,1875.0,1954.0,"Wikipedia, OpenLibrary, Wikidata",True
757,"Thurston, E. Temple (Ernest Temple)",Ernest Temple Thurston,,British,1879.0,1933.0,Wikipedia,True
758,"Oliphant, Laurence",Laurence Oliphant,male,United Kingdom of Great Britain and Ireland,1829.0,1888.0,"OpenLibrary, Wikidata",True
759,"Swan, Annie S.",Annie S. Swan,female,Scottish,1859.0,1943.0,Wikipedia,True
760,"Baxter, Beverley",Beverley Baxter,male,British,1891.0,1964.0,Wikipedia,True
761,"Warman, Cy",Cy Warman,male,American,1855.0,1914.0,"Wikipedia, OpenLibrary",True
762,"Hensley, Sophia Margaretta",Sophia Margaretta Hensley,female,Canadian,1866.0,1946.0,"Wikipedia, OpenLibrary",True
763,"Hovey, Richard ",Richard Hovey,male,American,1864.0,1900.0,Wikipedia,True
764," Carman, Bliss",Bliss Carman,male,Canadian,1861.0,1929.0,"Wikipedia, OpenLibrary",True
765,"Palmer, John",John Palmer,male,United States,1943.0,1900.0,"OpenLibrary, Wikidata",True
766,"Comstock, Harriet T. (Harriet Theresa)",Harriet Theresa Comstock,male,American,1860.0,1925.0,"Wikipedia, OpenLibrary, Wikidata",True
767,"Gunnison, Charles A.",Charles A. Gunnison,male,,1861.0,1897.0,"OpenLibrary, Wikidata",True
768,"Lee, Sidney, Sir","Sidney, Lee",male,English,1859.0,1926.0,Wikipedia,True
769,"De Quincey, Thomas",Thomas De Quincey,male,English,1785.0,1859.0,Wikipedia,True
770,"Gardener, Helen H. (Helen Hamilton)",Helen Hamilton Gardener,female,American,1853.0,1925.0,Wikipedia,True
771,"Barlow, Jane",Jane Barlow,female,Irish,1856.0,1917.0,Wikipedia,True
772,"Fitch, George",George Fitch,male,American,1877.0,1915.0,"OpenLibrary, Wikidata",True
773,"Prouty, Olive Higgins",Olive Higgins Prouty,female,American,1882.0,1974.0,Wikipedia,True
774,"Greene, Sarah Pratt McLean",Sarah Pratt McLean Greene,female,American,1856.0,1935.0,"Wikipedia, OpenLibrary",True
775,"Lucas, E. V. (Edward Verrall)",Edward Verrall Lucas,male,English,1868.0,1938.0,"Wikipedia, OpenLibrary",True
776,"Morris, Elisabeth Woodbridge",Elisabeth Woodbridge Morris,female,United States,1870.0,1964.0,"OpenLibrary, Wikidata",True
777,"Hay, James",James Hay,male,"Scottish, Australian",1953.0,1849.0,"Wikipedia, OpenLibrary",True
778,"Byron, George Gordon Byron, Baron","George Gordon Byron, Byron",male,British,1789.0,1868.0,Wikipedia,True
779,"Morley, John",John Morley,male,British,1838.0,1923.0,"Wikipedia, Wikidata",True
780,"Diver, Maud",Maud Diver,female,"English, British",1867.0,1945.0,"Wikipedia, OpenLibrary, Wikidata",True
781,"Thomson, Edward William",Edward William Thomson,male,,1849.0,1924.0,OpenLibrary,True
782,"Gibbon, Perceval",Perceval Gibbon,male,United Kingdom of Great Britain and Ireland,1879.0,1926.0,"Wikipedia, OpenLibrary, Wikidata",True
783," Nesbit, E. (Edith)",Edith Nesbit,female,English,1858.0,1924.0,Wikipedia,True
784,"Kingston, William Henry Giles",William Henry Giles Kingston,male,English,1814.0,1880.0,"Wikipedia, Wikidata",True
785,"Henley, William Ernest",William Ernest Henley,male,English,1849.0,1903.0,Wikipedia,True
786,"Walk, Charles Edmonds",Charles Edmonds Walk,,,1875.0,,OpenLibrary,True
787,"Smith, Harriet L. (Harriet Lummis)",Harriet Lummis Smith,female,American,1866.0,1947.0,"Wikipedia, Wikidata",True
788,"Holt, Emily Sarah",Emily Sarah Holt,female,English,1836.0,1893.0,Wikipedia,True
789,"Bergengren, Ralph",Ralph Bergengren,female,"American, French",1871.0,1947.0,"Wikipedia, Wikidata",True
790,"Harris, Corra",Corra Harris,female,American,1869.0,1935.0,Wikipedia,True
791,"Moore, John Trotwood",John Trotwood Moore,male,American,1858.0,1929.0,Wikipedia,True
792,"Boynton, Henry Walcott",Henry Walcott Boynton,male,United States,1869.0,1947.0,"OpenLibrary, Wikidata",True
793,"Mallock, W. H. (William Hurrell)",William Hurrell Mallock,male,English,1849.0,1923.0,"Wikipedia, Wikidata",True
794,"Thayer, Ella Cheever",Ella Cheever Thayer,female,American,1879.0,1925.0,"Wikipedia, OpenLibrary",True
795,"Douglas, Amanda M.",Amanda M. Douglas,female,American,1831.0,1916.0,"Wikipedia, OpenLibrary",True
796,"Dickey, Paul ",Paul Dickey,male,American,1885.0,1933.0,"Wikipedia, OpenLibrary",True
797," Goddard, Charles",Charles Goddard,male,United States,1770.0,1845.0,"OpenLibrary, Wikidata",True
798,"Kingsley, Henry",Henry Kingsley,male,English,1830.0,1876.0,Wikipedia,True
799,"Peck, George W. (George Wilbur)",George Wilbur Peck,male,American,1840.0,1916.0,Wikipedia,True
800,"Chisholm, A. M. (Arthur Murray)",Arthur Murray Chisholm,male,"Canadian, British",1871.0,1960.0,Wikipedia,True
801,"Young, Francis Brett",Francis Brett Young,male,English,1884.0,1954.0,"Wikipedia, Wikidata",True
802,"Williams, Ben Ames",Ben Ames Williams,male,American,1889.0,1953.0,Wikipedia,True
803,"Lardner, Ring",Ring Lardner,male,American,1885.0,1933.0,Wikipedia,True
804,"Worthington, Elizabeth Strong",Elizabeth Strong Worthington,female,American,1851.0,1916.0,"Wikipedia, Wikidata",True
805,"Graham, Margaret Collier",Margaret Collier Graham,female,United States,1850.0,1910.0,"OpenLibrary, Wikidata",True
806,"Stopes, C. C. (Charlotte Carmichael)",Charlotte Carmichael Stopes,female,British,1840.0,1929.0,Wikipedia,True
807,"MacGowan, Alice",Alice MacGowan,female,American,1858.0,1947.0,Wikipedia,True
808,"Cram, Ralph Adams",Ralph Adams Cram,male,United States,1863.0,1942.0,"OpenLibrary, Wikidata",True
809,"Warner, Susan",Susan Warner,female,American,1819.0,1885.0,Wikipedia,True
810,"Harris, Credo Fitch",Credo Fitch Harris,male,American,1874.0,1956.0,Wikipedia,True
811,"Jones, Henry Arthur",Henry Arthur Jones,male,English,1851.0,1929.0,Wikipedia,True
812,"Heady, Morrison",Morrison Heady,male,American,1829.0,1915.0,"Wikipedia, OpenLibrary",True
813,"Sargent, Epes",Epes Sargent,male,United States,1813.0,1880.0,"OpenLibrary, Wikidata",True
814,"Sullivan, Francis William",Francis William Sullivan,male,American,1887.0,1963.0,"Wikipedia, OpenLibrary, Wikidata",True
815,"Chapman, John Jay",John Jay Chapman,male,American,1862.0,1933.0,"Wikipedia, OpenLibrary",True
816,"Morris, Lewis",Lewis Morris,male,"United States, Kingdom of Great Britain",1833.0,1907.0,"OpenLibrary, Wikidata",True
817,"Wells, David Dwight",David Dwight Wells,female,American,1828.0,1898.0,"Wikipedia, OpenLibrary",True
818,"Baily, Waldron",Waldron Baily,male,American,1871.0,1953.0,"Wikipedia, OpenLibrary, Wikidata",True
819,"Zangwill, Louis",Louis Zangwill,male,English,1869.0,1938.0,"Wikipedia, Wikidata",True
820,"Hyatt, Stanley Portal",Stanley Portal Hyatt,male,English,1877.0,1914.0,"Wikipedia, OpenLibrary",True
821,"Hopper, James",James Hopper,male,United States,1876.0,1956.0,"OpenLibrary, Wikidata",True
822,"Bartley, Nalbro",Nalbro Bartley,female,American,1888.0,1952.0,"Wikipedia, OpenLibrary",True
823,"Norton, Roy",Roy Norton,male,American,1969.0,1942.0,"Wikipedia, OpenLibrary",True
824,"Maher, Richard Aumerle",Richard Aumerle Maher,male,,1880.0,1959.0,OpenLibrary,True
825,"Ritchie, Anne Thackeray",Anne Thackeray Ritchie,female,English,1837.0,1919.0,Wikipedia,True
826,"Brownell, Gertrude Hall",Gertrude Hall Brownell,female,"American, French",1863.0,1961.0,Wikipedia,True
827,"Bunner, H. C. (Henry Cuyler)",Henry Cuyler Bunner,male,American,1855.0,1896.0,Wikipedia,True
828,"Fullerton, Georgiana",Georgiana Fullerton,female,English,1812.0,1885.0,Wikipedia,True
829,"Rowland, Helen",Helen Rowland,female,American,1876.0,1950.0,"Wikipedia, OpenLibrary, Wikidata",True
830,"Nason, Frank Lewis",Frank Lewis Nason,male,American,1856.0,1928.0,"Wikipedia, OpenLibrary, Wikidata",True
831,"Babcock, Bernie",Bernie Babcock,female,American,1868.0,1962.0,"Wikipedia, OpenLibrary, Wikidata",True
832,"Martin, George Madden",George Madden Martin,female,American,1866.0,1936.0,"Wikipedia, OpenLibrary",True
833,"Ottolengui, Rodrigues",Rodrigues Ottolengui,male,American,1877.0,1937.0,"Wikipedia, OpenLibrary",True
834,"Garrett, Randall",Randall Garrett,male,American,1927.0,1987.0,Wikipedia,True
835,"Howe, Julia Ward",Julia Ward Howe,female,American,1819.0,1910.0,Wikipedia,True
836,"Williams, Robert Moore",Robert Moore Williams,male,American,1907.0,1977.0,"Wikipedia, OpenLibrary, Wikidata",True
837,"Flecker, James Elroy",James Elroy Flecker,male,British,1884.0,1915.0,"Wikipedia, OpenLibrary, Wikidata",True
