,Authors,nb_opium_books,total_nb_snippets,snippets_per_book,max_nb_snippets_per_book,Author Gender,Author Nationality,Number of books by author
66,"Wells, H. G. (Herbert George)",9,14,"{(524, 'Ann Veronica: A Modern Love Story'): 1, (780, 'The War in the Air'): 1, (1047, 'The New Machiavelli'): 1, (1138, 'The Research Magnificent'): 2, (1269, 'The soul of a bishop'): 2, (5230, 'The Invisible Man: A Grotesque Romance'): 1, (11870, 'The Country of the Blind, and Other Stories'): 2, (14060, 'Mr. Britling Sees It Through'): 3, (30340, 'The Passionate Friends'): 1}",3,male,English,41
67,"Wharton, Edith",9,14,"{(283, 'The Reef'): 1, (284, 'The House of Mirth'): 1, (311, 'Bunner Sisters'): 1, (541, 'The Age of Innocence'): 1, (4519, 'The Descent of Man and Other Stories'): 1, (7517, 'Sanctuary'): 1, (19191, 'The Fruit of the Tree'): 6, (70844, 'Twilight sleep'): 1, (72573, ""The mother's recompense""): 1}",6,female,American,30
68,"Dell, Ethel M. (Ethel May)",5,14,"{(12360, 'The Top of the World'): 3, (12516, 'The Way of an Eagle'): 3, (13763, 'The Lamp in the Desert'): 6, (16651, 'The Safety Curtain, and Other Stories'): 1, (18644, 'The Swindler and Other Stories'): 1}",6,female,British,10
69,"Fraser, William Alexander",3,14,"{(16752, 'Caste'): 5, (35179, 'The Three Sapphires'): 3, (45926, 'Bulldog Carney'): 6}",6,male,United Kingdom,4
70,"Bennett, Arnold",7,14,"{(5247, ""The Old Wives' Tale""): 7, (10658, 'Hilda Lessways'): 1, (12673, 'The Pretty Lady'): 1, (21249, 'Clayhanger'): 1, (52247, 'A Man from the North'): 1, (55115, 'The City of Pleasure: A Fantasia on Modern Themes'): 2, (58666, 'Riceyman Steps: A Novel'): 1}",7,male,"English, British",31
71,"Reid, Mayne",8,14,"{(23140, 'The Death Shot: A Story Retold'): 1, (23853, 'Ran Away to Sea'): 1, (27913, 'The Quadroon: Adventures in the Far West'): 2, (27981, 'The Plant Hunters: Adventures Among the Himalaya Mountains'): 3, (35295, 'The Maroon'): 2, (35443, 'Lost Lenore: The Adventures of a Rolling Stone'): 1, (35620, 'Osceola the Seminole; or, The Red Fawn of the Flower Land'): 3, (36604, 'The White Squaw'): 1}",3,male,"British, Irish, American",4
72,"Le Gallienne, Richard",7,14,"{(10826, 'The Book-Bills of Narcissus\nAn Account Rendered by Richard Le Gallienne'): 1, (10922, 'Young Lives'): 2, (10949, 'The Romance of Zion Chapel [3d ed.]'): 2, (11675, 'Vanishing Roads and Other Essays'): 2, (14103, 'Prose Fancies (Second Series)'): 3, (15025, 'Prose Fancies'): 3, (17741, 'Pieces of Eight\r\nBeing the Authentic Narrative of a Treasure Discovered in the Bahama Islands in the Year 1903'): 1}",3,male,"British, English, British-American",14
73,"Glyn, Elinor",2,13,"{(9809, 'The Price of Things'): 6, (11900, 'Elizabeth Visits America'): 7}",7,female,British,15
74,"Goddard, Charles",1,13,"{(6065, 'The Perils of Pauline'): 13}",13,male,United States,1
75,"Shiel, M. P. (Matthew Phipps)",4,13,"{(6993, 'The Lord of the Sea'): 2, (10709, 'Prince Zaleski'): 3, (11229, 'The Purple Cloud'): 7, (41794, 'The Last Miracle'): 1}",7,male,British,4
76,"Whyte-Melville, G. J. (George John)",8,13,"{(11085, 'M. or N. ""Similia similibus curantur.""'): 2, (40660, 'The Interpreter: A Tale of the War'): 1, (41418, 'Contraband; Or, A Losing Hazard'): 1, (41828, 'General Bounce; Or, The Lady and the Locusts'): 1, (47822, 'The Gladiators. A Tale of Rome and Judæa'): 2, (49953, ""The Queen's Maries: A Romance of Holyrood""): 2, (56862, 'Market Harborough, and Inside the Bar'): 2, (65619, 'Cerise: A Tale of the Last Century'): 2}",2,male,Scottish,2
77,"Edwards, Harry Stillwell",1,13,"{(36112, 'Sons and Fathers'): 13}",13,male,American,3
78,"Voynich, E. L. (Ethel Lillian)",1,13,"{(3431, 'The Gadfly'): 13}",13,female,Irish,1
79,"Freeman, Mary Eleanor Wilkins",4,13,"{(15695, ""'Doc.' Gordon""): 8, (17564, 'By the Light of the Soul: A Novel'): 2, (17793, 'The Debtor: A Novel'): 1, (18011, 'The Portion of Labor'): 2}",8,female,American,18
80,"Morley, Christopher",4,13,"{(172, 'The Haunted Bookshop'): 1, (1402, 'Where the Blue Begins'): 1, (13739, 'Shandygaff\r\nA number of most agreeable Inquirendoes upon Life & Letters, interspersed with Short Stories & Skits, the whole most Diverting to the Reader'): 5, (67188, 'The Powder of Sympathy'): 6}",6,male,American,7
81,"Young, Francis Brett",4,13,"{(40344, 'Poems, 1916-1918'): 1, (48813, 'The Black Diamond'): 1, (49331, 'The Young Physician'): 6, (58886, 'The Crescent Moon'): 5}",6,male,English,2
82,"Ward, Humphry, Mrs.",7,13,"{(8076, 'The History of David Grieve'): 2, (8737, 'Robert Elsmere'): 3, (9614, 'The Case of Richard Meynell'): 1, (13453, 'The Testing of Diana Mallory'): 2, (13728, 'Marcella'): 3, (14174, 'The Mating of Lydia'): 1, (20383, 'Marriage à la mode'): 1}",3,female,British,22
83,"Sinclair, May",4,12,"{(9366, 'Mary Olivier: a Life'): 1, (11698, 'The Three Brontës'): 9, (13996, 'The Divine Fire'): 1, (17867, 'The Helpmate'): 1}",9,female,"English, British",14
84,"Beers, Henry A. (Henry Augustin)",4,12,"{(11618, 'From Chaucer to Tennyson\r\nWith Twenty-Nine Portraits and Selections from Thirty Authors'): 6, (15854, 'Initial Studies in American Letters'): 1, (15931, 'A History of English Romanticism in the Nineteenth Century'): 1, (53876, 'Nathaniel Parker Willis'): 4}",6,male,American,7
85,"Barbellion, W. N. P.",1,12,"{(39585, 'The Journal of a Disappointed Man'): 12}",12,male,English,1
86,"Le Queux, William",8,12,"{(4694, 'Mademoiselle of Monte Carlo'): 1, (10102, ""The Czar's Spy: The Mystery of a Silent Love""): 1, (27147, 'The Stretton Street Affair'): 2, (27705, ""The Golden Face: A Great 'Crook' Romance""): 1, (32770, 'The Intriguers'): 4, (33298, 'Spies of the Kaiser: Plotting the Downfall of England'): 1, (40833, 'The Temptress'): 1, (73266, 'Behind the bronze door'): 1}",4,male,"French, English, British, Russian, German",43
87,"Yonge, Charlotte M. (Charlotte Mary)",8,12,"{(2505, 'The Heir of Redclyffe'): 3, (2573, 'The Caged Lion'): 1, (3610, 'The Daisy Chain, or Aspirations'): 3, (4659, ""Lady Hester; Or, Ursula's Narrative""): 1, (5700, 'Love and Life: An Old Story in Eighteenth Century Costume'): 1, (5708, 'Stray Pearls: Memoirs of Margaret De Ribaumont, Viscountess of Bellaise'): 1, (7378, 'Chantry House'): 1, (26156, 'Hopes and Fears\r\nor, scenes from the life of a spinster'): 1}",3,female,English,24
88,"Mason, A. E. W. (Alfred Edward Woodley)",6,12,"{(13567, 'Clementina'): 1, (16381, 'The Summons'): 2, (38664, 'The Four Corners of the World'): 3, (38685, 'The Truants'): 2, (38689, 'The Turnstile'): 2, (67514, 'The House of the Arrow'): 2}",3,male,"English, French",14
89,"Oppenheim, E. Phillips (Edward Phillips)",10,12,"{(1878, 'A Millionaire of Yesterday'): 1, (1931, ""The Zeppelin's Passenger""): 1, (1976, 'Peter Ruff and the Double Four'): 1, (2767, ""The Devil's Paw""): 1, (5743, 'The Evil Shepherd'): 1, (13123, 'The Great Prince Shan'): 1, (15893, 'The Lighted Way'): 1, (17356, ""Nobody's Man""): 2, (27998, 'The New Tenant'): 2, (28091, 'The Double Four'): 1}",2,male,English,45
90,"Cullum, Ridgwell",4,12,"{(14482, 'The Story of the Foss River Ranch: A Tale of the Northwest'): 2, (23662, 'The Heart of Unaga'): 2, (29695, 'The Hound From The North'): 7, (62533, 'The Saint of the Speedway'): 1}",7,male,British,12
91,"Vance, Louis Joseph",6,12,"{(9378, 'The Lone Wolf: A Melodrama'): 1, (9927, 'The Bronze Bell'): 2, (10327, 'Alias the Lone Wolf'): 1, (10496, ""Red Masquerade: Being the Story of the Lone Wolf's Daughter""): 4, (31021, 'The Bandbox'): 1, (32302, 'The Destroying Angel'): 3}",4,male,American,10
92,"Worts, George F. (George Frank)",1,12,"{(28780, 'Peter the Brazen: A Mystery Story of Modern China'): 12}",12,male,American,1
93,"Pinkerton, Allan",2,12,"{(30636, 'The Somnambulist and the Detective; The Murderer and the Fortune Teller'): 1, (35686, 'Mississippi Outlaws and the Detectives\nDon Pedro and the Detectives; Poisoner and the Detectives'): 11}",11,male,"United States, United Kingdom of Great Britain and Ireland",1
94,"Stringer, Arthur",6,11,"{(18671, 'Never-Fail Blake'): 1, (19735, 'Phantom Wires: A Novel'): 1, (33645, ""The Man Who Couldn't Sleep""): 2, (42184, 'The Silver Poppy'): 2, (50203, 'The Wire Tappers'): 4, (52624, 'Hephaestus, Persephone at Enna, and Sappho in Leucadia'): 1}",4,male,Canadian,9
95,"Vachell, Horace Annesley",2,11,"{(10372, 'Bunch Grass: A Chronicle of Life on a Cattle Ranch'): 10, (50255, 'Fishpingle: A Romance of the Countryside'): 1}",10,male,English,5
96,"Shorter, Clement King",4,11,"{(19011, 'Charlotte Brontë and Her Circle'): 3, (19767, 'George Borrow and His Circle\r\nWherein May Be Found Many Hitherto Unpublished Letters of Borrow and His Friends'): 3, (21869, 'Immortal Memories'): 4, (39851, 'Victorian Literature: Sixty Years of Books and Bookmen'): 1}",4,female,"English, British",3
97,"Long, William J. (William Joseph)",2,11,"{(7800, 'Outlines of English and American Literature\r\nAn Introduction to the Chief Writers of England and America, to the Books They Wrote, and to the Times in Which They Lived'): 4, (10609, 'English Literature\r\nIts History and Its Significance for the Life of the English-Speaking World'): 7}",7,male,English,1
98,"Marsh, Richard",2,11,"{(38188, 'Amusement Only'): 10, (40349, 'The Chase of the Ruby'): 1}",10,male,British,7
99,"Deeping, Warwick",3,11,"{(50176, 'The Pride of Eve'): 1, (50995, 'Mad Barbara'): 1, (58287, 'The Slanderers'): 9}",9,male,English,10
100,"Irwin, Wallace",2,11,"{(5408, 'The Rubaiyat of Omar Khayyam Jr.'): 5, (69316, 'Letters of a Japanese schoolboy (""Hashimura Togo"")'): 6}",6,male,American,5
101,"Bayly, A. Eric",1,11,"{(34947, 'The House of Strange Secrets: A Detective Story'): 11}",11,male,,1
102,"Hughes, Rupert",6,11,"{(7077, ""We Can't Have Everything: A Novel""): 3, (29561, 'In a Little Town'): 1, (38311, 'What Will People Say? A Novel'): 1, (40607, 'Excuse Me!'): 1, (60037, 'Clipped Wings'): 1, (72904, 'Within these walls'): 4}",4,male,American,9
103,"Braddon, M. E. (Mary Elizabeth)",6,11,"{(8954, ""Lady Audley's Secret""): 2, (9189, 'Henry Dunbar: A Novel'): 1, (10905, 'Phantom Fortune, a Novel'): 1, (35485, ""The Doctor's Wife: A Novel""): 4, (50676, 'The Infidel: A Story of the Great Revival'): 1, (54247, 'Beyond These Voices'): 2}",4,female,English,13
104,"Wodehouse, P. G. (Pelham Grenville)",9,11,"{(3829, 'Love Among the Chickens'): 1, (6753, 'Psmith in the City'): 1, (6768, 'The Man Upstairs and Other Stories'): 1, (6836, 'Three Men and a Maid'): 2, (6880, 'The Coming of Bill'): 1, (7028, 'The Clicking of Cuthbert'): 1, (7471, 'The Man with Two Left Feet, and Other Stories'): 1, (20717, 'The Girl on the Boat'): 2, (72972, 'Money for nothing'): 1}",2,male,English,17
105,"Wood, Henry, Mrs.",7,11,"{(15627, ""Verner's Pride""): 1, (40936, 'Johnny Ludlow, Third Series'): 3, (58086, 'Roland Yorke\nA Sequel to ""The Channings""'): 1, (58288, 'Bessy Rane: A Novel'): 2, (58582, ""St. Martin's Eve: A Novel""): 1, (58701, 'Edina: A Novel'): 1, (58774, 'Court Netherleigh: A Novel'): 2}",3,female,,12
106,"Beach, Rex",6,11,"{(5062, 'The Winds of Chance'): 1, (5143, 'The Auction Block'): 2, (6017, 'The Silver Horde'): 2, (6425, 'Flowing Gold'): 2, (11501, 'Laughing Bill Hyde and Other Stories'): 3, (32101, 'The Crimson Gardenia and Other Tales of Adventure'): 1}",3,male,American,14
107,"Packard, Frank L. (Frank Lucius)",5,11,"{(1218, 'The Adventures of Jimmie Dale'): 7, (9440, 'The Further Adventures of Jimmie Dale'): 1, (15578, 'The Miracle Man'): 1, (51939, 'From Now On'): 1, (51965, 'Pawned'): 1}",7,male,Canadian,8
108,"Boldrewood, Rolf",7,10,"{(1198, 'Robbery under Arms\r\nA Story of Life and Adventure in the Bush and in the Australian Goldfields'): 1, (34240, 'Nevermore'): 1, (35165, ""The Crooked Stick; Or, Pollie's Probation""): 2, (50411, ""The Squatter's Dream: A Story of Australian Life""): 2, (51314, 'In Bad Company, and other stories'): 1, (53358, '""War to the Knife;"" or, Tangata Maori'): 2, (61385, 'The Last Chance: A Tale of the Golden West'): 1}",2,male,Australia,8
109,"Walcott, Earle Ashley",2,10,"{(7788, 'Blindfolded'): 8, (52180, 'The Apple of Discord'): 2}",8,male,United States,2
110,"Benson, Arthur Christopher",5,10,"{(4612, 'The Altar Fire'): 1, (4614, 'From a College Window'): 1, (11911, 'The Silent Isle'): 3, (30326, 'The Thread of Gold'): 1, (35860, 'Essays'): 4}",4,male,English,15
111,"Alcott, Louisa May",5,10,"{(2726, 'Eight Cousins'): 2, (2787, 'An Old-Fashioned Girl'): 2, (2788, ""Little Men: Life at Plumfield With Jo's Boys""): 1, (38049, 'Louisa May Alcott : Her Life, Letters, and Journals'): 4, (54212, 'A Modern Mephistopheles, and A Whisper in the Dark'): 1}",4,female,American,4
112,"Davis, Richard Harding",8,10,"{(1733, 'The Red Cross Girl'): 1, (1807, 'The Lost House'): 2, (1817, 'A Question of Latitude'): 1, (1821, 'A Charmed Life'): 1, (1822, 'The Amateur'): 1, (1843, 'Vera, the Medium'): 1, (5643, ""Ranson's Folly""): 1, (27232, 'The White Mice'): 2}",2,male,American,33
113,"Clark, Charles Heber",2,10,"{(12581, 'Elbow-Room: A Novel Without a Plot'): 8, (42190, 'Out of the Hurly-Burly; Or, Life in an Odd Corner'): 2}",8,male,American,3
114,"Reynolds, Baillie, Mrs.",2,10,"{(35591, 'The Daughter Pays'): 1, (72969, 'The girl from nowhere'): 9}",9,female,British,4
115,"Zangwill, Israel",5,10,"{(6304, 'Without Prejudice'): 2, (12680, 'Children of the Ghetto: A Study of a Peculiar People'): 3, (16408, 'The Grey Wig: Stories and Novelettes'): 1, (29875, 'Dreamers of the Ghetto'): 3, (38413, 'The King of Schnorrers: Grotesques and Fantasies'): 1}",3,male,British,10
116,"Wallace, Edgar",4,10,"{(2688, 'The Clue of the Twisted Candle'): 1, (20912, 'The Daffodil Mystery'): 3, (24933, 'The Man Who Knew'): 2, (70882, 'The clue of the new pin'): 4}",4,male,British,13
117,"Halleck, Reuben Post",1,10,"{(10631, ""Halleck's New English Literature""): 10}",10,male,American,2
118,"Howells, William Dean",8,10,"{(3377, 'Criticism and Fiction'): 2, (3389, 'Literature and Life (Complete)'): 1, (3404, 'April Hopes'): 1, (7410, ""The Minister's Charge; Or, The Apprenticeship of Lemuel Barker""): 1, (9458, 'Questionable Shapes'): 1, (27880, 'Evening Dress\nFarce'): 1, (30108, 'The Quality of Mercy'): 2, (66584, 'The World of Chance'): 1}",2,male,American,48
119,"Quiller-Couch, Arthur",9,10,"{(14533, 'Hocken and Hunken\r\nA Tale of Troy'): 1, (14817, 'The White Wolf and Other Fireside Tales'): 1, (15865, 'Noughts and Crosses: Stories, Studies and Sketches'): 1, (16604, 'Poison Island'): 1, (16890, 'Hetty Wesley'): 1, (16898, 'Green Bays.  Verses and Parodies'): 1, (17842, ""Dead Man's Rock""): 1, (20612, 'Fort Amity'): 1, (72466, 'Charles Dickens and other Victorians'): 2}",2,male,"English, American",29
120,"Lynde, Francis",7,10,"{(11418, 'The Grafters'): 1, (17690, 'The Master of Appleby\nA Novel Tale Concerning Itself in Part with the Great Struggle in the Two Carolinas; but Chiefly with the Adventures Therein of Two Gentlemen Who Loved One and the Same Lady'): 2, (19462, 'The Price'): 2, (19472, 'Branded'): 1, (66631, 'After the Manner of Men'): 1, (72849, 'A private chivalry'): 2, (73462, 'The tenderfoots'): 1}",2,male,American,17
121,"Bindloss, Harold",8,10,"{(9778, 'Vane of the Timberlands'): 1, (14406, 'The Intriguers'): 1, (29155, ""Blake's Burden""): 1, (29266, 'Thurston of Orchard Valley'): 1, (36705, 'By Right of Purchase'): 1, (37582, 'The Coast of Adventure'): 1, (38343, 'Harding of Allenwood'): 1, (39349, ""Wyndham's Pal""): 3}",3,male,English,37
122,"Bartlett, Frederick Orin",2,10,"{(20429, 'The Seventh Noon'): 9, (67997, 'The Prodigal Pro Tem'): 1}",9,male,United States,3
123,"Stocking, Charles Francis",1,10,"{(30312, 'Carmen Ariza'): 10}",10,,,1
124,"Lloyd, John Uri",1,10,"{(37775, 'Etidorhpa; or, The End of Earth.\r\nThe Strange History of a Mysterious Being and the Account of a Remarkable Journey'): 10}",10,male,United States,1
125,"Mundy, Talbot",6,9,"{(4400, 'Hira Singh : when India came to fight in Flanders'): 1, (5153, 'Rung Ho! A Novel'): 4, (5241, 'The Eye of Zeitoon'): 1, (5315, 'Told in the East'): 1, (6066, 'King--of the Khyber Rifles: A Romance of Adventure'): 1, (69586, 'Om: The secret of Ahbor Valley'): 1}",4,male,"British, English",5
126,"Van Dyke, Henry",4,9,"{(1048, 'The Ruling Passion: Tales of Nature and Human Nature'): 1, (1603, 'The Blue Flower'): 2, (3757, 'The White Bees'): 3, (16229, 'The Poems of Henry Van Dyke'): 3}",3,male,American,19
127,"Compton-Rickett, Arthur",1,9,"{(33356, 'The Vagabond in Literature'): 9}",9,male,English,1
128,"Meredith, George",1,9,"{(4500, 'Complete Project Gutenberg Works of George Meredith'): 9}",9,male,"British, English",12
129,"Bangs, John Kendrick",7,9,"{(3236, 'Mr. Bonaparte of Corsica'): 1, (11309, 'The Booming of Acre Hill, and Other Reminiscences of Urban and Suburban Life'): 1, (18881, 'The Idiot'): 1, (27534, 'Cobwebs from a Library Corner'): 1, (33623, 'The Inventions of the Idiot'): 1, (35302, 'The Genial Idiot: His Views and Reviews'): 3, (35374, 'The Dreamers: A Club'): 1}",3,male,American,23
130,"Tracy, Louis",5,9,"{(4996, 'Number Seventeen'): 5, (10110, ""The Postmaster's Daughter""): 1, (33622, 'The Day of Wrath: A Story of 1914'): 1, (36478, 'The Red Year: A Story of the Indian Mutiny'): 1, (41859, 'The Terms of Surrender'): 1}",5,male,British,19
131,"Crockett, S. R. (Samuel Rutherford)",5,9,"{(4918, 'The Lilac Sunbonnet: A Love Story'): 3, (33215, 'The White Plumes of Navarre: A Romance of the Wars of Religion'): 1, (36945, 'A Tatter of Scarlet: Adventurous Episodes of the Commune in the Midi 1871'): 1, (48354, 'Cleg Kelly, Arab of the City: His Progress and Adventures'): 3, (49342, ""The Stickit Minister's Wooing, and Other Galloway Stories""): 1}",3,male,United Kingdom of Great Britain and Ireland,12
132,"Fitch, George Hamlin",1,9,"{(19222, 'Modern English Books of Power'): 9}",9,male,English,1
133,"Broughton, Rhoda",3,9,"{(34428, 'Alas! A Novel'): 1, (45178, 'Red as a Rose is She: A Novel'): 7, (72772, 'Lavinia'): 1}",7,female,Welsh,5
134,"Evans, Augusta J. (Augusta Jane)",4,9,"{(4553, 'St. Elmo'): 1, (17718, 'Infelice'): 3, (27811, 'Macaria'): 1, (31620, 'Vashti; Or, Until Death Us Do Part'): 4}",4,female,American,4
135,"Reade, Charles",5,9,"{(2301, 'A Simpleton'): 1, (2472, 'White Lies'): 3, (4606, 'It Is Never Too Late to Mend'): 1, (4607, 'Love Me Little, Love Me Long'): 2, (7895, 'A Terrible Temptation: A Story of To-Day'): 2}",3,male,British,3
136,"Anderson, Ada Woodruff",1,9,"{(48644, 'The Heart of the Red Firs: A Story of the Pacific Northwest'): 9}",9,female,United States,2
137,"Grand, Sarah",2,9,"{(8676, 'The Heavenly Twins'): 7, (28088, 'The Beth Book\nBeing a Study of the Life of Elizabeth Caldwell Maclure, a Woman of Genius'): 2}",7,female,"English, Irish",2
138,"Dreiser, Theodore",4,9,"{(233, 'Sister Carrie: A Novel'): 2, (14717, 'Twelve Men'): 1, (31824, 'The ""Genius""'): 2, (62995, 'A Book About Myself'): 4}",4,male,American,7
139,"Post, Melville Davisson",4,9,"{(2861, ""The Sleuth of St. James's Square""): 1, (51941, 'The Gilded Chair: A Novel'): 3, (51955, 'The Man of Last Resort; Or, The Clients of Randolph Mason'): 1, (62740, 'Walker of the Secret Service'): 4}",4,male,American,5
140,"Sinclair, Upton",5,9,"{(140, 'The Jungle'): 2, (5421, 'The Metropolis'): 3, (5776, '100%: the Story of a Patriot'): 1, (5964, ""Love's Pilgrimage: A Novel""): 1, (70379, 'Oil!'): 2}",3,male,American,13
141,"Robinson, A. Mary F. (Agnes Mary Frances)",1,9,"{(25789, 'Emily Brontë'): 9}",9,female,French,1
142,"Grant, James",6,9,"{(53874, 'Under the Red Dragon: A Novel'): 1, (64788, 'The Secret Dispatch; or, The Adventures of Captain Balgonie'): 1, (64836, ""Jane Seton; or, The King's Advocate: A Scottish Historical Romance""): 3, (65393, 'The Phantom Regiment; or, Stories of ""Ours""'): 1, (69500, ""The Queen's cadet, and other tales""): 1, (72700, ""The 'Scots Brigade,' and other tales""): 2}",3,male,"Kingdom of Great Britain, United Kingdom of Great Britain and Ireland",11
143,"Stowe, Harriet Beecher",5,8,"{(203, ""Uncle Tom's Cabin""): 2, (12354, 'Pink and White Tyranny\nA Society Novel'): 2, (48603, 'We and Our Neighbors; or, The Records of an Unfashionable Street'): 1, (55012, 'Dred: A Tale of the Great Dismal Swamp'): 1, (67383, 'Little Foxes'): 2}",2,female,American,12
144,"Potter, Margaret Horton",2,8,"{(22004, 'The Genius'): 4, (69721, 'The flame-gatherers'): 4}",4,female,American,3
145,"Henty, G. A. (George Alfred)",3,8,"{(2805, 'With Lee in Virginia: A Story of the American Civil War'): 2, (7346, 'Among Malay Pirates : a Tale of Adventure and Peril'): 5, (8155, ""Colonel Thorndyke's Secret""): 1}",5,male,"British, English",7
146,"Emerson, Ralph Waldo",5,8,"{(2944, 'Essays — First Series'): 3, (16643, 'Essays by Ralph Waldo Emerson'): 2, (39827, 'The Conduct of Life'): 1, (69258, 'Society and solitude: Twelve chapters'): 1, (71558, 'Natural history of intellect, and other papers'): 1}",3,male,American,6
147,"Malet, Lucas",4,8,"{(12520, 'Deadham Hard: A Romance'): 1, (23784, 'The History of Sir Richard Calmady: A Romance'): 3, (34619, 'The Gateless Barrier'): 3, (56577, 'Adrian Savage: A Novel'): 1}",3,female,English,5
148,"Machen, Arthur",3,8,"{(13969, 'The Hill of Dreams'): 5, (35153, 'Far Off Things'): 2, (35637, 'The Secret Glory'): 1}",5,male,"Welsh, English",7
149,"Cram, Ralph Adams",1,8,"{(41490, 'The Decadent: Being the Gospel of Inaction\r\nWherein Are Set Forth in Romance Form Certain Reflections Touching the Curious Characteristics of These Ultimate Years, and the Divers Causes Thereof'): 8}",8,male,United States,2
150,"Locke, William John",6,8,"{(3828, 'Simon the Jester'): 1, (27786, 'The Rough Road'): 1, (28489, 'The Belovéd Vagabond'): 1, (55927, 'Derelicts'): 2, (60121, 'The Glory of Clementina Wing'): 1, (60123, 'The Wonderful Year'): 2}",2,male,British,19
151,"Haggard, H. Rider (Henry Rider)",6,8,"{(1724, 'Finished'): 1, (5174, 'Allan and the Holy Flower'): 2, (5745, 'She and Allan'): 2, (6051, 'Stella Fregelius: A Tale of Three Destinies'): 1, (6073, 'Smith and the Pharaohs, and other Tales'): 1, (66528, 'Joan Haste'): 1}",2,male,"English, British",44
152,"Fletcher, J. S. (Joseph Smith)",1,8,"{(9297, 'The Orange-Yellow Diamond'): 8}",8,male,British,10
153,"Croker, B. M. (Bithia Mary)",4,8,"{(65561, 'Jungle Tales'): 3, (68996, 'Angel: A sketch in Indian ink'): 3, (70344, 'Odds and ends'): 1, (70459, '""To let""'): 1}",3,female,"Irish, British",12
154,"Christie, Agatha",3,8,"{(863, 'The Mysterious Affair at Styles'): 2, (58866, 'The Murder on the Links'): 1, (70114, 'The Big Four'): 5}",5,female,English,2
155,"Whitman, Walt",3,8,"{(1322, 'Leaves of Grass'): 4, (8388, 'Poems by Walt Whitman'): 1, (8813, 'Complete Prose Works\nSpecimen Days and Collect, November Boughs and Goodbye My Fancy'): 3}",4,male,American,2
156,"Herrick, Robert",4,8,"{(7828, 'The Web of Life'): 3, (8134, 'Together'): 3, (29808, 'The Man Who Wins'): 1, (41338, 'The Memoirs of an American Citizen'): 1}",3,male,English,11
157,"Stacpoole, H. De Vere (Henry De Vere)",3,8,"{(20084, 'The Beach of Dreams: A Romance'): 6, (55454, 'Fanny Lambert: A Novel'): 1, (58593, 'The Garden of God'): 1}",6,male,"British, Irish",3
158,"White, Fred M. (Fred Merrick)",2,8,"{(43492, 'The Five Knots'): 6, (57066, 'The Corner House'): 2}",6,male,British,11
159,"Moore, George",6,8,"{(6029, 'Spring Days'): 1, (7789, 'Memoirs of My Dead Life'): 1, (8157, 'Esther Waters'): 2, (11654, 'Confessions of a Young Man'): 1, (12278, 'Confessions of a Young Man'): 1, (16730, 'Mike Fletcher: A Novel'): 2}",2,female,United Kingdom,13
160,"Robins, Elizabeth",2,8,"{(26420, 'The Convert'): 1, (37827, 'The Open Question: A Tale of Two Temperaments'): 7}",7,female,American,8
161,"White, Stewart Edward",4,7,"{(465, 'The Mountains'): 1, (9401, 'The Leopard Woman'): 2, (16589, 'The Killer'): 3, (30826, 'Gold'): 1}",3,male,American,14
162,"Hichens, Robert",5,7,"{(3637, 'The Garden of Allah'): 2, (4603, 'In the Wilderness'): 1, (17698, 'Bella Donna: A Novel'): 1, (24499, 'The Green Carnation'): 2, (25986, 'Tongues of Conscience'): 1}",2,male,"United Kingdom, United Kingdom of Great Britain and Ireland",24
163,"De Morgan, William",2,7,"{(30896, 'When Ghost Meets Ghost'): 2, (46228, 'It Never Can Happen Again'): 5}",5,male,English,2
164,"Phillips, David Graham",3,7,"{(7832, 'The Deluge'): 3, (48699, 'The Hungry Heart: A Novel'): 1, (67130, 'A Woman Ventures: A Novel'): 3}",3,female,American,17
165,"Yates, Edmund",3,7,"{(59207, 'Broken to Harness: A Story of English Domestic Life'): 4, (59927, 'Black Sheep: A Novel'): 2, (60329, 'Land at Last: A Novel'): 1}",4,male,British,2
166,"Leland, Charles Godfrey",2,7,"{(22030, 'Memoirs'): 6, (50666, 'Songs of the Sea and Lays of the Land'): 1}",6,male,American,1
167,"Marquis, Don",2,7,"{(51913, 'Carter, and Other People'): 6, (51920, 'The Old Soak, and Hail And Farewell'): 1}",6,male,American,4
168,"Burnett, Frances Hodgson",2,7,"{(506, 'The Shuttle'): 1, (25810, 'In Connection with the De Willoughby Claim'): 6}",6,female,British-American,16
169,"Meade, L. T.",1,7,"{(47705, 'A Sister of the Red Cross: A Tale of the South African War'): 7}",7,female,Irish,6
170,"Johnson, Owen",5,7,"{(25465, 'Skippy Bedelle\r\nHis Sentimental Progress From the Urchin to the Complete Man of the World'): 3, (36355, 'The Salamander'): 1, (37113, 'The Sixty-First Second'): 1, (47640, 'The Woman Gives: A Story of Regeneration'): 1, (47910, 'The Wasted Generation'): 1}",3,male,United States,7
171,"Griffith, George Chetwynd",3,7,"{(19231, 'The mummy and Miss Nitocris : a phantasy of the fourth dimension'): 1, (19476, 'A Honeymoon in Space'): 5, (54096, 'Olga Romanoff'): 1}",5,male,British,4
172,"Berdoe, Edward",1,7,"{(36734, 'The Browning Cyclopædia: A Guide to the Study of the Works of Robert Browning'): 7}",7,male,English,1
173,"Huxley, Aldous",4,7,"{(1999, 'Crome Yellow'): 2, (47912, 'The Burning Wheel'): 1, (54895, 'Limbo'): 2, (60483, 'Antic Hay'): 2}",2,male,English,4
