topic,top_terms
0,"thou, thy, man, life, old, dana, kim, art, little, max, sending, thee, englishman, mrs, great, asked, sahib, things"
1,"sin, man, sir, sin sin, did, life, know, time, rita, think, chapter, mrs, great, quincey, case, lucien, sir lucien, nature"
2,"man, like, little, did, time, know, old, came, eyes, long, life, room, thought, night, went, way, day, come"
3,"death, did, case, administered, died, dose, poisoning, drug, yes, evidence, witness, question, doctor, diphtheria, disease, bliss, time, symptoms"
