topic,top_terms
0,"did, know, man, little, don, time, went, room, came, mrs, night, think, come, took, doctor, old, just, good"
1,"life, man, time, great, did, coleridge, good, mind, death, years, work, men, world, day, people, think, case, quincey"
2,"eyes, man, little, face, old, long, came, night, men, life, lay, day, away, hand, light, white, great, room"
