dominant_topic,n_snippets,n_books,mean_weight,top_terms
0,3356,1647,0.8362388829831401,"eyes, know, came, time, old, room, night, face, don, come, went, long, away, hand, took, day, thought, way"
1,2014,861,0.8054435776435712,"life, time, great, case, death, day, mind, good, years, think, new, coleridge, work, know, drug, world, fact, thought"
