model_group,dominant_topic,n_documents,mean_weight,n_books,top_terms
sentence-level snippets,1,25400,0.7791857374128579,2124,"day, good, mind, great, world, years, new, work, old, love, people, drug"
sentence-level snippets,0,23015,0.7676561659572099,2022,"room, eyes, face, night, hand, house, head, old, looked, away, door, long"
