dominant_topic,n_snippets,n_books,mean_weight,top_terms
0,2178,1069,0.7538278951970583,"did, know, man, little, don, time, went, room, came, mrs, night, think, come, took, doctor, old, just, good"
1,1680,743,0.7414175311490794,"life, man, time, great, did, coleridge, good, mind, death, years, work, men, world, day, people, think, case, quincey"
2,1512,922,0.7229015809505174,"eyes, man, little, face, old, long, came, night, men, life, lay, day, away, hand, light, white, great, room"
