Etext Number,Type,Issued,Title,Language,LoCC,Bookshelves,Authors,rights,Subjects,Read online (web),EPUB3 (E-readers incl. Send-to-Kindle),EPUB (older E-readers),"EPUB (no images, older E-readers)",Kindle,Kindle (E-readers incl. Send-to-Kindle),"Kindle (no images, older E-readers)",Plain Text UTF-8,Download HTML(zip),Resource Description Framework (RDF),Other Links,published_year,Opium Keywords
16,Text,2008-06-25,Peter Pan,en,PR; PZ,Children's Literature; Movie Books; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Barrie, J. M. (James Matthew)",Public domain in the USA.,Peter Pan (Fictitious character) -- Fiction ; Fairies -- Fiction ; Fantasy literature ; PZ ; Never-Never Land (Imaginary place) -- Fiction ; Pirates -- Fiction ; PR,https://www.gutenberg.org/ebooks/16.html.images,https://www.gutenberg.org/ebooks/16.epub3.images,https://www.gutenberg.org/ebooks/16.epub.images,https://www.gutenberg.org/ebooks/16.epub.noimages,https://www.gutenberg.org/ebooks/16.kf8.images,https://www.gutenberg.org/ebooks/16.kindle.images,https://www.gutenberg.org/ebooks/16.kindle.noimages,https://www.gutenberg.org/ebooks/16.txt.utf-8,https://www.gutenberg.org/files/16/16-h.zip,https://www.gutenberg.org/ebooks/16.rdf,https://www.gutenberg.org/cache/epub/16/pg16.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/16/pg16.cover.small.jpg ; https://www.gutenberg.org/files/16/16-0.zip ; https://www.gutenberg.org/files/16/16-0.txt ; https://www.gutenberg.org/files/16/16-h/16-h.htm,1800,['heroin']
22,Text,1991-12-01,Roget's Thesaurus,en,PE,Reference; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Language & Communication; Browsing: Literature,"Roget, Peter Mark",Public domain in the USA.,English language -- Synonyms and antonyms ; PE,https://www.gutenberg.org/ebooks/22.html.images,https://www.gutenberg.org/ebooks/22.epub3.images,https://www.gutenberg.org/ebooks/22.epub.images,https://www.gutenberg.org/ebooks/22.epub.noimages,https://www.gutenberg.org/ebooks/22.kf8.images,https://www.gutenberg.org/ebooks/22.kindle.images,https://www.gutenberg.org/ebooks/22.kindle.noimages,https://www.gutenberg.org/ebooks/22.txt.utf-8,https://www.gutenberg.org/files/22/22-h.zip,https://www.gutenberg.org/ebooks/22.rdf,https://www.gutenberg.org/cache/epub/22/pg22.cover.small.jpg ; https://www.gutenberg.org/files/22/22-0.txt ; https://www.gutenberg.org/files/22/22-h/22-h.htm ; https://www.gutenberg.org/cache/epub/22/pg22.cover.medium.jpg ; https://www.gutenberg.org/files/22/22-0.zip,1805,"['opium', 'morphine', 'poppy', 'nepenthe', 'laudanum', 'paregoric', 'heroin', 'narcotic', 'soporific', 'anodyne']"
24,Text,2008-06-27,O Pioneers!,en,PS,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Cather, Willa",Public domain in the USA.,Swedish Americans -- Fiction ; Frontier and pioneer life -- Nebraska -- Fiction ; Women immigrants -- Fiction ; Nebraska -- Fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; PS ; Historical fiction ; Siblings -- Fiction ; Women pioneers -- Fiction ; Domestic fiction,https://www.gutenberg.org/ebooks/24.html.images,https://www.gutenberg.org/ebooks/24.epub3.images,https://www.gutenberg.org/ebooks/24.epub.images,https://www.gutenberg.org/ebooks/24.epub.noimages,https://www.gutenberg.org/ebooks/24.kf8.images,https://www.gutenberg.org/ebooks/24.kindle.images,https://www.gutenberg.org/ebooks/24.kindle.noimages,https://www.gutenberg.org/ebooks/24.txt.utf-8,https://www.gutenberg.org/files/24/24-h.zip,https://www.gutenberg.org/ebooks/24.rdf,https://www.gutenberg.org/files/24/24-0.zip ; https://www.gutenberg.org/files/24/24-h/24-h.htm ; https://www.gutenberg.org/cache/epub/24/pg24.cover.small.jpg ; https://www.gutenberg.org/files/24/24-0.txt ; https://www.gutenberg.org/cache/epub/24/pg24.cover.medium.jpg,1855,['poppy']
27,Text,1992-03-01,Far from the Madding Crowd,en,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Hardy, Thomas",Public domain in the USA.,Triangles (Interpersonal relations) -- Fiction ; Love stories ; Pastoral fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; Wessex (England) -- Fiction ; Didactic fiction ; PR,https://www.gutenberg.org/ebooks/27.html.images,https://www.gutenberg.org/ebooks/27.epub3.images,https://www.gutenberg.org/ebooks/27.epub.images,https://www.gutenberg.org/ebooks/27.epub.noimages,https://www.gutenberg.org/ebooks/27.kf8.images,https://www.gutenberg.org/ebooks/27.kindle.images,https://www.gutenberg.org/ebooks/27.kindle.noimages,https://www.gutenberg.org/ebooks/27.txt.utf-8,https://www.gutenberg.org/cache/epub/27/pg27-h.zip,https://www.gutenberg.org/ebooks/27.rdf,https://www.gutenberg.org/files/27/27-0.txt ; https://www.gutenberg.org/files/27/27-0.zip ; https://www.gutenberg.org/cache/epub/27/pg27.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/27/pg27.cover.small.jpg ; https://www.gutenberg.org/files/27/27-h/27-h.htm,1838,['heroin']
33,Text,1992-06-01,The Scarlet Letter,en,PS,Harvard Classics; Movie Books; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Hawthorne, Nathaniel",Public domain in the USA.,"Revenge -- Fiction ; Women immigrants -- Fiction ; Illegitimate children -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Adultery -- Fiction ; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction ; Married women -- Fiction ; Psychological fiction ; Clergy -- Fiction ; PS ; Puritans -- Fiction ; Historical fiction",https://www.gutenberg.org/ebooks/33.html.images,https://www.gutenberg.org/ebooks/33.epub3.images,https://www.gutenberg.org/ebooks/33.epub.images,https://www.gutenberg.org/ebooks/33.epub.noimages,https://www.gutenberg.org/ebooks/33.kf8.images,https://www.gutenberg.org/ebooks/33.kindle.images,https://www.gutenberg.org/ebooks/33.kindle.noimages,https://www.gutenberg.org/ebooks/33.txt.utf-8,https://www.gutenberg.org/cache/epub/33/pg33-h.zip,https://www.gutenberg.org/ebooks/33.rdf,https://www.gutenberg.org/files/33/33-0.zip ; https://www.gutenberg.org/cache/epub/33/pg33.cover.medium.jpg ; https://www.gutenberg.org/files/33/33-h/33-h.htm ; https://www.gutenberg.org/cache/epub/33/pg33.cover.small.jpg ; https://www.gutenberg.org/files/33/33-0.txt,1822,['nepenthe']
36,Text,2004-10-01,The War of the Worlds,en,PR,Science Fiction; Movie Books; Browsing: History - Warfare; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Wells, H. G. (Herbert George)",Public domain in the USA.,Imaginary wars and battles -- Fiction ; Mars (Planet) -- Fiction ; Space warfare -- Fiction ; Science fiction ; Martians -- Fiction ; Life on other planets -- Fiction ; War stories ; PR,https://www.gutenberg.org/ebooks/36.html.images,https://www.gutenberg.org/ebooks/36.epub3.images,https://www.gutenberg.org/ebooks/36.epub.images,https://www.gutenberg.org/ebooks/36.epub.noimages,https://www.gutenberg.org/ebooks/36.kf8.images,https://www.gutenberg.org/ebooks/36.kindle.images,https://www.gutenberg.org/ebooks/36.kindle.noimages,https://www.gutenberg.org/ebooks/36.txt.utf-8,https://www.gutenberg.org/cache/epub/36/pg36-h.zip,https://www.gutenberg.org/ebooks/36.rdf,https://www.gutenberg.org/cache/epub/36/pg36.cover.medium.jpg ; https://www.gutenberg.org/files/36/36-0.zip ; https://www.gutenberg.org/files/36/36-0.txt ; https://www.gutenberg.org/cache/epub/36/pg36.cover.small.jpg ; https://www.gutenberg.org/files/36/36-h/36-h.htm,1892,['black smoke']
44,Text,2008-06-27,The Song of the Lark,en,PS,Opera; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Cather, Willa",Public domain in the USA.,Opera -- Fiction ; Chicago (Ill.) -- Fiction ; Colorado -- Fiction ; Swedish Americans -- Fiction ; Young women -- Fiction ; Women singers -- Fiction ; PS ; Bildungsromans ; Children of clergy -- Fiction ; Musical fiction,https://www.gutenberg.org/ebooks/44.html.images,https://www.gutenberg.org/ebooks/44.epub3.images,https://www.gutenberg.org/ebooks/44.epub.images,https://www.gutenberg.org/ebooks/44.epub.noimages,https://www.gutenberg.org/ebooks/44.kf8.images,https://www.gutenberg.org/ebooks/44.kindle.images,https://www.gutenberg.org/ebooks/44.kindle.noimages,https://www.gutenberg.org/ebooks/44.txt.utf-8,https://www.gutenberg.org/files/44/44-h.zip,https://www.gutenberg.org/ebooks/44.rdf,https://www.gutenberg.org/cache/epub/44/pg44.cover.medium.jpg ; https://www.gutenberg.org/files/44/44-0.txt ; https://www.gutenberg.org/files/44/44-0.zip ; https://www.gutenberg.org/cache/epub/44/pg44.cover.small.jpg ; https://www.gutenberg.org/files/44/44-h/44-h.htm,1900,"['heroin', 'opium']"
45,Text,2008-06-27,Anne of Green Gables,en,PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Fiction,"Montgomery, L. M. (Lucy Maud)",Public domain in the USA.,"Canada -- History -- 1867-1914 -- Fiction ; Country life -- Prince Edward Island -- Fiction ; Girls -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; PZ ; Orphans -- Fiction ; Islands -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Bildungsromans ; Friendship -- Fiction",https://www.gutenberg.org/ebooks/45.html.images,https://www.gutenberg.org/ebooks/45.epub3.images,https://www.gutenberg.org/ebooks/45.epub.images,https://www.gutenberg.org/ebooks/45.epub.noimages,https://www.gutenberg.org/ebooks/45.kf8.images,https://www.gutenberg.org/ebooks/45.kindle.images,https://www.gutenberg.org/ebooks/45.kindle.noimages,https://www.gutenberg.org/ebooks/45.txt.utf-8,https://www.gutenberg.org/files/45/45-h.zip,https://www.gutenberg.org/ebooks/45.rdf,https://www.gutenberg.org/files/45/45-h/45-h.htm ; https://www.gutenberg.org/files/45/45-0.zip ; https://www.gutenberg.org/files/45/45-0.txt ; https://www.gutenberg.org/cache/epub/45/pg45.cover.small.jpg ; https://www.gutenberg.org/cache/epub/45/pg45.cover.medium.jpg,1908,"['heroin', 'anodyne']"
47,Text,2006-03-08,Anne of Avonlea,en,PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,"Montgomery, L. M. (Lucy Maud)",Public domain in the USA.,"Teachers -- Fiction ; PZ ; Orphans -- Fiction ; Islands -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; Canada -- History -- 1914-1945 -- Fiction",https://www.gutenberg.org/ebooks/47.html.images,https://www.gutenberg.org/ebooks/47.epub3.images,https://www.gutenberg.org/ebooks/47.epub.images,https://www.gutenberg.org/ebooks/47.epub.noimages,https://www.gutenberg.org/ebooks/47.kf8.images,https://www.gutenberg.org/ebooks/47.kindle.images,https://www.gutenberg.org/ebooks/47.kindle.noimages,https://www.gutenberg.org/ebooks/47.txt.utf-8,https://www.gutenberg.org/cache/epub/47/pg47-h.zip,https://www.gutenberg.org/ebooks/47.rdf,https://www.gutenberg.org/cache/epub/47/pg47.cover.medium.jpg ; https://www.gutenberg.org/files/47/47-0.txt ; https://www.gutenberg.org/files/47/47-h/47-h.htm ; https://www.gutenberg.org/cache/epub/47/pg47.cover.small.jpg,1911,['heroin']
51,Text,2006-03-08,Anne of the Island,en,PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,"Montgomery, L. M. (Lucy Maud)",Public domain in the USA.,"Nova Scotia -- History -- 20th century -- Fiction ; PZ ; Orphans -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Self-perception -- Fiction ; Universities and colleges -- Fiction ; Interpersonal relations -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; Canada -- History -- 1914-1945 -- Fiction",https://www.gutenberg.org/ebooks/51.html.images,https://www.gutenberg.org/ebooks/51.epub3.images,https://www.gutenberg.org/ebooks/51.epub.images,https://www.gutenberg.org/ebooks/51.epub.noimages,https://www.gutenberg.org/ebooks/51.kf8.images,https://www.gutenberg.org/ebooks/51.kindle.images,https://www.gutenberg.org/ebooks/51.kindle.noimages,https://www.gutenberg.org/ebooks/51.txt.utf-8,https://www.gutenberg.org/cache/epub/51/pg51-h.zip,https://www.gutenberg.org/ebooks/51.rdf,https://www.gutenberg.org/files/51/51-0.txt ; https://www.gutenberg.org/files/51/51-h/51-h.htm ; https://www.gutenberg.org/cache/epub/51/pg51.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/51/pg51.cover.small.jpg,1914,['heroin']
55,Text,1993-02-01,The Wonderful Wizard of Oz,en,PZ,Children's Literature; Fantasy; Browsing: Children & Young Adult Reading; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Baum, L. Frank (Lyman Frank)",Public domain in the USA.,"Scarecrow (Fictitious character from Baum) -- Juvenile fiction ; Tin Woodman (Fictitious character) -- Juvenile fiction ; Gale, Dorothy (Fictitious character) -- Juvenile fiction ; Wizard of Oz (Fictitious character) -- Juvenile fiction ; Cowardly Lion (Fictitious character) -- Juvenile fiction ; Courage -- Juvenile fiction ; Oz (Imaginary place) -- Juvenile fiction ; PZ ; Cyclones -- Juvenile fiction ; Dreams -- Juvenile fiction ; Toto (Fictitious character) -- Juvenile fiction ; Home -- Juvenile fiction ; Witches -- Juvenile fiction ; Good and evil -- Juvenile fiction ; Fantasy literature",https://www.gutenberg.org/ebooks/55.html.images,https://www.gutenberg.org/ebooks/55.epub3.images,https://www.gutenberg.org/ebooks/55.epub.images,https://www.gutenberg.org/ebooks/55.epub.noimages,https://www.gutenberg.org/ebooks/55.kf8.images,https://www.gutenberg.org/ebooks/55.kindle.images,https://www.gutenberg.org/ebooks/55.kindle.noimages,https://www.gutenberg.org/ebooks/55.txt.utf-8,https://www.gutenberg.org/cache/epub/55/pg55-h.zip,https://www.gutenberg.org/ebooks/55.rdf,https://www.gutenberg.org/files/55/55-0.zip ; https://www.gutenberg.org/cache/epub/55/pg55.cover.small.jpg ; https://www.gutenberg.org/files/55/55-0.txt ; https://www.gutenberg.org/cache/epub/55/pg55.cover.medium.jpg ; https://www.gutenberg.org/files/55/55-h/55-h.htm,1900,['poppy']
60,Text,2006-03-08,The Scarlet Pimpernel,en,PR,Adventure; Best Books Ever Listings; Movie Books; Browsing: History - General; Browsing: Literature; Browsing: Fiction,"Orczy, Emmuska Orczy, Baroness",Public domain in the USA.,"Blakeney, Percy, Sir (Fictitious character) -- Fiction ; Nobility -- Fiction ; British -- France -- Fiction ; Adventure stories ; France -- History -- Revolution, 1789-1799 -- Fiction ; Historical fiction ; PR",https://www.gutenberg.org/ebooks/60.html.images,https://www.gutenberg.org/ebooks/60.epub3.images,https://www.gutenberg.org/ebooks/60.epub.images,https://www.gutenberg.org/ebooks/60.epub.noimages,https://www.gutenberg.org/ebooks/60.kf8.images,https://www.gutenberg.org/ebooks/60.kindle.images,https://www.gutenberg.org/ebooks/60.kindle.noimages,https://www.gutenberg.org/ebooks/60.txt.utf-8,https://www.gutenberg.org/cache/epub/60/pg60-h.zip,https://www.gutenberg.org/ebooks/60.rdf,https://www.gutenberg.org/files/60/60-0.zip ; https://www.gutenberg.org/files/60/60-h/60-h.htm ; https://www.gutenberg.org/cache/epub/60/pg60.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/60/pg60.cover.small.jpg ; https://www.gutenberg.org/files/60/60-0.txt,1875,['heroin']
77,Text,1993-08-01,The House of the Seven Gables,en,PS,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Hawthorne, Nathaniel",Public domain in the USA.,Paranormal fiction ; Haunted houses -- Fiction ; Salem (Mass.) -- Fiction ; PS ; Historical fiction ; Domestic fiction,https://www.gutenberg.org/ebooks/77.html.images,https://www.gutenberg.org/ebooks/77.epub3.images,https://www.gutenberg.org/ebooks/77.epub.images,https://www.gutenberg.org/ebooks/77.epub.noimages,https://www.gutenberg.org/ebooks/77.kf8.images,https://www.gutenberg.org/ebooks/77.kindle.images,https://www.gutenberg.org/ebooks/77.kindle.noimages,https://www.gutenberg.org/ebooks/77.txt.utf-8,https://www.gutenberg.org/files/77/77-h.zip,https://www.gutenberg.org/ebooks/77.rdf,https://www.gutenberg.org/cache/epub/77/pg77.cover.small.jpg ; https://www.gutenberg.org/files/77/77-0.zip ; https://www.gutenberg.org/files/77/77-0.txt ; https://www.gutenberg.org/cache/epub/77/pg77.cover.medium.jpg ; https://www.gutenberg.org/files/77/77-h/77-h.htm,1850,['heroin']
78,Text,1993-08-01,Tarzan of the Apes,en,PS,Adventure; Movie Books; Browsing: Culture/Civilization/Society; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Burroughs, Edgar Rice",Public domain in the USA.,British -- Africa -- Fiction ; Africa -- Fiction ; Wild men -- Fiction ; Adventure stories ; Fantasy fiction ; PS ; Tarzan (Fictitious character) -- Fiction,https://www.gutenberg.org/ebooks/78.html.images,https://www.gutenberg.org/ebooks/78.epub3.images,https://www.gutenberg.org/ebooks/78.epub.images,https://www.gutenberg.org/ebooks/78.epub.noimages,https://www.gutenberg.org/ebooks/78.kf8.images,https://www.gutenberg.org/ebooks/78.kindle.images,https://www.gutenberg.org/ebooks/78.kindle.noimages,https://www.gutenberg.org/ebooks/78.txt.utf-8,https://www.gutenberg.org/files/78/78-h.zip,https://www.gutenberg.org/ebooks/78.rdf,https://www.gutenberg.org/cache/epub/78/pg78.cover.medium.jpg ; https://www.gutenberg.org/files/78/78-h/78-h.htm ; https://www.gutenberg.org/files/78/78-0.txt ; https://www.gutenberg.org/files/78/78-0.zip ; https://www.gutenberg.org/cache/epub/78/pg78.cover.small.jpg,1890,['black smoke']
82,Text,2008-06-25,Ivanhoe: A Romance,en,PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction,"Scott, Walter",Public domain in the USA.,"Great Britain -- History -- Richard I, 1189-1199 -- Fiction ; Knights and knighthood -- Fiction ; Normans -- Great Britain -- Fiction ; Love stories ; Anglo-Saxons -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction ; Historical fiction ; Jews -- England -- Fiction ; PR",https://www.gutenberg.org/ebooks/82.html.images,https://www.gutenberg.org/ebooks/82.epub3.images,https://www.gutenberg.org/ebooks/82.epub.images,https://www.gutenberg.org/ebooks/82.epub.noimages,https://www.gutenberg.org/ebooks/82.kf8.images,https://www.gutenberg.org/ebooks/82.kindle.images,https://www.gutenberg.org/ebooks/82.kindle.noimages,https://www.gutenberg.org/ebooks/82.txt.utf-8,https://www.gutenberg.org/files/82/82-h.zip,https://www.gutenberg.org/ebooks/82.rdf,https://www.gutenberg.org/cache/epub/82/pg82.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/82/pg82.cover.small.jpg ; https://www.gutenberg.org/files/82/82-h/82-h.htm ; https://www.gutenberg.org/files/82/82-0.zip ; https://www.gutenberg.org/files/82/82-0.txt,1876,"['heroin', 'narcotic', 'opium']"
91,Text,2004-09-14,Tom Sawyer Abroad,en,PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,"Twain, Mark",Public domain in the USA.,"Adventure stories ; Sawyer, Tom (Fictitious character) -- Fiction ; Balloon ascensions -- Fiction ; PS ; Americans -- Foreign countries -- Fiction",https://www.gutenberg.org/ebooks/91.html.images,https://www.gutenberg.org/ebooks/91.epub3.images,https://www.gutenberg.org/ebooks/91.epub.images,https://www.gutenberg.org/ebooks/91.epub.noimages,https://www.gutenberg.org/ebooks/91.kf8.images,https://www.gutenberg.org/ebooks/91.kindle.images,https://www.gutenberg.org/ebooks/91.kindle.noimages,https://www.gutenberg.org/ebooks/91.txt.utf-8,https://www.gutenberg.org/cache/epub/91/pg91-h.zip,https://www.gutenberg.org/ebooks/91.rdf,https://www.gutenberg.org/cache/epub/91/pg91.cover.small.jpg ; https://www.gutenberg.org/files/91/91-0.zip ; https://www.gutenberg.org/files/91/91-0.txt ; https://www.gutenberg.org/files/91/91-h/91-h.htm ; https://www.gutenberg.org/cache/epub/91/pg91.cover.medium.jpg,1853,['black smoke']
98,Text,1994-01-01,A Tale of Two Cities,en,PR,Historical Fiction; Browsing: History - British; Browsing: History - European; Browsing: History - General; Browsing: Literature; Browsing: Fiction,"Dickens, Charles",Public domain in the USA.,"London (England) -- History -- 18th century -- Fiction ; War stories ; Executions and executioners -- Fiction ; Lookalikes -- Fiction ; British -- France -- Paris -- Fiction ; Paris (France) -- History -- 1789-1799 -- Fiction ; French -- England -- London -- Fiction ; France -- History -- Revolution, 1789-1799 -- Fiction ; Historical fiction ; PR",https://www.gutenberg.org/ebooks/98.html.images,https://www.gutenberg.org/ebooks/98.epub3.images,https://www.gutenberg.org/ebooks/98.epub.images,https://www.gutenberg.org/ebooks/98.epub.noimages,https://www.gutenberg.org/ebooks/98.kf8.images,https://www.gutenberg.org/ebooks/98.kindle.images,https://www.gutenberg.org/ebooks/98.kindle.noimages,https://www.gutenberg.org/ebooks/98.txt.utf-8,https://www.gutenberg.org/files/98/98-h.zip,https://www.gutenberg.org/ebooks/98.rdf,https://www.gutenberg.org/files/98/98-0.zip ; https://www.gutenberg.org/files/98/98-h/98-h.htm ; https://www.gutenberg.org/files/98/98-0.txt ; https://www.gutenberg.org/cache/epub/98/pg98.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/98/pg98.cover.small.jpg,1815,"['narcotic', 'laudanum']"
102,Text,2004-09-14,The Tragedy of Pudd'nhead Wilson,en,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Twain, Mark",Public domain in the USA.,Legal stories ; Trials (Murder) -- Fiction ; Missouri -- Fiction ; Infants switched at birth -- Fiction ; Impostors and imposture -- Fiction ; Race relations -- Fiction ; PS ; Passing (Identity) -- Fiction,https://www.gutenberg.org/ebooks/102.html.images,https://www.gutenberg.org/ebooks/102.epub3.images,https://www.gutenberg.org/ebooks/102.epub.images,https://www.gutenberg.org/ebooks/102.epub.noimages,https://www.gutenberg.org/ebooks/102.kf8.images,https://www.gutenberg.org/ebooks/102.kindle.images,https://www.gutenberg.org/ebooks/102.kindle.noimages,https://www.gutenberg.org/ebooks/102.txt.utf-8,https://www.gutenberg.org/cache/epub/102/pg102-h.zip,https://www.gutenberg.org/ebooks/102.rdf,https://www.gutenberg.org/files/102/102-h/102-h.htm ; https://www.gutenberg.org/cache/epub/102/pg102.cover.medium.jpg ; https://www.gutenberg.org/files/102/102-0.txt ; https://www.gutenberg.org/files/102/102-0.zip ; https://www.gutenberg.org/cache/epub/102/pg102.cover.small.jpg,1882,['heroin']
103,Text,1994-01-01,Around the World in Eighty Days,en,PQ,Adventure; Best Books Ever Listings; Movie Books; Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,"Verne, Jules",Public domain in the USA.,Adventure stories ; PQ ; Voyages around the world -- Fiction,https://www.gutenberg.org/ebooks/103.html.images,https://www.gutenberg.org/ebooks/103.epub3.images,https://www.gutenberg.org/ebooks/103.epub.images,https://www.gutenberg.org/ebooks/103.epub.noimages,https://www.gutenberg.org/ebooks/103.kf8.images,https://www.gutenberg.org/ebooks/103.kindle.images,https://www.gutenberg.org/ebooks/103.kindle.noimages,https://www.gutenberg.org/ebooks/103.txt.utf-8,https://www.gutenberg.org/files/103/103-h.zip,https://www.gutenberg.org/ebooks/103.rdf,https://www.gutenberg.org/cache/epub/103/pg103.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/103/pg103.cover.small.jpg ; https://www.gutenberg.org/files/103/103-h/103-h.htm ; https://www.gutenberg.org/files/103/103-0.txt ; https://www.gutenberg.org/files/103/103-0.zip,1870,"['heroin', 'narcotic', 'opium', 'black smoke']"
107,Text,1994-02-01,Far from the Madding Crowd,en,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Hardy, Thomas",Public domain in the USA.,Triangles (Interpersonal relations) -- Fiction ; Pastoral fiction ; Love stories ; Women farmers -- Fiction ; Farm life -- Fiction ; Wessex (England) -- Fiction ; Didactic fiction ; PR,https://www.gutenberg.org/ebooks/107.html.images,https://www.gutenberg.org/ebooks/107.epub3.images,https://www.gutenberg.org/ebooks/107.epub.images,https://www.gutenberg.org/ebooks/107.epub.noimages,https://www.gutenberg.org/ebooks/107.kf8.images,https://www.gutenberg.org/ebooks/107.kindle.images,https://www.gutenberg.org/ebooks/107.kindle.noimages,https://www.gutenberg.org/ebooks/107.txt.utf-8,https://www.gutenberg.org/files/107/107-h.zip,https://www.gutenberg.org/ebooks/107.rdf,https://www.gutenberg.org/cache/epub/107/pg107.cover.small.jpg ; https://www.gutenberg.org/files/107/107-0.zip ; https://www.gutenberg.org/cache/epub/107/pg107.cover.medium.jpg ; https://www.gutenberg.org/files/107/107-0.txt ; https://www.gutenberg.org/files/107/107-h/107-h.htm,1838,['heroin']
113,Text,1994-03-01,The Secret Garden,en,PZ,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Fiction,"Burnett, Frances Hodgson",Public domain in the USA.,Orphans -- Juvenile fiction ; Gardens -- Juvenile fiction ; PZ ; People with disabilities -- Juvenile fiction ; Yorkshire (England) -- Juvenile fiction,https://www.gutenberg.org/ebooks/113.html.images,https://www.gutenberg.org/ebooks/113.epub3.images,https://www.gutenberg.org/ebooks/113.epub.images,https://www.gutenberg.org/ebooks/113.epub.noimages,https://www.gutenberg.org/ebooks/113.kf8.images,https://www.gutenberg.org/ebooks/113.kindle.images,https://www.gutenberg.org/ebooks/113.kindle.noimages,https://www.gutenberg.org/ebooks/113.txt.utf-8,https://www.gutenberg.org/files/113/113-h.zip,https://www.gutenberg.org/ebooks/113.rdf,https://www.gutenberg.org/cache/epub/113/pg113.cover.medium.jpg ; https://www.gutenberg.org/files/113/113-0.txt ; https://www.gutenberg.org/files/113/113-h/113-h.htm ; https://www.gutenberg.org/cache/epub/113/pg113.cover.small.jpg ; https://www.gutenberg.org/files/113/113-0.zip,1898,['poppy']
119,Text,2004-06-19,A Tramp Abroad,en,PS,Browsing: Culture/Civilization/Society; Browsing: Humour; Browsing: Travel & Geography; Browsing: Fiction,"Twain, Mark",Public domain in the USA.,Europe -- Fiction ; Americans -- Europe -- Fiction ; Humorous stories ; Walking -- Fiction ; PS,https://www.gutenberg.org/ebooks/119.html.images,https://www.gutenberg.org/ebooks/119.epub3.images,https://www.gutenberg.org/ebooks/119.epub.images,https://www.gutenberg.org/ebooks/119.epub.noimages,https://www.gutenberg.org/ebooks/119.kf8.images,https://www.gutenberg.org/ebooks/119.kindle.images,https://www.gutenberg.org/ebooks/119.kindle.noimages,https://www.gutenberg.org/ebooks/119.txt.utf-8,https://www.gutenberg.org/cache/epub/119/pg119-h.zip,https://www.gutenberg.org/ebooks/119.rdf,https://www.gutenberg.org/files/119/119-h/119-h.htm ; https://www.gutenberg.org/files/119/119-0.txt ; https://www.gutenberg.org/cache/epub/119/pg119.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/119/pg119.cover.small.jpg ; https://www.gutenberg.org/files/119/119-0.zip,1853,"['heroin', 'paregoric']"
