Etext Number,Type,Issued,Title,Language,LoCC,Bookshelves,Authors,rights,Subjects,Read online (web),EPUB3 (E-readers incl. Send-to-Kindle),EPUB (older E-readers),"EPUB (no images, older E-readers)",Kindle,Kindle (E-readers incl. Send-to-Kindle),"Kindle (no images, older E-readers)",Plain Text UTF-8,Download HTML(zip),Resource Description Framework (RDF),Other Links,published_year,Opium Keywords
29366,Text,2009-07-10,The Prisoner,en,PS,Browsing: Literature; Browsing: Fiction,"Brown, Alice",Public domain in the USA.,Fiction ; PS,https://www.gutenberg.org/ebooks/29366.html.images,https://www.gutenberg.org/ebooks/29366.epub3.images,https://www.gutenberg.org/ebooks/29366.epub.images,https://www.gutenberg.org/ebooks/29366.epub.noimages,https://www.gutenberg.org/ebooks/29366.kf8.images,https://www.gutenberg.org/ebooks/29366.kindle.images,https://www.gutenberg.org/ebooks/29366.kindle.noimages,https://www.gutenberg.org/ebooks/29366.txt.utf-8,https://www.gutenberg.org/cache/epub/29366/pg29366-h.zip,https://www.gutenberg.org/ebooks/29366.rdf,https://www.gutenberg.org/cache/epub/29366/pg29366.cover.medium.jpg ; https://www.gutenberg.org/cache/epub/29366/pg29366.cover.small.jpg ; https://www.gutenberg.org/files/29366/29366-h/29366-h.htm ; https://www.gutenberg.org/files/29366/29366-8.txt ; https://www.gutenberg.org/files/29366/29366.zip ; https://www.gutenberg.org/files/29366/29366-8.zip ; https://www.gutenberg.org/files/29366/29366.txt,1753,"['anodyne', 'poppy']"
29378,Text,2009-07-11,Pinafore Palace,en,PZ,Browsing: Children & Young Adult Reading; Browsing: Poetry,,Public domain in the USA.,Nursery rhymes ; Children's poetry ; PZ,https://www.gutenberg.org/ebooks/29378.html.images,https://www.gutenberg.org/ebooks/29378.epub3.images,https://www.gutenberg.org/ebooks/29378.epub.images,https://www.gutenberg.org/ebooks/29378.epub.noimages,https://www.gutenberg.org/ebooks/29378.kf8.images,https://www.gutenberg.org/ebooks/29378.kindle.images,https://www.gutenberg.org/ebooks/29378.kindle.noimages,https://www.gutenberg.org/ebooks/29378.txt.utf-8,https://www.gutenberg.org/files/29378/29378-h.zip,https://www.gutenberg.org/ebooks/29378.rdf,https://www.gutenberg.org/cache/epub/29378/pg29378.cover.small.jpg ; https://www.gutenberg.org/files/29378/29378-h/29378-h.htm ; https://www.gutenberg.org/files/29378/29378.zip ; https://www.gutenberg.org/files/29378/29378-8.zip ; https://www.gutenberg.org/files/29378/29378.txt ; https://www.gutenberg.org/files/29378/29378-8.txt ; https://www.gutenberg.org/cache/epub/29378/pg29378.cover.medium.jpg,1916,['heroin']
29415,Text,2009-07-15,Soldiers of the Queen,en,PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,"Avery, Harold",Public domain in the USA.,Soldiers -- Juvenile fiction ; School children -- England -- Juvenile fiction ; Military camps -- Egypt -- Juvenile fiction ; PZ ; Endowed public schools (Great Britain) -- Juvenile fiction,https://www.gutenberg.org/ebooks/29415.html.images,https://www.gutenberg.org/ebooks/29415.epub3.images,https://www.gutenberg.org/ebooks/29415.epub.images,https://www.gutenberg.org/ebooks/29415.epub.noimages,https://www.gutenberg.org/ebooks/29415.kf8.images,https://www.gutenberg.org/ebooks/29415.kindle.images,https://www.gutenberg.org/ebooks/29415.kindle.noimages,https://www.gutenberg.org/ebooks/29415.txt.utf-8,https://www.gutenberg.org/files/29415/29415-h.zip,https://www.gutenberg.org/ebooks/29415.rdf,https://www.gutenberg.org/files/29415/29415.zip ; https://www.gutenberg.org/files/29415/29415-8.txt ; https://www.gutenberg.org/files/29415/29415-8.zip ; https://www.gutenberg.org/cache/epub/29415/pg29415.cover.small.jpg ; https://www.gutenberg.org/files/29415/29415.txt ; https://www.gutenberg.org/files/29415/29415-h/29415-h.htm ; https://www.gutenberg.org/cache/epub/29415/pg29415.cover.medium.jpg,1877,['heroin']
29426,Text,2009-07-16,Things as they are,en,BV,Browsing: Culture/Civilization/Society; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,"Carmichael, Amy",Public domain in the USA.,Missions -- India ; BV ; India -- Social life and customs,https://www.gutenberg.org/ebooks/29426.html.images,https://www.gutenberg.org/ebooks/29426.epub3.images,https://www.gutenberg.org/ebooks/29426.epub.images,https://www.gutenberg.org/ebooks/29426.epub.noimages,https://www.gutenberg.org/ebooks/29426.kf8.images,https://www.gutenberg.org/ebooks/29426.kindle.images,https://www.gutenberg.org/ebooks/29426.kindle.noimages,https://www.gutenberg.org/ebooks/29426.txt.utf-8,https://www.gutenberg.org/cache/epub/29426/pg29426-h.zip,https://www.gutenberg.org/ebooks/29426.rdf,https://www.gutenberg.org/files/29426/29426-0.txt ; https://www.gutenberg.org/cache/epub/29426/pg29426.cover.small.jpg ; https://www.gutenberg.org/files/29426/29426.zip ; https://www.gutenberg.org/cache/epub/29426/pg29426.cover.medium.jpg ; https://www.gutenberg.org/files/29426/29426-0.zip ; https://www.gutenberg.org/files/29426/29426.txt ; https://www.gutenberg.org/files/29426/29426-8.zip ; https://www.gutenberg.org/files/29426/29426-8.txt ; https://www.gutenberg.org/files/29426/29426-h/29426-h.htm,1856,['narcotic']
29439,Text,2009-07-18,Dr. Sevier,en,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Cable, George Washington",Public domain in the USA.,PS ; Physicians -- Fiction ; New Orleans (La.) -- Social life and customs -- 19th century -- Fiction,https://www.gutenberg.org/ebooks/29439.html.images,https://www.gutenberg.org/ebooks/29439.epub3.images,https://www.gutenberg.org/ebooks/29439.epub.images,https://www.gutenberg.org/ebooks/29439.epub.noimages,https://www.gutenberg.org/ebooks/29439.kf8.images,https://www.gutenberg.org/ebooks/29439.kindle.images,https://www.gutenberg.org/ebooks/29439.kindle.noimages,https://www.gutenberg.org/ebooks/29439.txt.utf-8,https://www.gutenberg.org/cache/epub/29439/pg29439-h.zip,https://www.gutenberg.org/ebooks/29439.rdf,https://www.gutenberg.org/files/29439/29439.txt ; https://www.gutenberg.org/files/29439/29439.zip ; https://www.gutenberg.org/files/29439/29439-8.txt ; https://www.gutenberg.org/files/29439/29439-h/29439-h.htm ; https://www.gutenberg.org/cache/epub/29439/pg29439.cover.medium.jpg ; https://www.gutenberg.org/files/29439/29439-8.zip ; https://www.gutenberg.org/cache/epub/29439/pg29439.cover.small.jpg,1870,['black smoke']
29440,Text,2009-07-18,Leading Articles on Various Subjects,en,AC,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature,"Miller, Hugh",Public domain in the USA.,English essays ; AC,https://www.gutenberg.org/ebooks/29440.html.images,https://www.gutenberg.org/ebooks/29440.epub3.images,https://www.gutenberg.org/ebooks/29440.epub.images,https://www.gutenberg.org/ebooks/29440.epub.noimages,https://www.gutenberg.org/ebooks/29440.kf8.images,https://www.gutenberg.org/ebooks/29440.kindle.images,https://www.gutenberg.org/ebooks/29440.kindle.noimages,https://www.gutenberg.org/ebooks/29440.txt.utf-8,https://www.gutenberg.org/files/29440/29440-h.zip,https://www.gutenberg.org/ebooks/29440.rdf,https://www.gutenberg.org/files/29440/29440.zip ; https://www.gutenberg.org/files/29440/29440-h/29440-h.htm ; https://www.gutenberg.org/files/29440/29440.txt ; https://www.gutenberg.org/cache/epub/29440/pg29440.cover.medium.jpg ; https://www.gutenberg.org/files/29440/29440-8.zip ; https://www.gutenberg.org/files/29440/29440-8.txt ; https://www.gutenberg.org/cache/epub/29440/pg29440.cover.small.jpg,1823,['opium']
29471,Text,2009-07-21,The Velvet Glove,en,PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Harrison, Harry",Public domain in the USA.,Science fiction ; PS ; Robots -- Fiction,https://www.gutenberg.org/ebooks/29471.html.images,https://www.gutenberg.org/ebooks/29471.epub3.images,https://www.gutenberg.org/ebooks/29471.epub.images,https://www.gutenberg.org/ebooks/29471.epub.noimages,https://www.gutenberg.org/ebooks/29471.kf8.images,https://www.gutenberg.org/ebooks/29471.kindle.images,https://www.gutenberg.org/ebooks/29471.kindle.noimages,https://www.gutenberg.org/ebooks/29471.txt.utf-8,https://www.gutenberg.org/files/29471/29471-h.zip,https://www.gutenberg.org/ebooks/29471.rdf,https://www.gutenberg.org/files/29471/29471-h/29471-h.htm ; https://www.gutenberg.org/cache/epub/29471/pg29471.cover.medium.jpg ; https://www.gutenberg.org/files/29471/29471.txt ; https://www.gutenberg.org/cache/epub/29471/pg29471.cover.small.jpg ; https://www.gutenberg.org/files/29471/29471.zip,1844,['heroin']
29524,Text,2009-07-27,The Masked Bridal,en,PS,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Sheldon, Georgie, Mrs.",Public domain in the USA.,Mystery fiction ; PS ; Young women -- Fiction,https://www.gutenberg.org/ebooks/29524.html.images,https://www.gutenberg.org/ebooks/29524.epub3.images,https://www.gutenberg.org/ebooks/29524.epub.images,https://www.gutenberg.org/ebooks/29524.epub.noimages,https://www.gutenberg.org/ebooks/29524.kf8.images,https://www.gutenberg.org/ebooks/29524.kindle.images,https://www.gutenberg.org/ebooks/29524.kindle.noimages,https://www.gutenberg.org/ebooks/29524.txt.utf-8,https://www.gutenberg.org/cache/epub/29524/pg29524-h.zip,https://www.gutenberg.org/ebooks/29524.rdf,https://www.gutenberg.org/files/29524/29524-8.txt ; https://www.gutenberg.org/files/29524/29524.zip ; https://www.gutenberg.org/files/29524/29524-8.zip ; https://www.gutenberg.org/cache/epub/29524/pg29524.cover.small.jpg ; https://www.gutenberg.org/files/29524/29524-h/29524-h.htm ; https://www.gutenberg.org/cache/epub/29524/pg29524.cover.medium.jpg ; https://www.gutenberg.org/files/29524/29524.txt,1883,['heroin']
29527,Text,2009-07-27,The Soul of a People,en,DS,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Religion/Spirituality/Paranormal,"Fielding, H. (Harold)",Public domain in the USA.,DS ; Buddhism -- Burma ; Burma -- Social life and customs ; Burma -- Religion,https://www.gutenberg.org/ebooks/29527.html.images,https://www.gutenberg.org/ebooks/29527.epub3.images,https://www.gutenberg.org/ebooks/29527.epub.images,https://www.gutenberg.org/ebooks/29527.epub.noimages,https://www.gutenberg.org/ebooks/29527.kf8.images,https://www.gutenberg.org/ebooks/29527.kindle.images,https://www.gutenberg.org/ebooks/29527.kindle.noimages,https://www.gutenberg.org/ebooks/29527.txt.utf-8,https://www.gutenberg.org/files/29527/29527-h.zip,https://www.gutenberg.org/ebooks/29527.rdf,https://www.gutenberg.org/files/29527/29527.zip ; https://www.gutenberg.org/cache/epub/29527/pg29527.cover.small.jpg ; https://www.gutenberg.org/files/29527/29527-8.txt ; https://www.gutenberg.org/cache/epub/29527/pg29527.cover.medium.jpg ; https://www.gutenberg.org/files/29527/29527.txt ; https://www.gutenberg.org/files/29527/29527-8.zip ; https://www.gutenberg.org/files/29527/29527-h/29527-h.htm,1897,"['opium', 'black smoke']"
29555,Text,2009-07-31,Rural Hygiene,en,RA,Browsing: Environmental Issues; Browsing: Health & Medicine,"Ogden, Henry N. (Henry Neely)",Public domain in the USA.,"RA ; Sanitation, Household ; Rural health",https://www.gutenberg.org/ebooks/29555.html.images,https://www.gutenberg.org/ebooks/29555.epub3.images,https://www.gutenberg.org/ebooks/29555.epub.images,https://www.gutenberg.org/ebooks/29555.epub.noimages,https://www.gutenberg.org/ebooks/29555.kf8.images,https://www.gutenberg.org/ebooks/29555.kindle.images,https://www.gutenberg.org/ebooks/29555.kindle.noimages,https://www.gutenberg.org/ebooks/29555.txt.utf-8,https://www.gutenberg.org/cache/epub/29555/pg29555-h.zip,https://www.gutenberg.org/ebooks/29555.rdf,https://www.gutenberg.org/files/29555/29555-8.zip ; https://www.gutenberg.org/files/29555/29555-8.txt ; https://www.gutenberg.org/files/29555/29555.txt ; https://www.gutenberg.org/files/29555/29555.zip ; https://www.gutenberg.org/files/29555/29555-h/29555-h.htm ; https://www.gutenberg.org/cache/epub/29555/pg29555.cover.small.jpg ; https://www.gutenberg.org/cache/epub/29555/pg29555.cover.medium.jpg,1897,"['opium', 'morphine']"
