Author_Gender_Group,bertopic_topic,topic_label,n_documents,group_total,topic_share
Male,24,"24: confessions, english eater, confessions english eater, confessions english, eater",94,6037,0.015570647672685109
Male,20,"20: father, mocking, coaxed, night occur, eagerly crouched bed",86,6037,0.014245486168626802
Male,27,"27: dream, dreams, visions, delirium, ruby",85,6037,0.014079840980619512
Male,39,"39: jasper, edwin, hag, john jasper, ned",83,6037,0.013748550604604936
Male,28,"28: pure food law, food law, pure food, got sort, tablets",82,6037,0.013582905416597648
Male,36,"36: poisoning, poisonous dose, poisonous, administered, death",82,6037,0.013582905416597648
Male,22,"22: whispered, tears, lips, helen, eyes",79,6037,0.013085969852575782
Male,25,"25: reality remained, process adopted, grain shape, fallen experience, night falling",78,6037,0.012920324664568494
Male,30,"30: betteredge, chair glad stay, wanted company, ross, minutes caught betteredge",76,6037,0.012589034288553918
Male,32,"32: money, business, dollars, revenue, shillings week",75,6037,0.012423389100546628
Male,31,"31: sleep, possibly accident, tired, horseback, slept",73,6037,0.012092098724532053
Male,34,"34: burned, music, silence, burning, operas",71,6037,0.011760808348517476
Male,42,"42: alkaloids, drugs, drug, patent, presence drug",69,6037,0.0114295179725029
Male,40,"40: william, dickens, classics, thomas, english",68,6037,0.01126387278449561
Male,41,"41: drood, drood handsome, drood handsome ought, handsome ought, handsome ought deserted",55,6037,0.009110485340400862
Male,43,"43: white bees, bees, sweet, love, song",48,6037,0.007950969024349842
Male,37,"37: ask pierre, death peace, peace distress, renewed gifts, life death peace",47,6037,0.0077853238363425545
Male,33,"33: bottle, esther, vial, suicide, belt",41,6037,0.006791452708298824
Male,35,"35: sleep, asleep, sleepy, clock, slept",37,6037,0.00612887195626967
Male,38,"38: hilda, sleep, deep sleep, potency fell deep, crushing brows",36,6037,0.005963226768262382
Female,0,"0: habit, smoking, drug, eater, doc",176,1844,0.09544468546637744
Female,1,"1: truth, kai lung, power, kai, story",97,1844,0.05260303687635575
Female,6,"6: rita, gretna, mollie, mollie gretna, insane",97,1844,0.05260303687635575
Female,3,"3: bottle, dose, drops, doctor, chemist",95,1844,0.05151843817787419
Female,2,"2: dream, god, fear, art, church",75,1844,0.04067245119305857
Female,7,"7: diphtheria, died, sloane, death, caused death",75,1844,0.04067245119305857
Female,11,"11: eaters, use, years, possible, time temporally",66,1844,0.03579175704989154
Female,20,"20: father, mocking, coaxed, night occur, eagerly crouched bed",64,1844,0.03470715835140998
Female,5,"5: doctor, physician, fever, ill, patient",62,1844,0.033622559652928416
Female,9,"9: sound, trees, atmosphere, forest, air",57,1844,0.03091106290672451
Female,22,"22: whispered, tears, lips, helen, eyes",55,1844,0.02982646420824295
Female,13,"13: stimulant, powerful, drug, effects, effect",51,1844,0.027657266811279828
Female,15,"15: admit, assure, doubt, certina, true got",51,1844,0.027657266811279828
Female,8,"8: poetry, poems, literary, book, poet",50,1844,0.027114967462039046
Female,35,"35: sleep, asleep, sleepy, clock, slept",49,1844,0.026572668112798264
Female,4,"4: face, door, eyes, chair, head",47,1844,0.0254880694143167
Female,33,"33: bottle, esther, vial, suicide, belt",46,1844,0.024945770065075923
Female,25,"25: reality remained, process adopted, grain shape, fallen experience, night falling",45,1844,0.02440347071583514
Female,16,"16: pain, sorrow, healing, prove, suffering",43,1844,0.023318872017353578
Female,14,"14: bliss, evidence, witness, examination, case",41,1844,0.022234273318872018
Female,19,"19: sleep, slept, awake, sleeping, gerald",40,1844,0.021691973969631236
Female,30,"30: betteredge, chair glad stay, wanted company, ross, minutes caught betteredge",38,1844,0.020607375271149676
Female,10,"10: drink, wine, brandy, poison, drunk",36,1844,0.019522776572668113
Female,28,"28: pure food law, food law, pure food, got sort, tablets",36,1844,0.019522776572668113
Female,38,"38: hilda, sleep, deep sleep, potency fell deep, crushing brows",36,1844,0.019522776572668113
Female,37,"37: ask pierre, death peace, peace distress, renewed gifts, life death peace",35,1844,0.01898047722342733
