model_group,bertopic_topic,n_documents,mean_probability,n_books,top_terms
context_leaf_mcs60_ms1_nn10,34,103,0.8579978041871571,76,"drood, ought deserted, drood handsome ought, handsome ought deserted, drood alive, handsome ought, drood handsome, maggie, hour called, end half, ought deserted drood, half hour called"
context_leaf_mcs60_ms1_nn10,35,98,0.9577660493428198,76,"bottle, bottles, glass, liquid, tiny, bottle filled, filled, stopper, tied, sealed, small, vial"
context_leaf_mcs60_ms1_nn10,36,98,0.9537904783645522,64,"nicholas, nicholas carter, carter, william, dickens, classics, thomas, readings, english, suggested readings, references, grattan"
context_leaf_mcs60_ms1_nn10,37,95,0.9991451012721588,62,"china, chinese, smuggling, aubrey, lieutenant aubrey, smuggle, chinamen, missionaries, premises den, den body, den body lieutenant, raid premises den"
context_leaf_mcs60_ms1_nn10,38,92,0.9812974775132696,64,"doc, doc callers, callers, sin resumed, time let, boldly late, looking chance, lough luck, brown guv, instance boldly late, guv, guv lough"
context_leaf_mcs60_ms1_nn10,39,91,0.9697153051134012,57,"relating matter dropped, matter dropped, relating matter, gentlemen, insurance kind, right admirable, complaint arises, admit gentlemen, admirable sir, entire insurance kind, mark studied answer, insurance kind heathens"
context_leaf_mcs60_ms1_nn10,40,89,0.9826385880262364,57,"craze, heard effect, gretna foolish giggling, simile good shouldn, sought life, sought life longer, frightfully ill dear, eighty jimmies bob, emphasis delight store, emphasis delight, obtain lola, jimmies bob"
context_leaf_mcs60_ms1_nn10,41,88,0.9789275501238904,68,"drink, stupefied, maid drink, fight englishman david, inclined head, drink heard worse, david inclined, says sleep directly, judge remarked, day difficult, day difficult quite, returned car judge"
context_leaf_mcs60_ms1_nn10,42,85,0.9886074661755746,68,"grain shape followed, mind ease indefinable, limehouse dive visited, course game, times week ends, triumphed running away, game beating, game beating clients, experience intently, experience intently night, beating clients, fallen experience intently"
context_leaf_mcs60_ms1_nn10,43,83,0.9421693991662698,61,"poetry, poems, poet, poets, essays, wordsworth, verse, wrote, henley, muse, essays elia, elia"
context_leaf_mcs60_ms1_nn10,44,81,0.954871241952786,73,"sound, sounds, room silent, clicking, voices, silence, thump, veil, murmur, rhythmic, faint, spirit sight"
context_leaf_mcs60_ms1_nn10,45,79,0.8983231650383536,12,"jasper, edwin, hag, john jasper, princess puffer, puffer, opens, princess, ned, prematurely, guardian, son jasper"
context_leaf_mcs60_ms1_nn10,46,78,0.9997211528777816,67,"peace distress, distress confirmed, giver life death, peace distress confirmed, renewed gifts, distress confirmed renewed, giver life, death peace, life death peace, confirmed renewed, death peace distress, confirmed renewed gifts"
context_leaf_mcs60_ms1_nn10,47,74,0.9974172832136292,47,"time temporally considereth, considereth, temporally considereth, temporally, antidote time temporally, time temporally, antidote time, criminals, slaves, fathers, mind notably, felt experience"
context_leaf_mcs60_ms1_nn10,48,72,0.9840794738134476,53,"margaret capel, capel, respite, cup, saw margaret, saw margaret capel, hath, margaret, lent, old heart, god hath, let thirsty"
context_leaf_mcs60_ms1_nn10,49,72,0.9974651456552208,53,"address, fellow officer, police, san francisco, francisco, san, officer, fear personal safety, ascertaining customer address, twice lodged tavistock, inform asked dismissed, vanished utterly"
context_leaf_mcs60_ms1_nn10,50,68,0.9998928026475564,52,"literary, literature, novels, preface, fiction, novel, incomplete, readers, thousand readers especially, common requires light, title page insure, time death life"
context_leaf_mcs60_ms1_nn10,51,67,1.0,48,"got sort, instead familiar morphia, got sort bad, sort bad, looking drug occurred, marked case started, marked case, word instead, word instead familiar, possession use, possession use word, started looking drug"
context_leaf_mcs60_ms1_nn10,52,65,1.0,54,"lantern, lamp, light, stairs, end room, candle, dark, later von, later von blon, trap whereinto, room staircase, lantern head"
context_leaf_mcs60_ms1_nn10,53,65,1.0,12,"sloane, died, diphtheria, died poisoning, caused death, death, died diphtheria, sloane died, mabel sloane, meredith, mabel, poisoning"
context_leaf_mcs60_ms1_nn10,54,65,0.994889339747567,55,"love, heart, deeds, arrears debt putting, forget cancel, away bars, deeds untrue, set bitter, deep arrears, deep arrears debt, cancel welcome smile, forget cancel welcome"
context_leaf_mcs60_ms1_nn10,55,65,0.996680409751668,55,"fear, replied shudder ran, let longer, shudder ran, surely pain, hurrying grave, grave replied, let longer stand, hushed trembling, shudder ran nerves, nerves fear, longer stand"
context_leaf_mcs60_ms1_nn10,56,64,1.0,53,"occupants lying, lying motionless, camping, noisily sucking, noisily, occupants lying motionless, crack, bedstead, sucking, occupants, cabin pestilence, fled cabin pestilence"
context_leaf_mcs60_ms1_nn10,57,60,1.0,56,"husband, wife, married, harriet, loved husband, evidence guilt, tale awful, tale awful evidence, evidence guilt removed, awful evidence, awful evidence guilt, barmaid"
context_leaf_mcs60_ms1_nn10,58,60,1.0,49,"tobacco, use tobacco, cigarettes, aroma, tobacco stimulant, undue use, ordinary tobacco, undue use tobacco, moy, weed, fragrant, cigarette"
